,RegionName,City,State,Metro,CountyName,time,value,ds,yhat_lower,yhat,yhat_upper,Zip_code,log_value,log_yhat
0,37013,Nashville,TN,Nashville,Davidson,1996-04-01,112400.0,1996-04-01,109257.13307443426,112756.35822936181,116751.26350998838,37013,11.629819216441728,11.632984648053094
1,37211,Nashville,TN,Nashville,Davidson,1996-04-01,97900.0,1996-04-01,92170.14554664872,97509.21004052168,103418.64719738414,37211,11.491701828518602,11.487702114478758
2,37075,Hendersonville,TN,Nashville,Sumner,1996-04-01,137400.0,1996-04-01,133501.7080465418,136712.28742889856,140288.57210238892,37075,11.830651658770385,11.825633904765422
3,37130,Murfreesboro,TN,Nashville,Rutherford,1996-04-01,82200.0,1996-04-01,79983.93126055817,83588.38153954124,86664.37646871929,37130,11.31691058104427,11.333659812614878
4,38401,Columbia,TN,Nashville,Maury,1996-04-01,77400.0,1996-04-01,69031.38491720917,74424.79965654817,79596.65719665303,38401,11.25674205957782,11.217544493996554
5,37128,Murfreesboro,TN,Nashville,Rutherford,1996-04-01,89100.0,1996-04-01,87394.47463873225,91156.85621226636,95132.30658770559,37128,11.3975146134589,11.42033699628257
6,37064,Franklin,TN,Nashville,Williamson,1996-04-01,162800.0,1996-04-01,162776.87352155204,167479.41672669418,171779.10652994123,37064,12.000277732550577,12.028615737482486
7,37167,Smyrna,TN,Nashville,Rutherford,1996-04-01,93600.0,1996-04-01,90300.54415043343,94055.08360935478,97958.22854703396,37167,11.446785662465684,11.451635885467821
8,37122,Mount Juliet,TN,Nashville,Wilson,1996-04-01,131300.0,1996-04-01,124653.91255133181,131122.12729896593,138124.4090486441,37122,11.785240060290887,11.783884437347771
9,37066,Gallatin,TN,Nashville,Sumner,1996-04-01,90500.0,1996-04-01,84690.29841708657,90002.57708341506,95208.82355082329,37066,11.413105129688017,11.407593583162617
10,37027,Brentwood,TN,Nashville,Williamson,1996-04-01,272400.0,1996-04-01,271783.3970453243,278514.29279888823,284586.5588148781,37027,12.515026853257494,12.537224657674944
11,37129,Murfreesboro,TN,Nashville,Rutherford,1996-04-01,92000.0,1996-04-01,88412.1865281071,93140.11943797383,97656.78012220334,37129,11.429543856031177,11.441860298884416
12,37087,Lebanon,TN,Nashville,Wilson,1996-04-01,85700.0,1996-04-01,80780.50646992857,85851.98171778122,90950.68073253552,37087,11.358608104585871,11.36037994955112
13,37221,Nashville,TN,Nashville,Davidson,1996-04-01,165200.0,1996-04-01,158545.70130545727,163748.52455074983,168600.98014278608,37221,12.014912140069015,12.006087143079805
14,37209,Nashville,TN,Nashville,Davidson,1996-04-01,84900.0,1996-04-01,75121.67320887066,81548.09989863535,88822.8669932546,37209,11.349229372299439,11.308948307944917
15,37076,Nashville,TN,Nashville,Davidson,1996-04-01,112400.0,1996-04-01,105410.47038676107,109812.66296899445,113841.02481236223,37076,11.629819216441728,11.606531128994323
16,37115,Nashville,TN,Nashville,Davidson,1996-04-01,79700.0,1996-04-01,76376.11461984206,79628.25388136896,83247.243414412,37115,11.286024864778307,11.285124257111647
17,37207,Nashville,TN,Nashville,Davidson,1996-04-01,63600.0,1996-04-01,59613.543151163634,63973.75919115547,68508.10455639343,37207,11.060368749328214,11.06622826562545
18,37174,Spring Hill,TN,Nashville,Maury,1996-04-01,118500.0,1996-04-01,118177.22651471876,121297.2965158148,124324.2270045401,37174,11.682668239557323,11.705999807097742
19,37214,Nashville,TN,Nashville,Davidson,1996-04-01,88300.0,1996-04-01,81021.11421687686,87527.65727295315,93235.96830288018,37214,11.388495386592052,11.379710105521426
20,37217,Nashville,TN,Nashville,Davidson,1996-04-01,96000.0,1996-04-01,91357.73035189621,96029.33607516179,100119.21554695796,37217,11.472103470449973,11.472409007884925
21,37206,Nashville,TN,Nashville,Davidson,1996-04-01,67300.0,1996-04-01,58286.36343478701,65510.11192828049,72460.59377668105,37206,11.116915515632819,11.089959790292323
22,37072,Goodlettsville,TN,Nashville,Davidson,1996-04-01,106800.0,1996-04-01,102371.92635401999,105976.90512024146,109740.31223529008,37072,11.578713205508231,11.570976473131594
