,ds,yhat_lower,yhat,yhat_upper,Zip_code
261,2018-01-01,196680.87768838424,200531.87688387316,204580.09233534514,37013
262,2018-02-01,198453.03848682187,202003.03642894243,206166.72748309202,37013
263,2018-03-01,199334.13715714138,203394.04067912805,207147.12249783895,37013
264,2018-04-01,200880.38475089712,204868.57113369077,208684.45691044803,37013
265,2018-04-30,201725.65429492417,205815.67686750463,209813.74794118069,37013
266,2018-05-31,203195.77091017447,207220.59101812678,211100.2174115788,37013
267,2018-06-30,204870.67295232433,208686.1457588721,212534.79507287926,37013
268,2018-07-31,206520.26007451426,210303.77841277578,214324.55342287137,37013
269,2018-08-31,208134.22680161783,211942.18282568402,215789.39638145818,37013
270,2018-09-30,209860.78509000677,213527.72251780788,217264.53585452345,37013
271,2018-10-31,211262.68612118115,215179.72980378105,219122.53980038557,37013
272,2018-11-30,212552.55310389824,216437.6487829512,220232.13154876351,37013
273,2018-12-31,213542.45325739853,217352.4435344958,221459.7873330665,37013
274,2019-01-31,215106.86369790797,218896.33267083194,222813.60677288275,37013
275,2019-02-28,216951.78757732364,221250.70095808088,224961.3282435514,37013
276,2019-03-31,218523.30599859045,222644.69919048354,226631.46639105957,37013
277,2019-04-30,219207.52443895504,223196.1655475206,227045.56905125096,37013
278,2019-05-31,220520.982144208,224585.0467454266,228614.00878717692,37013
279,2019-06-30,221648.66002723307,226052.70935812948,229944.08841083953,37013
280,2019-07-31,223693.89324347753,227696.95103656492,231993.72193788568,37013
281,2019-08-31,225283.5371298928,229362.40467204375,233549.90790593828,37013
282,2019-09-30,226594.20859055364,230968.75103344602,235065.1812900107,37013
283,2019-10-31,228229.88224837199,232647.25759401932,236957.81159201197,37013
284,2019-11-30,229517.19360847425,233854.38413315467,238454.10710112524,37013
285,2019-12-31,229849.72484038357,234647.3782017464,238981.33088555952,37013
286,2020-01-31,231711.42679978526,236218.4593953656,240884.28762254672,37013
287,2020-02-29,233701.56343646473,238399.50696847402,243114.82453432924,37013
288,2020-03-31,235147.081783358,239853.16751287825,244615.25937219185,37013
289,2020-04-30,235804.1467585591,240721.30227877724,245482.55959876953,37013
290,2020-05-31,237185.0600626013,242162.53195748973,247448.65443455972,37013
291,2020-06-30,238187.19142831507,243628.43786114763,248302.44908711244,37013
292,2020-07-31,239668.02755153377,245195.21372417585,250762.76201354034,37013
293,2020-08-31,241127.56914767734,246779.3823380945,252660.69033384946,37013
294,2020-09-30,242577.41930848674,248321.06000639423,254403.0056583744,37013
295,2020-10-31,244128.70449028656,249914.94881921815,255965.04800372597,37013
296,2020-11-30,245371.2995517777,251268.49585371494,257447.86331018264,37013
297,2020-12-31,246671.5632068603,252432.6591598375,258543.38394208587,37013
298,2021-01-31,247650.5821102754,253934.7089955099,260952.1076803493,37013
299,2021-02-28,249503.2121359821,255905.674750797,262468.879546633,37013
300,2021-03-31,250401.53450047332,257343.21702974272,264548.1253617105,37013
562,2018-01-01,248667.41157278503,254604.25924424644,259810.87345200163,37211
563,2018-02-01,251420.32499669035,256670.70581278807,262311.35384706326,37211
564,2018-03-01,252789.5979899712,258741.33461171357,264177.71328109194,37211
565,2018-04-01,254960.2731816517,260713.71997873468,265963.3779652264,37211
566,2018-04-30,256849.42493207104,262311.0770974854,267918.2455306361,37211
567,2018-05-31,258283.77756986555,264224.3953443476,270069.0928642708,37211
568,2018-06-30,261178.54000763054,266229.190379669,272243.22572965,37211
569,2018-07-31,263362.8393366004,268873.9586043729,274632.2242682347,37211
570,2018-08-31,266290.7892515088,271604.02206163295,277039.70619342086,37211
571,2018-09-30,268112.07038294664,273675.9262802159,279022.4707410605,37211
572,2018-10-31,269864.7218160653,275582.5975394169,280928.13355076686,37211
573,2018-11-30,271282.25640623656,277125.7646384757,282978.4299663074,37211
574,2018-12-31,272913.73301227513,278594.34783902974,283955.79826287174,37211
575,2019-01-31,275239.3105668151,281032.3376644869,286763.30281866854,37211
576,2019-02-28,279370.5400602406,285270.8313307379,290898.1102845307,37211
577,2019-03-31,280575.1640186045,285939.74448230566,291377.173503859,37211
578,2019-04-30,281766.4415585823,287342.1995473806,293248.56719857507,37211
579,2019-05-31,283596.89604044694,289209.7716310051,295298.984696559,37211
580,2019-06-30,285405.8982764742,291199.0657419629,297056.5334448722,37211
581,2019-07-31,288207.3232671567,293952.3075236471,300316.84384324,37211
582,2019-08-31,290719.7155618092,296800.2114330188,302482.26838502265,37211
583,2019-09-30,292810.3260087032,298858.8421933232,305083.334611786,37211
584,2019-10-31,294772.96141453984,300709.5646943888,306534.26176028035,37211
585,2019-11-30,295886.27097780723,302131.8477262379,307929.82122528896,37211
586,2019-12-31,297115.86583749874,303472.5726623388,309875.0953353076,37211
