,RegionName,City,State,Metro,CountyName,time,value,ds,yhat_lower,yhat,yhat_upper,Zip_code,log_value,log_yhat
0,95123,San Jose,CA,San Jose,Santa Clara,1996-04-01,224500.0,1996-04-01,166001.18836135548,203074.53425743844,242022.02761391632,95123,12.321630986164447,12.221328354465525
1,95051,Santa Clara,CA,San Jose,Santa Clara,1996-04-01,258700.0,1996-04-01,185943.59631892518,234901.94105410576,286223.2769493432,95051,12.46342436817412,12.366923433933875
2,95035,Milpitas,CA,San Jose,Santa Clara,1996-04-01,231100.0,1996-04-01,180748.50833826305,216091.90648459925,252130.25597858636,95035,12.350605796262473,12.283459089154087
3,95014,Cupertino,CA,San Jose,Santa Clara,1996-04-01,432400.0,1996-04-01,299468.70104599476,392630.5176380299,486008.69721110666,95014,12.97710636474719,12.880624289943169
4,95112,San Jose,CA,San Jose,Santa Clara,1996-04-01,186800.0,1996-04-01,118954.34365694552,160044.7002519824,199005.04966631852,95112,12.13779380477688,11.983208431772486
5,94087,Sunnyvale,CA,San Jose,Santa Clara,1996-04-01,361300.0,1996-04-01,258055.14171609675,337654.552053181,414066.13276508654,94087,12.797463917135731,12.729778616485282
6,95125,San Jose,CA,San Jose,Santa Clara,1996-04-01,286000.0,1996-04-01,217734.26617828943,264751.4215079164,315376.4943780871,95125,12.56374708980199,12.486546632695381
7,94086,Sunnyvale,CA,San Jose,Santa Clara,1996-04-01,310400.0,1996-04-01,212654.11278129116,285451.8348818147,355924.5664046809,94086,12.645617067291202,12.561828589404026
8,95008,Campbell,CA,San Jose,Santa Clara,1996-04-01,262100.0,1996-04-01,181398.61555684553,236365.06308687318,287444.5313521757,95008,12.476481389311498,12.373132766311894
9,95020,Gilroy,CA,San Jose,Santa Clara,1996-04-01,238000.0,1996-04-01,203705.76234858038,224427.10331336543,246713.79457413108,95020,12.380025952653611,12.321306226591066
10,95124,San Jose,CA,San Jose,Santa Clara,1996-04-01,249700.0,1996-04-01,177862.41711400714,226627.97787318545,271794.80295252,95124,12.428015476267865,12.331065088062099
11,95037,Morgan Hill,CA,San Jose,Santa Clara,1996-04-01,314800.0,1996-04-01,277103.86414186907,303128.62159224093,330146.4317444072,95037,12.659692795525386,12.621912488123309
12,95136,San Jose,CA,San Jose,Santa Clara,1996-04-01,242500.0,1996-04-01,175993.5249045709,217773.93420915806,258298.34019775185,95136,12.398756989359676,12.291212804675155
13,95127,San Jose,CA,San Jose,Santa Clara,1996-04-01,187400.0,1996-04-01,158278.145910359,178507.92819651103,197943.99901997473,95127,12.14100064878646,12.092388294882213
14,95111,San Jose,CA,San Jose,Santa Clara,1996-04-01,188200.0,1996-04-01,148316.38413522654,174395.47154363155,198452.83633540804,95111,12.145260506133416,12.069080824200352
15,95023,Hollister,CA,San Jose,San Benito,1996-04-01,203700.0,1996-04-01,127359.6455029306,189312.9257493237,252629.0359111281,95023,12.224403602214897,12.15115661669053
16,94040,Mountain View,CA,San Jose,Santa Clara,1996-04-01,413200.0,1996-04-01,289562.3235873378,380334.79248385207,472792.8375680771,94040,12.93168701622762,12.848807176673175
17,95050,Santa Clara,CA,San Jose,Santa Clara,1996-04-01,236900.0,1996-04-01,165489.53665173234,216967.6410631366,269428.9397525367,95050,12.375393390146877,12.287503501878458
18,95126,San Jose,CA,San Jose,Santa Clara,1996-04-01,245400.0,1996-04-01,184141.09272718223,228103.16474513838,272806.9186366102,95126,12.410644811258948,12.337553282552111
19,94303,Palo Alto,CA,San Jose,Santa Clara,1996-04-01,374300.0,1996-04-01,240230.05442142452,341121.9309942848,448445.77523120283,94303,12.83281289389252,12.739995261251327
20,95129,San Jose,CA,San Jose,Santa Clara,1996-04-01,325800.0,1996-04-01,223877.7922311884,308256.9028298128,394756.88532398635,95129,12.694038975150082,12.638688814384334
21,95128,San Jose,CA,San Jose,Santa Clara,1996-04-01,233700.0,1996-04-01,163840.85178806508,213070.9856549189,263039.6464597521,95128,12.36179352052695,12.269380655156324
22,95134,San Jose,CA,San Jose,Santa Clara,1996-04-01,254500.0,1996-04-01,134972.4890982347,238169.1807492789,335623.0979524128,95134,12.447056114972714,12.380736543608412
23,94043,Mountain View,CA,San Jose,Santa Clara,1996-04-01,291700.0,1996-04-01,204863.19376109127,270050.599756662,338043.94681982335,94043,12.583481155855813,12.506364626928262
24,95116,San Jose,CA,San Jose,Santa Clara,1996-04-01,170600.0,1996-04-01,121511.73399760708,153595.97670098866,182346.01421318774,95116,12.047076914039716,11.942080905999719
25,95120,San Jose,CA,San Jose,Santa Clara,1996-04-01,365400.0,1996-04-01,274997.12924152735,335532.34599249234,400888.90659384016,95120,12.808747922926043,12.723473642050603
26,95122,San Jose,CA,San Jose,Santa Clara,1996-04-01,170800.0,1996-04-01,142126.37452389707,161995.65657914663,181747.8524177138,95122,12.048248560336607,11.995324802615258
27,95070,Saratoga,CA,San Jose,Santa Clara,1996-04-01,633800.0,1996-04-01,544118.8632740478,613670.5029577896,682494.3260690051,95070,13.359488726238958,13.327213422952534
28,94306,Palo Alto,CA,San Jose,Santa Clara,1996-04-01,440600.0,1996-04-01,267694.0631460544,393134.5292050059,510422.1385769913,94306,12.99589271335038,12.881907145774242
29,95132,San Jose,CA,San Jose,Santa Clara,1996-04-01,233400.0,1996-04-01,175502.3237647102,215305.8093332084,250430.2275109909,95132,12.360508998834593,12.279814665492884
30,95148,San Jose,CA,San Jose,Santa Clara,1996-04-01,237500.0,1996-04-01,188289.7190032533,221164.24847160155,254157.8023411841,95148,12.377922902456833,12.306660910213107
31,95118,San Jose,CA,San Jose,Santa Clara,1996-04-01,234600.0,1996-04-01,159356.15498171718,211886.70293324717,263447.8778358154,95118,12.365637215201511,12.263806990674624
32,95032,Los Gatos,CA,San Jose,Santa Clara,1996-04-01,427400.0,1996-04-01,363141.5978032369,415623.07640540984,468814.0671003146,95032,12.965475621867185,12.937534062184035
33,95117,San Jose,CA,San Jose,Santa Clara,1996-04-01,266100.0,1996-04-01,193678.12329078914,245603.41485354764,300094.95165644714,95117,12.49162745696578,12.411473379285285
34,95121,San Jose,CA,San Jose,Santa Clara,1996-04-01,212600.0,1996-04-01,171170.57971514977,196983.3049711127,225399.11498379937,95121,12.267167744889985,12.190874257789423
