,ds,yhat_lower,yhat,yhat_upper,Zip_code
261,2018-01-01,904863.0408962718,942043.5391548591,978360.9071574357,95123
262,2018-02-01,915609.9894421172,949124.6190227432,986033.5857732074,95123
263,2018-03-01,918530.5180231804,956336.0800446881,992835.2460088506,95123
264,2018-04-01,926998.3701511294,963149.5440012431,1000609.4424437294,95123
265,2018-04-30,919830.8961953431,960477.7986452774,997177.2675357189,95123
266,2018-05-31,934692.3157438197,968885.5519938669,1006011.8786108241,95123
267,2018-06-30,939923.3291732077,976565.1916499621,1012782.8733448731,95123
268,2018-07-31,947992.164346827,984367.9358506312,1020330.0468907638,95123
269,2018-08-31,955135.0098777381,993129.3751501895,1030437.6278940563,95123
270,2018-09-30,962937.4801824391,1000717.8857314665,1036773.9071173787,95123
271,2018-10-31,969100.579087485,1006380.1191955784,1044296.9453110562,95123
272,2018-11-30,973265.643063876,1008866.5165469063,1048528.6566332653,95123
273,2018-12-31,976001.5518405393,1011226.6631134422,1045816.1770051583,95123
274,2019-01-31,979474.9888433248,1016591.4631174972,1054263.1861867723,95123
275,2019-02-28,1007344.8767253911,1046240.7547023563,1082006.8772426166,95123
276,2019-03-31,1004440.6319907041,1042283.7426348975,1080650.6549610114,95123
277,2019-04-30,998099.761613717,1035472.3938565127,1072264.9600068587,95123
278,2019-05-31,1006821.1344919476,1044336.0718902007,1080217.6111360388,95123
279,2019-06-30,1014000.8309048343,1052331.9890771965,1091060.1459868532,95123
280,2019-07-31,1020701.9746126934,1060452.8155920887,1100922.3985859656,95123
281,2019-08-31,1032601.000224204,1069728.3106063972,1107341.31385517,95123
282,2019-09-30,1037767.5211521788,1077549.3894042107,1119482.3301465567,95123
283,2019-10-31,1044390.1694043315,1082966.4593216423,1126655.0288336172,95123
284,2019-11-30,1044357.7061426408,1084519.4124683298,1126261.3888241348,95123
285,2019-12-31,1043734.7145922048,1085966.5722448814,1129001.2202856117,95123
286,2020-01-31,1047060.9424114767,1091188.7200377777,1136619.3601635487,95123
287,2020-02-29,1071467.0555214416,1114087.217168251,1157119.9491884229,95123
288,2020-03-31,1072512.3411728593,1116807.7432943785,1162532.708628435,95123
289,2020-04-30,1070038.6306379568,1115014.041472253,1159541.9265370206,95123
290,2020-05-31,1077424.3356888702,1122606.197062672,1169997.1958460987,95123
291,2020-06-30,1078695.1457740616,1129697.584816099,1181372.4673897065,95123
292,2020-07-31,1089267.8218016527,1136881.337046931,1188503.6554627868,95123
293,2020-08-31,1093749.7059158632,1144594.540195495,1199533.5799929851,95123
294,2020-09-30,1105245.4953963652,1151647.6569260615,1203676.9900198507,95123
295,2020-10-31,1107641.5505569854,1157732.3467487262,1214435.7716909475,95123
