,ds,yhat_lower,yhat,yhat_upper,Zip_code
261,2018-01-01,240633.31562091445,241594.80989147886,242513.68360876996,78660
262,2018-02-01,242189.33440980694,243090.97929288328,244035.405769507,78660
263,2018-03-01,243621.21716938386,244492.29655550254,245420.6583469105,78660
264,2018-04-01,245138.1480136031,246022.28713040086,246957.0609563022,78660
265,2018-04-30,246881.6825347155,247819.98476012642,248858.72514279772,78660
266,2018-05-31,248163.1830428389,249183.29857700114,250206.39375340985,78660
267,2018-06-30,249599.84574126772,250595.46372416255,251625.83000960865,78660
268,2018-07-31,250939.4686971615,252128.86971614303,253126.93173251674,78660
269,2018-08-31,252288.92879712704,253604.79643776288,254755.5366414459,78660
270,2018-09-30,253169.7744562495,254691.7117519655,255958.8203836533,78660
271,2018-10-31,254094.3769834302,255954.79685888888,257522.56736927025,78660
272,2018-11-30,255274.02039808553,257604.57741944646,259316.68634962026,78660
273,2018-12-31,255983.33050805746,259131.80892994947,261362.42035388315,78660
274,2019-01-31,256621.28338510002,260407.6582334081,263147.0525455053,78660
275,2019-02-28,257073.5808383569,261762.03332990114,264881.1380840976,78660
276,2019-03-31,257570.7574343399,263001.96273363277,266836.36675284983,78660
277,2019-04-30,258941.94196731792,265197.71193111717,269513.1691326119,78660
278,2019-05-31,259851.7035842313,266528.89027599647,271679.0302069587,78660
279,2019-06-30,260186.0951516496,267937.56372276554,273779.85648443265,78660
280,2019-07-31,261097.25003957265,269487.33710091613,276103.71276987524,78660
281,2019-08-31,261619.89882077902,270970.4280946801,278467.76007175975,78660
282,2019-09-30,262137.62875378405,271999.6726886191,280395.1135788487,78660
283,2019-10-31,262233.7682819495,273250.49704936746,282609.3647550354,78660
284,2019-11-30,262383.43568280624,274973.1692249985,285213.95459829475,78660
285,2019-12-31,262775.69014942745,276522.18227043207,287532.85487812135,78660
286,2020-01-31,263182.54985368095,277751.5790759171,289698.5761439098,78660
287,2020-02-29,263270.4127451466,279169.6106001197,291935.84333919926,78660
288,2020-03-31,263762.454220061,280579.04534831713,294320.7614332747,78660
289,2020-04-30,264392.8258695603,282483.5988967363,297315.18002447754,78660
290,2020-05-31,264898.04792271147,283908.4251338794,299407.08772602497,78660
291,2020-06-30,265227.58715109236,285328.1869649423,302469.90739320737,78660
292,2020-07-31,265388.8454465377,286828.3844012563,304652.7900354378,78660
293,2020-08-31,265982.6828249793,288287.0194957807,307767.62632214924,78660
294,2020-09-30,265781.48816016206,289489.79504664167,310082.1464821748,78660
295,2020-10-31,265794.5127088569,290782.9294265968,312620.5599531281,78660
296,2020-11-30,266261.58015249664,292288.2477595684,315502.59491657215,78660
297,2020-12-31,266107.8220046795,293767.0308195043,317862.9751517471,78660
298,2021-01-31,266737.1753655903,295133.53164394165,321337.67877006385,78660
299,2021-02-28,266947.38275135047,296506.82965094136,323899.5321186639,78660
300,2021-03-31,267130.7336659095,297858.21140760253,326783.2290651276,78660
562,2018-01-01,296257.3726658053,299084.3583880307,301775.84617974743,78613
563,2018-02-01,297846.5520821129,300522.28725028405,303400.59198972,78613
564,2018-03-01,299395.1389781173,302044.0531778637,304758.57178915764,78613
565,2018-04-01,300428.2878972744,303313.2545133526,306305.75306629523,78613
566,2018-04-30,302066.6135728871,304688.67650261836,307473.68258420855,78613
567,2018-05-31,303502.12914286833,306294.9444478379,308980.3101087279,78613
568,2018-06-30,305022.98630269314,307763.87676607736,310705.6888708379,78613
569,2018-07-31,306500.72494499723,309314.95386367076,312410.93858952884,78613
570,2018-08-31,308046.2704167263,311333.9823772259,314262.3933628457,78613
571,2018-09-30,309584.5425053907,312834.4904827987,316040.1866341439,78613
572,2018-10-31,310343.8997240927,314151.3110095154,317853.5268931144,78613
573,2018-11-30,311565.20503437123,315494.2313617326,319318.44078626233,78613
574,2018-12-31,312292.8488184193,316605.83810071985,320603.90580817667,78613
575,2019-01-31,313079.8745951595,317858.03019972506,322548.4945149995,78613
576,2019-02-28,316271.9029961228,321715.71703549434,326794.1288770678,78613
577,2019-03-31,314319.76032490836,320732.28865076526,326671.2761528767,78613
578,2019-04-30,315823.79547886073,322662.6253382203,329028.33999815246,78613
579,2019-05-31,316977.37547925184,324309.7534536931,331949.05134334567,78613
580,2019-06-30,317493.11934617546,325792.0752622358,333569.1052516006,78613
581,2019-07-31,318298.6397868908,327353.42186081444,336373.28937691054,78613
582,2019-08-31,319386.68013768486,329442.0014799132,339589.25689601526,78613
583,2019-09-30,319451.6375455246,330920.057332744,341901.9747321276,78613
584,2019-10-31,319080.1746178455,332178.6666615233,344845.19071756833,78613
585,2019-11-30,320157.65994433226,333500.7329988349,346841.7859924479,78613
586,2019-12-31,319396.2138295145,334553.025047343,349280.5445045397,78613
587,2020-01-31,318956.86704718345,335784.8972164066,352026.5840901431,78613
588,2020-02-29,321770.21775640117,338800.94375336694,356166.95708213287,78613
589,2020-03-31,320883.7301173352,339181.18839735293,358005.83494269237,78613
590,2020-04-30,320448.3130570605,340950.64037854865,361157.55516632635,78613
591,2020-05-31,320901.43376403005,342478.3925165669,364201.7867386112,78613
592,2020-06-30,320358.9561948533,343921.7627541033,366834.503784665,78613
593,2020-07-31,320938.1083717465,345454.07742573996,369308.34365034744,78613
594,2020-08-31,322236.6429385387,347330.5140050221,373849.7569487992,78613
595,2020-09-30,322316.0326715626,348868.613188852,376946.7924087986,78613
596,2020-10-31,322582.8734779405,350300.5353204007,378840.06359359296,78613
597,2020-11-30,322994.4834170583,351686.97803924937,383317.50301706337,78613
598,2020-12-31,323077.0006009566,352923.08138102305,385356.03697704984,78613
599,2021-01-31,322620.57539801585,354232.5504507183,387301.77503334807,78613
600,2021-02-28,324630.31936159084,357177.69548014837,391873.98540004407,78613
601,2021-03-31,321775.34132306604,357107.0013267359,393066.260929195,78613
863,2018-01-01,538033.2378285951,541452.2068536627,544679.4248386383,78704
864,2018-02-01,541282.8598640736,544643.5434514795,548035.7408096264,78704
865,2018-03-01,544173.4169452628,547539.5629945409,550518.4884326202,78704
866,2018-04-01,547913.8454287917,550723.075478635,554071.7191028374,78704
867,2018-04-30,550650.6365577467,553950.5139024789,557192.1385466062,78704
868,2018-05-31,554294.6095323418,557827.7106507095,561363.7689871682,78704
869,2018-06-30,556058.8837809978,559680.9977611114,563404.5109262997,78704
870,2018-07-31,558104.4537244752,562291.9258721656,566360.535005381,78704
871,2018-08-31,560366.581049138,565020.9809460045,569744.4182400217,78704
872,2018-09-30,561809.0697758421,567366.1692208598,572591.5722406954,78704
873,2018-10-31,563713.9719706242,570312.6672532769,576912.535115578,78704
874,2018-11-30,565318.3725116396,573934.135346685,580770.6982219768,78704
875,2018-12-31,566286.5684100545,577002.1908823416,587090.5908039998,78704
876,2019-01-31,565541.3713359353,578777.4513372934,590978.868859592,78704
877,2019-02-28,566404.559111974,581887.2386172472,596332.6275278191,78704
878,2019-03-31,567375.7959870494,584920.1641440468,601951.7746173037,78704
879,2019-04-30,568670.7381226324,588791.1347966581,608945.3591011876,78704
880,2019-05-31,569961.6240315874,592791.0897348701,614448.1655825273,78704
881,2019-06-30,569490.5365101487,594450.1737583539,619558.8667239168,78704
882,2019-07-31,570731.2767585248,597038.3993801428,624732.3493651784,78704
883,2019-08-31,567368.0111419095,599763.3967567456,630440.6766981067,78704
884,2019-09-30,568697.3184520183,602054.9420363919,635021.2644919198,78704
885,2019-10-31,566270.8380599589,605076.1970956558,641866.2948049892,78704
886,2019-11-30,568593.5270640969,608865.7441770047,648919.3312392591,78704
887,2019-12-31,569966.2762173899,611947.2029326906,656148.0049670037,78704
888,2020-01-31,566733.0520879213,613439.0046907471,662144.0566643608,78704
889,2020-02-29,565490.1539632428,616973.5712363943,666755.5952615268,78704
890,2020-03-31,564206.6142260184,620088.637329284,674337.788438725,78704
891,2020-04-30,564300.5186546372,623521.8556682317,678957.1494996777,78704
892,2020-05-31,563475.9167182264,627138.0955794281,686935.5154167969,78704
893,2020-06-30,562600.2101113393,629371.1508875433,693748.4105378018,78704
894,2020-07-31,558957.961469883,632032.4321525751,699721.1636747224,78704
895,2020-08-31,557099.8883421958,634772.339127923,707367.3603529235,78704
896,2020-09-30,554912.8937045451,637233.4740916126,714758.0123376169,78704
897,2020-10-31,553018.3990556947,640039.2485439305,722313.5913019093,78704
898,2020-11-30,550687.0694999574,643316.87774413,729443.7784239659,78704
899,2020-12-31,548989.9665909335,646338.2916875932,736300.0167102804,78704
900,2021-01-31,544481.3406344593,648681.1538864609,742754.5001643195,78704
901,2021-02-28,541769.5618769659,651690.8891317724,751109.9363792841,78704
902,2021-03-31,540073.3708535428,654775.8593377374,759379.0520190117,78704
1164,2018-01-01,199065.03683239405,200573.8775458786,202035.194260027,78666
1165,2018-02-01,200180.5605696668,201686.1284942408,203206.43761156054,78666
1166,2018-03-01,201284.13047775847,202835.96060596805,204326.103030852,78666
1167,2018-04-01,202353.31154001105,203942.6166114884,205463.3341323452,78666
1168,2018-04-30,203000.09939107823,204478.86366913453,205983.1631186253,78666
1169,2018-05-31,204263.84806852706,205768.76946034536,207344.89640174387,78666
1170,2018-06-30,205949.91753589135,207375.32370631353,209030.26512866453,78666
1171,2018-07-31,206917.75137866108,208568.8069563148,210235.83694701578,78666
1172,2018-08-31,207912.63905509055,209559.16491567311,211395.4647353338,78666
1173,2018-09-30,208643.99593506256,210469.4093224152,212433.01770126584,78666
1174,2018-10-31,209327.2442835662,211459.59182329988,213471.71251902546,78666
1175,2018-11-30,210254.6028670291,212346.4788631493,214681.9673530964,78666
1176,2018-12-31,211040.34975725476,213422.81579353756,216357.32385807374,78666
1177,2019-01-31,212098.3195177913,214893.15442391371,218011.0364042423,78666
1178,2019-02-28,213344.7510873919,216505.12443777564,219871.36481043004,78666
1179,2019-03-31,213352.62223899472,216919.45506437047,220574.72069940466,78666
1180,2019-04-30,213376.20427805066,217509.14715487795,221879.7521635252,78666
1181,2019-05-31,213974.8178647656,218840.6611639258,224029.9258396469,78666
1182,2019-06-30,215034.5952964372,220553.0964658127,226298.67272733798,78666
1183,2019-07-31,216003.3796989407,221746.44204544433,228088.68165880578,78666
1184,2019-08-31,215911.06541595183,222700.51417986647,229609.74649326634,78666
1185,2019-09-30,216046.2023563264,223589.8560045908,231448.03752471576,78666
1186,2019-10-31,216420.8975350541,224569.3460138986,232934.2053031782,78666
1187,2019-11-30,215872.5592647698,225420.36640320826,234200.0410477929,78666
1188,2019-12-31,216312.61413649158,226505.2004859472,236201.53960225932,78666
1189,2020-01-31,217020.560661348,228048.89879781537,238418.66711719648,78666
1190,2020-02-29,217839.05453032107,229321.61533629114,240473.55988607663,78666
1191,2020-03-31,217825.2412005953,230157.05305168135,241673.34519062587,78666
1192,2020-04-30,217503.4038365822,230950.2158765867,243153.86556119332,78666
1193,2020-05-31,218007.74633416516,232165.34212722792,244905.3670298434,78666
1194,2020-06-30,218692.042766856,233558.89969801568,247100.41427200564,78666
1195,2020-07-31,218767.5204289951,234746.19653884973,249054.70268331878,78666
1196,2020-08-31,219005.23916681993,235806.16604438797,249870.4737936584,78666
1197,2020-09-30,219332.11585043406,236758.12040645868,252480.1459057304,78666
1198,2020-10-31,219571.36450716935,237769.99817633445,253612.7972095217,78666
1199,2020-11-30,219920.97330141702,238732.1381634298,256526.9247498269,78666
1200,2020-12-31,220340.10176375578,239797.30496306604,257567.10841204927,78666
1201,2021-01-31,220827.85462387008,241122.33407936327,260257.88133305623,78666
1202,2021-02-28,221026.66391167996,242562.21374953192,261902.41260756142,78666
1203,2021-03-31,221234.23847302317,243259.0211641399,264153.03386650066,78666
1465,2018-01-01,292435.6650790699,294368.2921426255,296161.64168802387,78745
1466,2018-02-01,294732.8694338994,296474.6719267035,298425.8105571973,78745
1467,2018-03-01,296533.11270034174,298478.86987295136,300250.74922397773,78745
1468,2018-04-01,298824.3493463508,300629.30836431606,302534.9106444901,78745
1469,2018-04-30,301450.9794146537,303359.27590226306,305252.04413370474,78745
1470,2018-05-31,302649.89068775263,304672.6183762802,306599.74663678627,78745
1471,2018-06-30,303965.439873419,306198.7153365315,308253.7697800232,78745
1472,2018-07-31,306274.8428142155,308518.9237108866,310836.4285543562,78745
1473,2018-08-31,308287.71453655,310865.51097729447,313445.5131803953,78745
1474,2018-09-30,309961.6612384365,312769.63449268986,315505.5758074123,78745
1475,2018-10-31,311485.0601177442,314546.6705428634,317695.2952478645,78745
1476,2018-11-30,312489.32076351333,316359.91104366694,320129.7354030747,78745
1477,2018-12-31,313863.56764302915,317941.92914303485,322609.4759642639,78745
1478,2019-01-31,314918.44373740704,320190.6352848854,325519.36135948537,78745
1479,2019-02-28,316311.70815226575,322504.25766833173,328753.84118561057,78745
1480,2019-03-31,317467.38755353115,324573.8717999859,332108.44989183376,78745
1481,2019-04-30,319389.29232561984,327432.50148505793,335741.1405962809,78745
1482,2019-05-31,319948.31620745716,328588.2691834914,337579.4893663431,78745
1483,2019-06-30,320335.264613584,330054.04755239614,340312.1492498989,78745
1484,2019-07-31,321277.8356661544,332468.87614042975,343744.13115939824,78745
1485,2019-08-31,322801.4356617342,334893.90483800665,347950.18805727066,78745
1486,2019-09-30,323915.9123671,336785.4869906878,350986.8885808022,78745
1487,2019-10-31,324631.6356612234,338518.3148776681,353561.59295983793,78745
1488,2019-11-30,324227.0876788042,340326.4198747902,357342.42927393503,78745
