,RegionName,City,State,Metro,CountyName,time,value,ds,yhat_lower,yhat,yhat_upper,Zip_code,log_value,log_yhat
0,28269,Charlotte,NC,Charlotte,Mecklenburg,1996-04-01,126100.0,1996-04-01,125441.55288931649,126269.3119473658,127093.54666354938,28269,11.744830521953011,11.746172301359241
1,28277,Charlotte,NC,Charlotte,Mecklenburg,1996-04-01,183900.0,1996-04-01,182605.62560340553,183791.04982850087,185080.0745289743,28277,12.122147410592412,12.12155479255214
2,28027,Concord,NC,Charlotte,Cabarrus,1996-04-01,126600.0,1996-04-01,126824.9798890033,127792.30150353952,128787.88315970665,28027,11.748787788692212,11.758161580484702
3,29732,Rock Hill,SC,Charlotte,York,1996-04-01,99800.0,1996-04-01,95659.4198972934,96950.05205225486,98115.21041655613,29732,11.510923462299555,11.48195119756859
4,28078,Huntersville,NC,Charlotte,Mecklenburg,1996-04-01,166200.0,1996-04-01,164414.0542512481,165480.79884584708,166567.9591071614,28078,12.020947161403486,12.016610448010198
5,29730,Rock Hill,SC,Charlotte,York,1996-04-01,70300.0,1996-04-01,68773.09282954426,70171.45833832877,71544.35140811032,29730,11.160527077798756,11.158696930962234
6,28216,Charlotte,NC,Charlotte,Mecklenburg,1996-04-01,96900.0,1996-04-01,95935.82171831954,96525.66068577912,97106.06456892294,28216,11.481434797878858,11.477564165820528
7,28205,Charlotte,NC,Charlotte,Mecklenburg,1996-04-01,73700.0,1996-04-01,71548.417060153,73820.08210849814,76196.85613036506,28205,11.207758078177427,11.209386088863216
8,28215,Charlotte,NC,Charlotte,Mecklenburg,1996-04-01,99100.0,1996-04-01,98677.44301129121,99536.91111302759,100459.30121590593,28215,11.50388472031808,11.508283820315901
9,28210,Charlotte,NC,Charlotte,Mecklenburg,1996-04-01,135000.0,1996-04-01,133296.6155648513,134299.85838377636,135322.52891532987,28210,11.813030057420567,11.807830328034052
10,28227,Mint Hill,NC,Charlotte,Mecklenburg,1996-04-01,101700.0,1996-04-01,100601.99346445566,101618.71117638238,102678.0337912907,28227,11.52978258203665,11.528982962292078
11,28025,Concord,NC,Charlotte,Cabarrus,1996-04-01,96500.0,1996-04-01,96870.1191133113,97520.56408340845,98153.12864412926,28025,11.477298287327077,11.48781854842276
