,ds,yhat_lower,yhat,yhat_upper,Zip_code
261,2018-01-01,192900.37223207607,193745.20106003512,194519.67351846647,28269
262,2018-02-01,194306.29066655113,195129.08185732443,195916.99560321958,28269
263,2018-03-01,195522.1983047637,196344.33291326385,197124.1821211348,28269
264,2018-04-01,196892.73166298814,197782.2780038709,198642.8411175781,28269
265,2018-04-30,198196.89677808827,199007.6024602249,199824.288094682,28269
266,2018-05-31,199744.7448026189,200540.0973013812,201371.77694589153,28269
267,2018-06-30,201000.44092837346,201937.2267084081,202739.8367152663,28269
268,2018-07-31,202433.43081628173,203391.38753146888,204335.995006479,28269
269,2018-08-31,203678.15396333538,204700.7755289238,205767.75130045315,28269
270,2018-09-30,204763.04797001093,205886.49830538637,207000.49235161784,28269
271,2018-10-31,206066.14245910654,207302.64441770676,208542.62492358315,28269
272,2018-11-30,207506.59251782205,208977.92813116193,210446.95356549096,28269
273,2018-12-31,208932.9816712287,210566.70439719813,212290.74538589377,28269
274,2019-01-31,209493.82121384598,211473.5776300072,213519.66575838756,28269
275,2019-02-28,210024.7029822112,212394.7098684337,214815.3547082138,28269
276,2019-03-31,211727.6035885279,214240.74863749876,217110.24397162438,28269
277,2019-04-30,212601.6683413179,215439.498367594,218630.34592258272,28269
278,2019-05-31,213602.3392817553,216994.97828588303,220529.6481966979,28269
279,2019-06-30,214547.0567026471,218389.04719768852,222228.8461143542,28269
280,2019-07-31,215740.4470710762,219842.7717448303,224171.29704316735,28269
281,2019-08-31,216489.2148750091,221125.32964736113,225947.2771785838,28269
282,2019-09-30,217082.62841147382,222275.80368836576,227575.5327692713,28269
283,2019-10-31,218063.4772181026,223702.25719320128,229874.1596770098,28269
284,2019-11-30,219413.28901389736,225451.4871790004,231797.5117160773,28269
285,2019-12-31,220728.87643441034,227085.12165152587,234340.87457662344,28269
286,2020-01-31,220578.60102775172,227892.58741725382,235812.15158740006,28269
287,2020-02-29,221414.54155800166,229077.1145023229,237419.9836580108,28269
288,2020-03-31,222306.566095404,230676.1677916256,239750.0674751123,28269
289,2020-04-30,222851.76780424174,231929.67064070355,241574.3124346658,28269
290,2020-05-31,224118.7551661739,233415.61522149754,243668.5381275483,28269
291,2020-06-30,224521.46970759073,234816.81779593547,245769.03151315975,28269
292,2020-07-31,225319.49404228787,236269.92412975055,248039.86793089507,28269
293,2020-08-31,226032.73561697546,237632.07493208212,250186.40872863014,28269
294,2020-09-30,226416.4686516478,238891.7045997656,252150.17943034027,28269
295,2020-10-31,226987.14330427404,240292.33451531795,254128.83799941035,28269
296,2020-11-30,228361.97665063717,241819.8358334293,256569.4535653225,28269
297,2020-12-31,228879.65813457736,243310.84452035977,258575.854677608,28269
298,2021-01-31,229536.94138447713,244412.861494555,260833.7850168968,28269
299,2021-02-28,229930.60413141458,245443.8988834333,262285.33653782745,28269
300,2021-03-31,230433.18011029,247124.64901372392,265071.8494803871,28269
562,2018-01-01,357718.0915804814,358953.9434740572,360170.1139964434,28277
563,2018-02-01,359690.74860984983,360924.0207235636,362143.3711922444,28277
564,2018-03-01,361586.9251265675,362736.0777305348,364024.2855572694,28277
565,2018-04-01,363486.13925601833,364687.7545205418,365953.8831601668,28277
566,2018-04-30,364945.1398443336,366258.31074555893,367511.79495055374,28277
567,2018-05-31,367001.1071898985,368384.76815955696,369679.07149296696,28277
568,2018-06-30,369066.1502875735,370675.9652472483,372093.39929904806,28277
569,2018-07-31,371170.62557082647,372762.2580873041,374380.4892963382,28277
570,2018-08-31,372680.52946825756,374567.2950402025,376424.5189485893,28277
571,2018-09-30,374091.3470372241,376415.9194877418,378402.3588826223,28277
572,2018-10-31,375247.21034007764,378472.28793123504,381183.22091465944,28277
573,2018-11-30,376295.275982951,380343.06477164576,383903.0761140701,28277
574,2018-12-31,377003.97740735195,382352.51545213704,387116.19044145587,28277
575,2019-01-31,377288.35300361254,383778.9145765853,389336.9484011471,28277
576,2019-02-28,378569.300052508,386222.9325160423,392641.685455938,28277
577,2019-03-31,379467.2740278688,388225.03187106946,395927.4022445437,28277
578,2019-04-30,378867.4587637078,389525.44237934676,398439.12008692836,28277
579,2019-05-31,379505.862509486,391676.5421684534,402073.402268028,28277
580,2019-06-30,380811.76215815515,394027.9360427856,405584.6584719169,28277
581,2019-07-31,381198.74542811874,396109.180199651,409458.8988931235,28277
582,2019-08-31,381319.20795350254,397874.95695502637,412753.9425049242,28277
583,2019-09-30,382141.64699204336,399720.2383861905,415966.09817095636,28277
584,2019-10-31,383389.0766456176,401806.5753912419,419347.31116081885,28277
585,2019-11-30,384223.85569776216,403675.2026185412,423410.00267559756,28277
586,2019-12-31,383883.96232463466,405699.56280025456,427270.43242213794,28277
587,2020-01-31,382980.687438023,407021.6716544079,430815.4773964207,28277
588,2020-02-29,384051.609361972,409468.5226936736,434627.7207208851,28277
589,2020-03-31,384596.54512991576,411447.90455973183,439491.5597447567,28277
590,2020-04-30,384255.82483439415,413074.96337987593,442975.99492170225,28277
591,2020-05-31,383956.60342577123,415158.1288629809,447472.7774087616,28277
592,2020-06-30,384307.8886220921,417328.22786489734,451412.7475402366,28277
593,2020-07-31,384754.39937937853,419420.640192839,455415.0829142964,28277
594,2020-08-31,383965.835767915,421303.99047210586,459849.44005054585,28277
595,2020-09-30,383882.86843844096,423162.12823955,463099.156472864,28277
596,2020-10-31,384474.65890488966,425158.828068031,467578.8180956113,28277
597,2020-11-30,382944.4458818604,427032.5228788266,472169.1207489408,28277
598,2020-12-31,383741.22725493327,429008.8301019573,475927.5691433778,28277
599,2021-01-31,383666.96452543454,430648.5189755489,480716.3837637079,28277
600,2021-02-28,384183.23181142966,432836.7255045041,484407.6590756833,28277
601,2021-03-31,383630.9792989317,434826.19777306926,489222.7258246157,28277
863,2018-01-01,211933.277670897,212869.71201499918,213829.11907517424,28027
864,2018-02-01,213110.61311326374,214142.92981159856,215129.61518430003,28027
865,2018-03-01,214190.80012849398,215258.25160253773,216213.73487543326,28027
866,2018-04-01,215454.35888683057,216496.7363398516,217501.10178759068,28027
867,2018-04-30,216610.43433268275,217544.0515951829,218589.0421515327,28027
868,2018-05-31,217614.80613128032,218648.78631259722,219669.6185915591,28027
869,2018-06-30,218918.95281294023,219998.35017998953,221137.24146718785,28027
870,2018-07-31,220187.49105964537,221325.839678996,222638.2298775114,28027
871,2018-08-31,221595.86593302534,222750.58070682647,224218.18583659024,28027
872,2018-09-30,222894.97576338108,224208.8472797223,225813.44534129667,28027
873,2018-10-31,224061.55459155163,225658.3276863045,227629.20274942115,28027
874,2018-11-30,225080.5675545518,226876.4370553844,229245.14223266253,28027
875,2018-12-31,225431.5261315536,227710.8309214877,230747.88758963786,28027
876,2019-01-31,226121.89026181784,228844.9016411549,232288.4666581698,28027
877,2019-02-28,227361.03055280438,230534.30285575273,234824.16618779206,28027
878,2019-03-31,228377.17306346277,232187.06038060758,236956.22955484394,28027
879,2019-04-30,228310.78930677753,232730.91065463374,238200.41656141845,28027
880,2019-05-31,228455.95003350513,233807.89972216293,240040.3478398223,28027
881,2019-06-30,229115.05196512127,235169.8442177489,242105.9532619148,28027
882,2019-07-31,229657.3334064262,236497.83608768327,243987.24611249464,28027
883,2019-08-31,230655.69873791482,237934.53518840508,246523.65783271025,28027
884,2019-09-30,231012.5739376661,239425.31682176804,248662.95788547577,28027
885,2019-10-31,231927.9676789233,240904.6736093729,251039.28186595798,28027
886,2019-11-30,232032.83736916975,242109.76583699873,253116.9595211497,28027
887,2019-12-31,232164.56958377422,242836.52349375427,254702.44907187403,28027
888,2020-01-31,232528.93455120697,243952.42829679852,257259.24685561802,28027
889,2020-02-29,233537.40876240557,245687.6065437945,260409.11253182107,28027
890,2020-03-31,233849.58336574974,247100.49783257616,262148.826276499,28027
891,2020-04-30,233901.24280133343,247982.02624391456,263382.31366243307,28027
892,2020-05-31,233710.69955265743,249145.98936323804,265512.6235470329,28027
893,2020-06-30,234186.25934874965,250473.87356155654,268514.32407755195,28027
894,2020-07-31,234334.73709463218,251802.0379685245,270678.23062548606,28027
895,2020-08-31,234329.828015975,253204.5475313327,272910.1609086486,28027
896,2020-09-30,234687.5265624726,254597.51758578853,274653.08989853825,28027
897,2020-10-31,235296.02265363428,255983.57036589095,277439.1204511055,28027
898,2020-11-30,235873.44116006469,257220.87974716283,279683.23245656263,28027
899,2020-12-31,236040.22082738002,258271.83266643103,281573.96956387896,28027
900,2021-01-31,235672.35892463164,259451.99377262816,284014.6662542239,28027
901,2021-02-28,235877.5523542384,260906.5237321056,286851.351269987,28027
902,2021-03-31,236270.6042911443,262402.3572965212,289545.11545318324,28027
1164,2018-01-01,178047.4877603376,179350.58946248476,180633.4361051926,29732
1165,2018-02-01,179019.52884657757,180267.7262378992,181555.4802136588,29732
1166,2018-03-01,180033.7623911436,181253.0811990367,182532.09314662463,29732
1167,2018-04-01,181049.92481782078,182389.01761151224,183593.90852006286,29732
1168,2018-04-30,181813.11790730793,183075.1210900286,184432.24837969142,29732
1169,2018-05-31,183132.5352782465,184380.8969613174,185835.30441687544,29732
1170,2018-06-30,184174.77651341277,185579.86302138833,187026.77434292497,29732
1171,2018-07-31,185032.4447490435,186556.33843856826,188208.0039082029,29732
1172,2018-08-31,185454.39844822083,187296.8937241394,189245.04103629215,29732
