,ds,yhat_lower,yhat,yhat_upper,Zip_code
261,2018-01-01,314670.68223229755,319022.6231084342,323642.5891257532,75070
262,2018-02-01,316078.4287867167,320542.54954838,325052.55660676735,75070
263,2018-03-01,317340.4845420638,321972.258903544,326767.6105952204,75070
264,2018-04-01,319020.7355855865,323399.88635335595,327842.6651580531,75070
265,2018-04-30,320269.23310588783,324736.51609316183,329177.1411956431,75070
266,2018-05-31,321949.36541649996,326719.4609938739,331284.19114247325,75070
267,2018-06-30,323931.7918335989,328502.07049187983,333055.82606659597,75070
268,2018-07-31,325301.9598231107,330386.8829616938,335030.062661718,75070
269,2018-08-31,327317.6619189072,332387.3321215265,337505.6962405105,75070
270,2018-09-30,328936.8140219666,334064.6082990859,339010.5506892784,75070
271,2018-10-31,329644.9759749783,335245.56687259657,340946.25337808294,75070
272,2018-11-30,330427.54021263594,336508.42871595983,342701.9597308119,75070
273,2018-12-31,330794.1070217649,337773.6481943167,344030.243302954,75070
274,2019-01-31,332909.54718071537,340014.6823604903,347074.75284582475,75070
275,2019-02-28,334207.6198990462,342187.2847468867,349607.58480887144,75070
276,2019-03-31,335057.84541636694,343558.4796655534,352554.0294854321,75070
277,2019-04-30,334479.22947468405,344205.6645839433,353930.7845808412,75070
278,2019-05-31,335205.21180982934,346222.51777013397,356694.35567576595,75070
279,2019-06-30,336334.24118922354,348048.6961813176,359817.01843935234,75070
280,2019-07-31,336340.34921459266,349976.8067655545,363632.507856066,75070
281,2019-08-31,337326.7743490719,352055.16459400184,366670.3001658226,75070
282,2019-09-30,338366.6234732882,353750.27867368323,368479.9218391521,75070
283,2019-10-31,336820.04136135726,354831.99048067554,371654.67451105197,75070
284,2019-11-30,336859.17095077457,356021.4806789815,374072.18311695947,75070
285,2019-12-31,336366.6814293914,357209.7759304419,376941.35337032785,75070
286,2020-01-31,337354.01059085195,359604.1253058895,380792.7311827603,75070
287,2020-02-29,337154.1921067285,361415.71657249844,384244.13849716075,75070
288,2020-03-31,338494.3632269439,362836.2006022051,387375.5573715239,75070
289,2020-04-30,337458.4068730385,364190.0874425654,390760.73562288313,75070
290,2020-05-31,336570.8970191774,366116.8382033058,395261.24852535507,75070
291,2020-06-30,335446.11422652606,367818.6221900258,397829.8170372542,75070
292,2020-07-31,335607.5478596046,369619.0419611709,401474.6633526876,75070
293,2020-08-31,335283.48472026264,371459.84068336576,405443.00118687877,75070
294,2020-09-30,334658.52251853,373090.00977629126,409193.4475247152,75070
295,2020-10-31,333799.6813232128,374464.3406942719,412118.30712970166,75070
296,2020-11-30,333080.27957092185,375877.82506792626,415118.31647762354,75070
297,2020-12-31,333412.1948294387,377310.14055958955,419713.6153862868,75070
298,2021-01-31,333006.55382447917,379253.0831679835,422966.60285716003,75070
299,2021-02-28,332607.1909085036,381139.48409169127,427078.8189516948,75070
300,2021-03-31,331915.3562848241,382548.6318818815,431445.68017654854,75070
562,2018-01-01,195295.01454666926,196118.57239359117,196908.16189408393,75052
563,2018-02-01,196890.1554110207,197739.7733863665,198545.32938847298,75052
564,2018-03-01,198474.12094661218,199290.64864558127,200102.0819224633,75052
565,2018-04-01,200130.5646077586,200924.7877325078,201711.07077747004,75052
566,2018-04-30,201595.3953358759,202406.84228514583,203194.51711091882,75052
567,2018-05-31,203245.7507269442,204129.04170591073,204936.1822451147,75052
568,2018-06-30,204574.07273725187,205550.6636726876,206444.26714193585,75052
569,2018-07-31,206206.48573020665,207183.6572451899,208151.8215116947,75052
570,2018-08-31,207952.4997093581,209088.75766583343,210288.62903596336,75052
571,2018-09-30,209163.75417000425,210690.99645810752,212076.32808688757,75052
572,2018-10-31,210243.71750876686,212279.3362752388,214009.85350698954,75052
573,2018-11-30,211388.96112668977,213833.83632443732,216182.21444872455,75052
574,2018-12-31,212001.2155585225,215344.19692326858,218116.11463609975,75052
575,2019-01-31,213087.79000422216,216758.46423609692,219978.24294898642,75052
576,2019-02-28,214642.36473335847,219010.02466900865,223017.82405607446,75052
577,2019-03-31,215065.10173559512,220324.22897494896,224704.94654067227,75052
578,2019-04-30,216012.99319471794,221801.68839480274,227070.3951822561,75052
579,2019-05-31,216803.8504248004,223534.27876901574,229667.86037333676,75052
580,2019-06-30,217615.3104412204,224917.71408431203,232099.51735315975,75052
581,2019-07-31,218177.67477841818,226563.15161141555,234513.82148006055,75052
582,2019-08-31,219459.96863315432,228522.8843857663,237210.91466788482,75052
583,2019-09-30,219876.298552447,230116.1758818639,240372.40517045127,75052
584,2019-10-31,220335.4369363392,231691.8568401304,243217.5369724003,75052
585,2019-11-30,221074.42658689726,233233.51754354185,245940.96952553777,75052
586,2019-12-31,221272.69573373927,234719.91530247478,248753.3154819557,75052
