,ds,yhat_lower,yhat,yhat_upper,Zip_code
261,2018-01-01,467582.5175162865,468861.72194823314,470088.0099864378,80134
262,2018-02-01,469900.815937942,471258.2701163993,472516.0982473474,80134
263,2018-03-01,472217.01169393037,473508.4889165093,474890.1307866209,80134
264,2018-04-01,474422.7788043477,475731.1054246136,477047.1998847061,80134
265,2018-04-30,476164.34016598016,477479.4069908377,478818.6529637143,80134
266,2018-05-31,479092.6983502095,480424.27851953823,481849.02752082696,80134
267,2018-06-30,481196.8269159064,482674.42102854955,484134.22658447834,80134
268,2018-07-31,483263.6529731988,484851.7516475687,486327.12428580446,80134
269,2018-08-31,485403.85492132296,487011.24136724044,488686.9855661393,80134
270,2018-09-30,487322.5467838091,489289.2288245603,491249.4866693942,80134
271,2018-10-31,489611.081046519,491852.9001379803,494054.90445169987,80134
272,2018-11-30,491460.0573754786,494120.35526770627,496741.89947898115,80134
273,2018-12-31,492864.7322534373,496138.4383051289,499031.893414477,80134
274,2019-01-31,495020.7987565727,498835.6394442072,502453.48224609275,80134
275,2019-02-28,497146.7057404076,501705.1946084413,505848.6872518224,80134
276,2019-03-31,497221.38770317874,503046.03803531465,508053.1933526944,80134
277,2019-04-30,498922.19215716416,505105.39218544593,510962.78263464983,80134
278,2019-05-31,500955.7923672786,508182.946900273,515142.13512241875,80134
279,2019-06-30,502089.16323652666,510420.19931818155,518124.46417372103,80134
280,2019-07-31,503464.71045246674,512555.38227372,521585.36560097866,80134
281,2019-08-31,504627.89018159895,514684.1458108135,524774.0954792107,80134
282,2019-09-30,506093.31220485736,516979.8585842107,527965.207558336,80134
283,2019-10-31,507594.3272806561,519590.9039396593,531423.0622989627,80134
284,2019-11-30,508136.1861979066,521842.96542912076,534552.201098062,80134
285,2019-12-31,509305.82434637815,523773.4327318577,538105.5067612258,80134
286,2020-01-31,510656.47370005934,526536.9863447695,541554.2702874367,80134
287,2020-02-29,512738.08492215216,529150.1605203567,545252.9505397487,80134
288,2020-03-31,513480.3923956417,531023.3452498099,548314.9339763088,80134
289,2020-04-30,514567.3705657539,533129.2972058926,551855.9315955311,80134
290,2020-05-31,515623.3311421784,535809.3019693393,555537.1805462001,80134
291,2020-06-30,517090.2279414395,538077.991168703,558891.1239935249,80134
292,2020-07-31,518560.88660943555,540337.7029638862,562823.4952439575,80134
293,2020-08-31,518875.14167667873,542561.342473977,565403.0313022505,80134
294,2020-09-30,519695.65265245305,544807.5199474088,569123.387262906,80134
295,2020-10-31,521672.41787430865,547274.8006757939,572889.3262601035,80134
296,2020-11-30,522111.40965889924,549568.3704233723,575944.3068223327,80134
297,2020-12-31,522719.14874664467,551765.8512979755,579891.6781155282,80134
298,2021-01-31,525215.7136323922,554336.335601149,583297.1348125034,80134
299,2021-02-28,526557.9471419913,556968.998314972,587134.6292019031,80134
300,2021-03-31,526199.4031149508,558665.6446872232,590783.6599363805,80134
562,2018-01-01,329876.47747150797,331164.3858093975,332365.304550136,80013
563,2018-02-01,332515.47402123583,333811.75265547656,335094.70320843736,80013
564,2018-03-01,334772.26131204417,336089.37297262735,337321.4282671244,80013
565,2018-04-01,337277.5576150322,338635.68575956585,339826.1895027569,80013
566,2018-04-30,339525.56596011494,340820.2553707463,342062.41578910255,80013
567,2018-05-31,342152.69613953703,343469.8528735166,344787.656844784,80013
568,2018-06-30,343940.0978797412,345403.523481411,346891.6790380985,80013
569,2018-07-31,346482.5750070177,348022.9676670214,349551.811549124,80013
570,2018-08-31,348550.87815350044,350446.4216842916,352207.0802709947,80013
571,2018-09-30,350902.42806314805,352886.8351299613,355054.6756029546,80013
572,2018-10-31,352897.1561710413,355333.5042019488,357651.25023668876,80013
573,2018-11-30,354754.4186850489,357873.7473510017,360847.2980342979,80013
574,2018-12-31,357017.4886095707,360561.1404018936,364293.9950774382,80013
575,2019-01-31,358577.20446201356,363169.83534980577,367466.6603083368,80013
576,2019-02-28,359051.52102213417,364680.1763579429,369750.17397861625,80013
577,2019-03-31,361602.29147290514,368155.42945718335,374459.1218568626,80013
