,ds,yhat_lower,yhat,yhat_upper,Zip_code
261,2018-01-01,185945.86303728828,186798.17442222039,187686.1303754247,33415
262,2018-02-01,187730.66501714982,188609.93617455167,189531.7573103305,33415
263,2018-03-01,189501.32381674636,190357.85058399604,191256.18745193636,33415
264,2018-04-01,191373.0299121769,192230.857338039,193154.53448524713,33415
265,2018-04-30,192774.3027248073,193703.2226826671,194587.57996896098,33415
266,2018-05-31,194578.19849544228,195598.01710370195,196597.48927738052,33415
267,2018-06-30,196417.1331934832,197479.03874263976,198657.6566503409,33415
268,2018-07-31,198780.26329665957,199948.8247594433,201380.329358647,33415
269,2018-08-31,200296.02485298694,201790.17611227842,203682.2181089382,33415
270,2018-09-30,201386.32445316657,203537.04922353194,206204.5834276378,33415
271,2018-10-31,202339.81921615129,205234.37042716352,209135.14918007542,33415
272,2018-11-30,202905.31256619096,206943.26738112356,211611.08590432603,33415
273,2018-12-31,203944.89052865145,209194.59555367276,215069.71217910582,33415
274,2019-01-31,204899.8858167164,211384.5165351062,218568.65373519898,33415
275,2019-02-28,204305.42997935973,212312.82244344882,220843.8311063341,33415
276,2019-03-31,205523.2806253389,214632.4488607769,224292.83153604902,33415
277,2019-04-30,205325.21980259818,216001.3424849836,227170.1142601064,33415
278,2019-05-31,205623.98372775113,217904.48511416157,230567.07966097735,33415
279,2019-06-30,206108.79279042696,219807.45020751195,233813.97942471667,33415
280,2019-07-31,206387.26462963998,222349.80765104154,238325.26759086724,33415
281,2019-08-31,206334.73174100817,224133.14744971995,241872.11464996883,33415
282,2019-09-30,206056.41260007216,225864.33957642317,245269.14800240018,33415
283,2019-10-31,205453.70663136963,227530.3579798731,248608.87799329456,33415
284,2019-11-30,205029.63557434647,229212.67026026687,252197.8260508147,33415
285,2019-12-31,205218.18179573718,231559.3345580342,255966.24694549086,33415
286,2020-01-31,205276.59106663914,233815.55850165233,261239.7114137561,33415
287,2020-02-29,204841.35682407016,234899.2526325221,264048.47790694836,33415
288,2020-03-31,204875.41390436547,236948.58474534604,268521.3383062917,33415
289,2020-04-30,203804.34074176106,238496.4173012123,273097.24802941,33415
290,2020-05-31,204032.97252179505,240377.95916880813,277284.54174592765,33415
291,2020-06-30,203171.90172678602,242217.81494158757,281037.41223859007,33415
292,2020-07-31,203751.43999333878,244538.00051705394,286558.82499060454,33415
293,2020-08-31,202748.4262752616,246490.9172557158,291028.0945519115,33415
294,2020-09-30,202236.16513105232,248269.09630183675,296112.12197740556,33415
295,2020-10-31,200407.51440547768,250030.59837563566,299573.18683242146,33415
296,2020-11-30,200229.82550231874,251799.77576572236,304311.42667044257,33415
297,2020-12-31,199563.49374679648,253862.86547792485,308372.4901305723,33415
298,2021-01-31,198521.08385180458,255910.6366245098,312895.4258552443,33415
299,2021-02-28,196788.59500270436,257168.3054014687,316505.3265941462,33415
300,2021-03-31,196592.49298344582,259307.01132093862,321133.41234952,33415
