,ds,yhat_lower,yhat,yhat_upper,Zip_code
261,2018-01-01,264225.52676067536,265489.05468371074,266739.8539662436,55124
262,2018-02-01,265494.088540362,266886.36332475673,268337.756237966,55124
263,2018-03-01,266717.616275114,268118.284197298,269479.74071391835,55124
264,2018-04-01,268144.12613208266,269480.3471939107,270881.3965474855,55124
265,2018-04-30,269146.75827251346,270496.8547499089,271857.13456356747,55124
266,2018-05-31,270144.7157086822,271654.28051984933,273116.2084777549,55124
267,2018-06-30,270911.28384482465,272516.91462259064,274075.39991131605,55124
268,2018-07-31,272514.688803131,274095.09752711153,275754.2773073034,55124
269,2018-08-31,273697.40081776667,275462.09422678075,277348.703906428,55124
270,2018-09-30,274586.1620548694,276754.54506299505,279196.5471831226,55124
271,2018-10-31,275352.6583975972,278051.22695588344,280842.29212016467,55124
272,2018-11-30,275640.0650962758,278997.9529011728,282433.48922140023,55124
273,2018-12-31,276132.4415432845,280303.52572322026,284561.50243498565,55124
274,2019-01-31,275758.6823119556,281048.5966972976,286163.6085498837,55124
275,2019-02-28,277394.87226865033,283336.45068177,289417.7281924843,55124
276,2019-03-31,277795.8920431025,284857.74271586916,291848.3510493117,55124
277,2019-04-30,277664.2510694289,285414.90013434406,293787.21333804436,55124
278,2019-05-31,277552.5191207181,286551.66851571656,296296.8102623195,55124
279,2019-06-30,276942.79850965994,287350.7573298478,298331.9099219903,55124
280,2019-07-31,277602.20308100886,289002.9683768796,301815.3377943125,55124
281,2019-08-31,277540.39927034045,290401.37038063054,304407.7920236162,55124
282,2019-09-30,277778.21514627483,291716.09299432335,307040.5093318965,55124
283,2019-10-31,278260.24623533495,293022.71958978265,309899.45008785924,55124
284,2019-11-30,277504.48303492024,293897.16976126353,312399.0922686325,55124
285,2019-12-31,277421.5032880469,295203.4679054749,315565.3053476907,55124
286,2020-01-31,277337.89751049393,295827.92950376007,318048.9690995344,55124
287,2020-02-29,278246.39623659896,298081.632391241,321927.3131287983,55124
288,2020-03-31,278519.71182175,299518.37396676844,325273.4352279624,55124
289,2020-04-30,278855.62952078186,300367.4898755519,328022.33661995665,55124
290,2020-05-31,278242.64984748245,301567.40828758373,331139.3956407639,55124
291,2020-06-30,277263.66389784677,302564.2292230667,334174.72247342626,55124
292,2020-07-31,277651.5929571739,303999.18960463494,336748.4160068028,55124
293,2020-08-31,277382.2295127581,305302.1553956463,339169.6643073727,55124
294,2020-09-30,277654.32764263835,306546.62557384616,342513.0911764709,55124
295,2020-10-31,276813.8258417161,307818.18821031,346220.3788067575,55124
296,2020-11-30,276255.82490611344,308907.7009347358,348611.17714058585,55124
297,2020-12-31,275815.38409027515,310211.9430063764,351320.6009508956,55124
298,2021-01-31,274884.93896172795,311208.3629869964,354525.43029959244,55124
299,2021-02-28,275572.8194898982,313068.1198997742,358413.5614639972,55124
300,2021-03-31,275065.81924572866,314536.75849910756,361439.3970630929,55124
562,2018-01-01,261110.08225389384,262507.49523141613,263905.33996632986,55337
563,2018-02-01,262460.79463958426,263920.6826773687,265396.3332074565,55337
564,2018-03-01,263750.22299424704,265227.12136086903,266654.8404642752,55337
565,2018-04-01,265164.5703311099,266677.3849943272,268119.05431484623,55337
566,2018-04-30,266140.364860608,267598.636825093,269023.41022113955,55337
567,2018-05-31,267106.4532251993,268647.3152030154,270174.6920134057,55337
568,2018-06-30,268190.96494212403,269772.1826833287,271323.4464451682,55337
569,2018-07-31,269691.23400779127,271527.9616417807,273290.15195708355,55337
570,2018-08-31,271389.2567646771,273241.7355228178,275267.7586684748,55337
571,2018-09-30,272312.4327110316,274525.44810598827,276760.7730605888,55337
572,2018-10-31,272975.43703850696,275482.8836215192,278146.205031309,55337
573,2018-11-30,273285.41496492334,276259.18298865255,279286.14521088626,55337
574,2018-12-31,274056.6280381844,277730.5479010084,281636.6474610834,55337
575,2019-01-31,274948.91112692916,279269.2843198364,284425.89574291476,55337
576,2019-02-28,276235.2893533205,281497.1058543315,287547.1773938513,55337
577,2019-03-31,276938.09790044744,282979.04080647073,289334.5761525337,55337
578,2019-04-30,276498.1291175807,283261.6994877043,290880.6531924916,55337
579,2019-05-31,275459.2299771875,284272.9648135652,293181.6410140916,55337
580,2019-06-30,275929.9203752109,285395.7904418597,295312.8212057992,55337
581,2019-07-31,277000.8004511487,287252.90054881386,297925.30602918786,55337
582,2019-08-31,277393.2732732234,289052.04816663184,300929.6602438011,55337
583,2019-09-30,277546.75123184803,290335.5407359551,304102.72208995896,55337
584,2019-10-31,277153.6223659337,291214.0276680493,305872.98116221314,55337
585,2019-11-30,277065.5129042308,291870.3526603207,307046.9609774476,55337
586,2019-12-31,276432.21384899854,293359.6783812774,310304.61238132196,55337
587,2020-01-31,277015.03275558795,294931.54968245135,312839.49493111816,55337
588,2020-02-29,278213.9466564144,296890.8526069497,317044.76121621655,55337
589,2020-03-31,278531.1377783979,298368.49233841343,319699.2197410135,55337
590,2020-04-30,277595.0347397608,299165.7640786638,321797.8069611036,55337
591,2020-05-31,277373.0972418209,300297.37099883077,324335.64529168437,55337
592,2020-06-30,276546.9030250958,301437.6877852924,327683.3116527304,55337
593,2020-07-31,277065.8423031094,302995.38022798783,330977.4108364495,55337
594,2020-08-31,276680.43842153903,304532.444630625,334354.5076242255,55337
595,2020-09-30,276119.3094665241,305804.85898716917,336995.3675187617,55337
596,2020-10-31,275702.09953968046,306914.10167742043,339969.85171489604,55337
597,2020-11-30,273780.0672775639,307936.41658446763,342948.1048060596,55337
598,2020-12-31,273943.0554773406,309381.57283055875,345231.24625747465,55337
599,2021-01-31,274044.59501437505,310861.8230382223,349531.1719284052,55337
600,2021-02-28,274094.68135494424,312726.1104849266,352791.6255824403,55337
601,2021-03-31,272883.14552692126,314210.07649327395,355750.54721801303,55337
863,2018-01-01,331788.69242846675,333996.86976815015,336156.86025600636,55044
864,2018-02-01,333507.46640938154,335542.5211043791,337755.0871963838,55044
865,2018-03-01,335159.1667034483,337202.86132314306,339301.80237917154,55044
866,2018-04-01,336872.2399541682,338997.1100415573,341102.11327869364,55044
867,2018-04-30,337806.13820880785,339820.4162212685,341919.0248326024,55044
868,2018-05-31,339194.079744255,341342.9176267598,343701.80850798805,55044
869,2018-06-30,340162.29098708543,342511.41271650564,344879.2453761354,55044
870,2018-07-31,341321.48757813894,343997.14703228616,346781.4780690428,55044
871,2018-08-31,342672.96559551416,345385.7323809006,348654.9426603909,55044
872,2018-09-30,343622.68519401934,346638.47918168193,350441.83516846586,55044
873,2018-10-31,344060.1684008939,347702.5063348092,351914.17643009714,55044
874,2018-11-30,344420.35173844785,348829.6642781403,354069.5314869234,55044
875,2018-12-31,345002.4690341116,350421.3898678347,356808.77242994664,55044
876,2019-01-31,345706.1056789191,352058.5996427359,360277.2382949157,55044
877,2019-02-28,347156.2227553121,354589.349639488,363726.0428225441,55044
878,2019-03-31,345874.50463610527,355433.15190246963,366613.94497473305,55044
879,2019-04-30,345835.5834516216,356389.83222435066,369269.02651417983,55044
880,2019-05-31,344898.8714937511,357968.605834648,372211.2528772662,55044
881,2019-06-30,344404.71851630526,359145.22314904665,374662.82465930574,55044
882,2019-07-31,344463.06333052274,360686.9256568047,379026.9142641007,55044
883,2019-08-31,343720.3227594755,362096.3044692538,381733.13703404437,55044
884,2019-09-30,343740.27560724644,363322.8164168846,384796.3071093409,55044
885,2019-10-31,342147.3811753342,364316.5056692678,386757.53769513365,55044
886,2019-11-30,341689.82793055236,365402.99104570324,389919.82335621165,55044
887,2019-12-31,340878.9097412781,367041.00016147736,393339.6937608317,55044
888,2020-01-31,341132.25552884035,368700.0932608412,396299.3145889098,55044
889,2020-02-29,340129.10896902217,370818.82759246114,400056.7565643068,55044
890,2020-03-31,338694.83177748125,372240.5187356828,405088.3802935943,55044
891,2020-04-30,337954.9373465913,373324.2744794126,407642.9095174857,55044
892,2020-05-31,336434.1655428175,374738.84501234937,410866.0625419007,55044
893,2020-06-30,336367.4565971022,375893.38675464573,413398.1420506191,55044
894,2020-07-31,336187.6401885307,377266.4932897061,418522.85756912694,55044
895,2020-08-31,335161.3731906692,378608.3252219376,422560.52728674904,55044
896,2020-09-30,332793.21604170813,379907.4105203874,426218.19738515717,55044
897,2020-10-31,332466.3347392819,381111.9924679057,429885.10744745017,55044
898,2020-11-30,331045.4283331555,382327.8168998254,434395.03677831945,55044
899,2020-12-31,329429.5012850445,383832.3096264786,437388.8217447913,55044
900,2021-01-31,327144.44570543285,385429.0796684732,441476.82565823663,55044
901,2021-02-28,327099.80405115534,387625.12339945586,446710.1831027795,55044
902,2021-03-31,327346.750414646,388856.5223625021,449639.52885977016,55044
