,ds,yhat_lower,yhat,yhat_upper,Zip_code
261,2018-01-01,203650.9179339274,204515.65071505096,205352.48627592734,37013
262,2018-02-01,205505.76781634186,206300.53310380792,207167.40194938375,37013
263,2018-03-01,207047.59405718485,207915.95693109938,208745.29269464136,37013
264,2018-04-01,208926.5933582227,209805.66894590418,210691.25639630793,37013
265,2018-04-30,210639.99922469043,211501.74026950603,212347.1545355697,37013
266,2018-05-31,212248.20627547626,213098.16531567258,213977.4966796525,37013
267,2018-06-30,213789.60795462856,214653.099458928,215597.52952780825,37013
268,2018-07-31,215665.86032228844,216554.26600947033,217515.41977338164,37013
269,2018-08-31,217353.70623630518,218342.42317271518,219402.4610264483,37013
270,2018-09-30,219161.0330004666,220214.3603514292,221497.30758050983,37013
271,2018-10-31,221055.93657165265,222237.35534505916,223665.91148892968,37013
272,2018-11-30,222673.0160985607,223957.03164865583,225423.5390040189,37013
273,2018-12-31,223933.307907213,225479.00576641128,227271.8189669399,37013
274,2019-01-31,225415.0677041985,227227.20642564434,229462.58932422998,37013
275,2019-02-28,226659.06204010703,228744.06870325233,231146.73108881793,37013
276,2019-03-31,228787.17325606456,231229.1886667306,234045.69012772237,37013
277,2019-04-30,229788.70026097895,232676.45064763387,235992.03086375297,37013
278,2019-05-31,231112.00751366292,234233.97230790905,238169.3021001559,37013
279,2019-06-30,232204.04380003983,235754.7354032773,240287.45861746027,37013
280,2019-07-31,233332.08399695027,237679.7939734275,242628.54366218048,37013
281,2019-08-31,234828.02875694915,239463.32558305052,244875.90662146796,37013
282,2019-09-30,236445.78219467722,241358.40957233752,246982.78390827117,37013
283,2019-10-31,237950.09503403775,243421.5885573979,249919.10963568932,37013
284,2019-11-30,238990.89585573412,245126.11071538652,251990.7177742402,37013
285,2019-12-31,239900.00682458695,246590.4033347881,253795.33558115023,37013
286,2020-01-31,240936.13270774062,248334.1762896129,256027.45106488533,37013
287,2020-02-29,242160.43478814326,250087.4453875113,259041.41721557995,37013
288,2020-03-31,244095.84583960468,252216.7345970727,261777.18640684386,37013
289,2020-04-30,245161.02342106795,253763.8882854225,263622.022683283,37013
290,2020-05-31,245846.90567349002,255436.90553708345,265964.42325025686,37013
291,2020-06-30,246826.47922745458,257063.33298612374,268309.98257882823,37013
292,2020-07-31,248225.57147410503,258918.94991889066,270868.28368081007,37013
293,2020-08-31,249241.3778396843,260717.65028797925,273551.17022023303,37013
294,2020-09-30,250228.1697998134,262544.6111377576,276055.8728939366,37013
295,2020-10-31,251722.78512432915,264484.57461740094,278969.59135833906,37013
296,2020-11-30,252601.76736442698,266229.3738785769,281438.0237050089,37013
297,2020-12-31,253924.52012466083,267866.84676187055,283692.3884928475,37013
298,2021-01-31,254655.41639097023,269626.9002038289,286284.7433739585,37013
299,2021-02-28,255249.77914468574,271175.9755349903,288590.0157950521,37013
300,2021-03-31,257270.61903304022,273424.4711180848,291932.4357776835,37013
562,2018-01-01,256544.1467409197,257536.43948509634,258601.17451264392,37211
563,2018-02-01,258716.3998759714,259787.32231576563,260821.6127057516,37211
564,2018-03-01,260997.6030728122,261915.34714566733,263034.77788519766,37211
565,2018-04-01,263133.5475339979,264142.1085497869,265156.9820979668,37211
566,2018-04-30,265122.40979428386,266159.59686260915,267235.3715418287,37211
567,2018-05-31,267035.6226605518,268032.84586325183,269026.8679824974,37211
568,2018-06-30,268844.0564392852,269901.2310815788,270958.5097670635,37211
569,2018-07-31,271295.9380653186,272602.0474764179,273814.00837151636,37211
570,2018-08-31,273792.21054076153,275228.80706641485,276504.2520015565,37211
571,2018-09-30,275787.4881947346,277382.0230754938,278878.15245068766,37211
572,2018-10-31,277380.5264899807,279496.2110348444,281101.91882499034,37211
573,2018-11-30,278999.0321658257,281304.8854993099,283272.87207489007,37211
574,2018-12-31,280450.41211673577,283216.7386255937,285449.5007084224,37211
575,2019-01-31,282758.57082354533,285984.04313116946,288786.3487689629,37211
576,2019-02-28,284860.36542685656,288688.0753668544,291832.3495407152,37211
577,2019-03-31,285945.7797283528,290777.707715714,294726.95171096665,37211
578,2019-04-30,287411.2835123159,292561.3711248214,297119.0134707716,37211
579,2019-05-31,288492.4719183135,294365.22010461654,299627.4375759478,37211
580,2019-06-30,289540.03602518927,296182.0136370633,302076.3224316136,37211
581,2019-07-31,291718.50795283425,298991.8309988828,305463.4173140933,37211
582,2019-08-31,293247.15572666284,301699.99523464544,309544.2658255914,37211
583,2019-09-30,295116.7217858127,303843.2165237824,312070.6331244432,37211
584,2019-10-31,296214.4034773053,305922.0022514642,315136.1118060178,37211
585,2019-11-30,296892.2580678666,307634.46560037974,317575.5320346784,37211
586,2019-12-31,298231.1746993543,309482.70348521206,320102.39129204245,37211
587,2020-01-31,300268.3689978034,312361.1620198947,324077.9174274281,37211
588,2020-02-29,301606.44197201176,314875.1299654634,327185.71186207706,37211
589,2020-03-31,302762.65943317587,317054.9537614618,330593.1268374269,37211
590,2020-04-30,304328.82592414913,318983.6241815681,333884.08629606455,37211
591,2020-05-31,304969.1247055044,320997.52417965303,336495.89809429593,37211
592,2020-06-30,305290.2359597805,322980.417167588,339668.4520015364,37211
593,2020-07-31,306599.19935373316,325469.56554442155,343179.7595517443,37211
594,2020-08-31,308414.41660503787,327928.2740486339,346538.8919991431,37211
595,2020-09-30,309005.73514210555,330092.44850894826,349970.52941577573,37211
596,2020-10-31,310354.1585441566,332271.8240845228,352812.1893034336,37211
597,2020-11-30,310299.8921479472,334273.91017500946,356415.25557532115,37211
598,2020-12-31,311288.57632056775,336324.13267150393,359700.7009202823,37211
599,2021-01-31,312478.5466172007,338876.604808579,363722.29667837144,37211
600,2021-02-28,314223.93169662094,341357.03666004527,367312.8629955515,37211
601,2021-03-31,314515.41363225045,343509.409305793,370465.5273818349,37211
863,2018-01-01,273459.2868312609,274445.617220855,275415.1823596222,37075
864,2018-02-01,274989.72170181846,276076.0161355263,277042.01945705456,37075
865,2018-03-01,276725.8112507211,277723.72188537056,278728.51598766615,37075
866,2018-04-01,278447.72914611665,279407.2384110256,280376.6427149885,37075
867,2018-04-30,280079.7766410518,281107.9388072421,282140.27085578814,37075
868,2018-05-31,281828.8569545265,283075.5343098956,284080.36410686065,37075
869,2018-06-30,283335.2435484563,284610.5490192406,285665.54816156573,37075
870,2018-07-31,285164.643224121,286339.2570683879,287638.6777598762,37075
871,2018-08-31,286811.7702647532,288262.3570665332,289649.07385947835,37075
872,2018-09-30,288681.557238133,290236.1550940687,291657.69367504236,37075
873,2018-10-31,289849.41211816185,291866.96944111964,293677.7349212277,37075
874,2018-11-30,291078.96623951255,293435.99563718,295426.11777030746,37075
875,2018-12-31,292220.5402598754,294904.06902459543,297617.90209409874,37075
876,2019-01-31,292686.9526212564,296214.64748698106,299070.5544720054,37075
877,2019-02-28,295549.6376369539,299475.3277129342,303065.165801962,37075
878,2019-03-31,295208.16910458053,299759.96251063637,304142.53597787936,37075
879,2019-04-30,296310.74614803796,301850.96375029936,306713.00017372234,37075
880,2019-05-31,297742.1420652791,303855.89708343166,309506.54462041124,37075
881,2019-06-30,298601.8002849951,305355.4100231186,311506.590812143,37075
882,2019-07-31,299854.7680081966,307083.0508920364,314216.36710441264,37075
883,2019-08-31,301057.8483266271,309042.32912019594,317351.09133861517,37075
884,2019-09-30,302115.51164784335,311058.5497797696,320108.96907259885,37075
885,2019-10-31,302692.5866761707,312646.8900441688,322575.69469444343,37075
886,2019-11-30,303612.2167951862,314188.95746111544,325525.06937242916,37075
887,2019-12-31,303957.5816121514,315619.33590519626,328039.5524825172,37075
888,2020-01-31,304161.5130325258,316878.24453879066,330014.8217583148,37075
889,2020-02-29,306564.761048971,319676.2298517093,333703.8819218412,37075
890,2020-03-31,306266.9662015566,320807.8723652624,335658.8851280212,37075
891,2020-04-30,307511.32372447074,322750.3793201928,338429.63430323725,37075
892,2020-05-31,308174.2529739339,324642.37644832797,341992.3122677591,37075
893,2020-06-30,308459.2946292046,326248.3398263997,344339.5247614149,37075
894,2020-07-31,309129.25004059914,327982.31373628497,347668.26966662257,37075
895,2020-08-31,310030.6994281754,329834.30514386215,350622.8996907719,37075
896,2020-09-30,310638.04235984926,331718.5651669906,353981.422734017,37075
897,2020-10-31,311277.76904713456,333430.66759203025,356205.77702886815,37075
898,2020-11-30,311208.4277579543,335053.5130766441,359415.6739588848,37075
899,2020-12-31,312136.40516945964,336599.6635838286,362596.1844159515,37075
900,2021-01-31,311717.65566909214,338025.8784708337,364947.1530122746,37075
901,2021-02-28,313546.4231528107,340652.3274043153,369149.11576539767,37075
902,2021-03-31,312854.3029666696,341503.95007233444,371297.3395675511,37075
1164,2018-01-01,184378.13288048614,185472.48068794396,186564.4372634145,37130
1165,2018-02-01,185973.35070920232,187093.81815054629,188154.8406949892,37130
1166,2018-03-01,187518.2293931981,188567.63865091006,189670.63994637484,37130
1167,2018-04-01,189088.65980195184,190278.91480928764,191331.14521505762,37130
1168,2018-04-30,190447.92122376445,191546.10654269456,192620.77278110018,37130
1169,2018-05-31,192365.81594945912,193487.73554383428,194560.41113195737,37130
1170,2018-06-30,193852.8853700239,194994.56700053837,196126.16897258992,37130
1171,2018-07-31,195365.0713122388,196546.59266902038,197696.45615958792,37130
1172,2018-08-31,196690.21516997743,197945.8654083386,199184.43850370275,37130
1173,2018-09-30,197897.07272655854,199282.86331140928,200631.77758525958,37130
1174,2018-10-31,199425.67236696795,200943.3206399789,202356.8729537689,37130
1175,2018-11-30,201212.07608798915,202688.73400879026,204127.07686259123,37130
1176,2018-12-31,203060.09820005888,204742.51386553203,206409.2166292636,37130
1177,2019-01-31,204297.2995266656,206234.11335918517,207892.03450241176,37130
1178,2019-02-28,204461.18373413366,206608.5141222989,208624.16093271153,37130
1179,2019-03-31,206812.71333273323,209032.1613107471,211184.43370787072,37130
1180,2019-04-30,207628.6653239899,210340.35069178636,212757.7423376331,37130
1181,2019-05-31,209228.31933133228,212351.57696078467,214984.37686859618,37130
1182,2019-06-30,210450.56130772582,213833.88825181357,216935.30991624613,37130
1183,2019-07-31,211573.4810104032,215369.02542371146,218763.24308020857,37130
1184,2019-08-31,212536.24000529622,216732.23439835638,220583.45199188925,37130
1185,2019-09-30,213467.8139124355,218033.43878933002,222090.372213192,37130
1186,2019-10-31,214342.59796231083,219713.4803861463,224383.02097678036,37130
1187,2019-11-30,215882.90423083294,221509.2880955668,226552.52846338923,37130
1188,2019-12-31,217737.41904505942,223653.92524841358,228935.06002334825,37130
1189,2020-01-31,218592.44997036265,225108.05248527072,230976.77142735454,37130
1190,2020-02-29,218941.94940131175,225898.5561447051,232144.94762468434,37130
1191,2020-03-31,220182.56394349757,227887.3011465977,234644.47541708214,37130
1192,2020-04-30,221179.85557994997,229243.2256943765,236552.47644024712,37130
1193,2020-05-31,222740.1323512891,231043.297873796,238747.5498914061,37130
1194,2020-06-30,223153.67009525266,232593.804526578,240952.70895541375,37130
1195,2020-07-31,224385.0521390719,234177.37961799742,242926.3582604631,37130
1196,2020-08-31,225587.8221332402,235648.77753897815,244951.67865018404,37130
1197,2020-09-30,226305.96028150083,237062.05097198184,246493.22410528437,37130
1198,2020-10-31,227385.50137179517,238688.41355054313,248465.78626517876,37130
1199,2020-11-30,228473.55536205103,240335.48338647097,251051.53581702744,37130
1200,2020-12-31,229515.09017906338,242200.9031996627,252991.3501757743,37130
1201,2021-01-31,230557.36490318502,243756.10605336772,255383.22237553587,37130
1202,2021-02-28,230675.9512537041,244562.62864522476,256551.85981769438,37130
1203,2021-03-31,232009.24186421614,246693.96350658196,258989.32457667295,37130
1465,2018-01-01,164635.43193939613,165904.90396152018,167194.4427180879,38401
1466,2018-02-01,166038.2793266885,167470.35961926598,168838.18582444786,38401
1467,2018-03-01,167647.7120528464,168954.22482047352,170314.59483461926,38401
1468,2018-04-01,169204.97385401154,170571.33860201496,171856.79962286138,38401
1469,2018-04-30,170517.13058100943,171872.24189387006,173204.50946140417,38401
1470,2018-05-31,172276.3080533588,173581.6812416817,174985.52743151187,38401
1471,2018-06-30,173975.82036737815,175347.57713858588,176755.0655793846,38401
1472,2018-07-31,175803.01988124894,177230.31184474385,178670.5680555991,38401
1473,2018-08-31,177584.60348111184,179108.53431449842,180706.97481422825,38401
1474,2018-09-30,179072.57303605846,180749.11675866396,182525.8377258748,38401
1475,2018-10-31,180487.55632442876,182255.02979028056,184167.32624395174,38401
1476,2018-11-30,181815.31532651107,183830.34048650818,185891.7644723327,38401
1477,2018-12-31,183633.77596487108,185759.38049866358,187925.66678255677,38401
1478,2019-01-31,185162.59022485852,187629.72045297132,189998.53934683747,38401
1479,2019-02-28,185569.13234403622,188522.69568863112,191246.1614188957,38401
1480,2019-03-31,187523.16232443973,190744.83114446432,194003.23565311683,38401
1481,2019-04-30,188412.6749231744,191737.5941603327,195097.09385673815,38401
1482,2019-05-31,189584.61431670882,193444.57434566112,197103.1838960422,38401
1483,2019-06-30,190776.93510907984,195227.04557796862,199386.49275857394,38401
1484,2019-07-31,192056.0155598558,197141.33157854073,201840.79105918296,38401
1485,2019-08-31,193230.59444633033,199043.4275234254,203792.70278181476,38401
1486,2019-09-30,194600.92441424218,200666.26056039872,206611.05643936,38401
1487,2019-10-31,195233.6699206478,202113.38535695733,208583.67349995163,38401
1488,2019-11-30,196326.11338255194,203676.0561376856,210594.03125154474,38401
1489,2019-12-31,197630.29141242694,205661.95860084458,213292.67283676175,38401
