,RegionName,City,State,Metro,CountyName,time,value,ds,yhat_lower,yhat,yhat_upper,Zip_code,log_value,log_yhat
0,95123,San Jose,CA,San Jose,Santa Clara,1996-04-01,224500.0,1996-04-01,219916.06741823186,223469.88150313127,226996.04055817437,95123,12.321630986164447,12.317031925579784
1,95051,Santa Clara,CA,San Jose,Santa Clara,1996-04-01,258700.0,1996-04-01,249543.50057062978,256811.96416456654,264384.5827763153,95051,12.46342436817412,12.45609943913857
2,95035,Milpitas,CA,San Jose,Santa Clara,1996-04-01,231100.0,1996-04-01,223270.36941148722,229623.68927118919,235915.5599356948,95035,12.350605796262473,12.34419711437349
3,95014,Cupertino,CA,San Jose,Santa Clara,1996-04-01,432400.0,1996-04-01,421054.8606904995,430083.0434623781,438350.9948294823,95014,12.97710636474719,12.971733593354754
4,95112,San Jose,CA,San Jose,Santa Clara,1996-04-01,186800.0,1996-04-01,182265.48434943834,185865.57270048506,189648.05659064933,95112,12.13779380477688,12.132778963985228
5,94087,Sunnyvale,CA,San Jose,Santa Clara,1996-04-01,361300.0,1996-04-01,350685.11595249316,358852.78782230563,367096.0298563976,94087,12.797463917135731,12.790667521595788
6,95125,San Jose,CA,San Jose,Santa Clara,1996-04-01,286000.0,1996-04-01,280488.15019178356,284758.03257150366,289168.76700586564,95125,12.56374708980199,12.55939509011789
7,94086,Sunnyvale,CA,San Jose,Santa Clara,1996-04-01,310400.0,1996-04-01,303155.3659682157,309650.5633144107,315573.07317029004,94086,12.645617067291202,12.643199725561745
8,95008,Campbell,CA,San Jose,Santa Clara,1996-04-01,262100.0,1996-04-01,254777.74376911536,260892.76829112796,266468.63031139574,95008,12.476481389311498,12.471864752423787
9,95020,Gilroy,CA,San Jose,Santa Clara,1996-04-01,238000.0,1996-04-01,233016.68828492562,236967.5023151142,240999.44801017657,95020,12.380025952653611,12.375678289682046
10,95124,San Jose,CA,San Jose,Santa Clara,1996-04-01,249700.0,1996-04-01,242559.1260600607,248480.56410317402,254000.95770520344,95124,12.428015476267865,12.423119908595543
11,95037,Morgan Hill,CA,San Jose,Santa Clara,1996-04-01,314800.0,1996-04-01,310629.6471311386,313931.72156309395,317529.522397646,95037,12.659692795525386,12.656930793994016
12,95136,San Jose,CA,San Jose,Santa Clara,1996-04-01,242500.0,1996-04-01,236815.39652220096,241398.47348617594,245871.48793964606,95136,12.398756989359676,12.394204264038896
13,95127,San Jose,CA,San Jose,Santa Clara,1996-04-01,187400.0,1996-04-01,183403.93453101048,186527.55230985634,189603.69456264382,95127,12.14100064878646,12.136334240719393
14,95111,San Jose,CA,San Jose,Santa Clara,1996-04-01,188200.0,1996-04-01,183744.13934660208,187018.2911951443,190542.51062678953,95111,12.145260506133416,12.138961704931035
15,95023,Hollister,CA,San Jose,San Benito,1996-04-01,203700.0,1996-04-01,200929.28151612947,203601.534285023,206206.35364224392,95023,12.224403602214897,12.223920099411167
16,94040,Mountain View,CA,San Jose,Santa Clara,1996-04-01,413200.0,1996-04-01,401612.54520353465,411552.879986947,420992.7973588398,94040,12.93168701622762,12.927692796279226
17,95050,Santa Clara,CA,San Jose,Santa Clara,1996-04-01,236900.0,1996-04-01,229322.36833533822,234849.61471174157,240436.1905346709,95050,12.375393390146877,12.366700650882118
18,95126,San Jose,CA,San Jose,Santa Clara,1996-04-01,245400.0,1996-04-01,238272.25239232052,243884.50009391923,249494.79324378984,95126,12.410644811258948,12.404450031934175
19,94303,Palo Alto,CA,San Jose,Santa Clara,1996-04-01,374300.0,1996-04-01,345930.63316823426,367031.0313774975,389598.6200068976,94303,12.83281289389252,12.813201677624324
20,95129,San Jose,CA,San Jose,Santa Clara,1996-04-01,325800.0,1996-04-01,311733.8806395073,322453.33678018535,333113.2975887881,95129,12.694038975150082,12.68371371259458
21,95128,San Jose,CA,San Jose,Santa Clara,1996-04-01,233700.0,1996-04-01,227352.36140140423,232553.67521780936,237564.35151697183,95128,12.36179352052695,12.35687633851708
22,95134,San Jose,CA,San Jose,Santa Clara,1996-04-01,254500.0,1996-04-01,230820.4598494742,248330.1504727544,264832.56226003217,95134,12.447056114972714,12.422514391723212
23,94043,Mountain View,CA,San Jose,Santa Clara,1996-04-01,291700.0,1996-04-01,283209.5018599808,289775.4444651619,296686.7926466731,94043,12.583481155855813,12.576861572584297
24,95116,San Jose,CA,San Jose,Santa Clara,1996-04-01,170600.0,1996-04-01,166130.3948018025,169102.79383968384,172227.51629574093,95116,12.047076914039716,12.038262056569726
25,95120,San Jose,CA,San Jose,Santa Clara,1996-04-01,365400.0,1996-04-01,356511.05996896984,363857.8785733937,371150.82867220085,95120,12.808747922926043,12.804518626896288
