,ds,yhat_lower,yhat,yhat_upper,Zip_code
261,2018-01-01,983095.0994020444,986498.9244149915,990242.9762134989,95123
262,2018-02-01,1002517.8347285127,1005797.6314296069,1009508.4588812068,95123
263,2018-03-01,1020363.3458191601,1023702.3012082981,1026982.5812982956,95123
264,2018-04-01,1039032.5335760838,1042696.77703722,1046342.6186225631,95123
265,2018-04-30,1057687.7841014033,1061526.889390151,1065689.1014399491,95123
266,2018-05-31,1072791.3255377735,1080547.0404962478,1087411.8889903503,95123
267,2018-06-30,1084631.8693027403,1097648.7665733462,1110356.0207917637,95123
268,2018-07-31,1096062.3770850962,1115085.868049733,1134437.578197653,95123
269,2018-08-31,1106595.452303809,1135981.6370075413,1159573.5399742264,95123
270,2018-09-30,1120914.8937664214,1156556.860320205,1190512.0011943365,95123
271,2018-10-31,1130299.877262539,1174787.4501792558,1217998.7857795411,95123
272,2018-11-30,1135842.9714067823,1191742.650297383,1245195.7758035576,95123
273,2018-12-31,1148606.6800695874,1210992.4378030072,1275746.9926508782,95123
274,2019-01-31,1162676.1397179659,1233987.9118812936,1315030.9081963352,95123
275,2019-02-28,1170216.5120698,1250365.6636761432,1344841.543474707,95123
276,2019-03-31,1179100.5846555845,1269188.6717572978,1374281.6110712648,95123
277,2019-04-30,1189958.780249731,1288961.132543647,1402946.490358845,95123
278,2019-05-31,1195273.9907195796,1307944.6556329,1433400.493086874,95123
279,2019-06-30,1202806.5229469526,1324817.1870844534,1463033.2593310787,95123
280,2019-07-31,1208681.4549615686,1342003.9721761313,1493939.2469846457,95123
281,2019-08-31,1219281.465336735,1363376.4816405314,1529170.5724814238,95123
282,2019-09-30,1228579.6149373204,1384292.0335881822,1562542.6217391142,95123
283,2019-10-31,1232336.812028492,1402268.4563335225,1595306.2552095363,95123
284,2019-11-30,1232144.8215992122,1418739.8910769853,1628535.817485921,95123
285,2019-12-31,1236791.755093795,1437885.0622557949,1660243.415598149,95123
286,2020-01-31,1245563.358552008,1461617.8228222923,1699662.2676299878,95123
287,2020-02-29,1252536.7291889898,1478315.8926150256,1731521.0115746497,95123
288,2020-03-31,1260784.7776269668,1497231.3378722772,1759693.806596413,95123
289,2020-04-30,1264329.5281384706,1516510.3383724978,1787550.2768147348,95123
290,2020-05-31,1263255.80840555,1535587.976104687,1833778.103014824,95123
291,2020-06-30,1266282.0799278114,1553147.8080235363,1868126.142895482,95123
292,2020-07-31,1268749.8445478263,1571121.2666137184,1902183.241907282,95123
293,2020-08-31,1269929.738789426,1591084.6504121805,1934380.9657114097,95123
294,2020-09-30,1272602.0280667436,1610940.8244146847,1972372.6647333868,95123
295,2020-10-31,1276307.476415037,1629643.0546792632,2005029.8811127609,95123
296,2020-11-30,1271194.2003915892,1647576.6736017538,2034002.8168928553,95123
297,2020-12-31,1269429.8001547507,1667085.4248748668,2069508.165096159,95123
298,2021-01-31,1269029.78699532,1688602.0632394094,2109122.4294946906,95123
299,2021-02-28,1267218.5351761847,1705619.3415403257,2137303.728350055,95123
300,2021-03-31,1269567.1863880968,1724500.4371842933,2180359.444225159,95123
562,2018-01-01,1464806.01862366,1471544.005366684,1478838.2055901669,95051
