,RegionName,City,State,Metro,CountyName,time,value,ds,yhat_lower,yhat,yhat_upper,Zip_code,log_value,log_yhat
0,27610,Raleigh,NC,Raleigh,Wake,1996-04-01,113000.0,1996-04-01,109864.57214190037,110557.78102192718,111231.06966193175,27610,11.635143097694478,11.613293568448485
1,27587,Wake Forest,NC,Raleigh,Wake,1996-04-01,200000.0,1996-04-01,192256.6792250355,194179.7278452514,196264.75777331198,27587,12.206072645530174,12.17653944136404
2,27519,Cary,NC,Raleigh,Wake,1996-04-01,223500.0,1996-04-01,217949.69722277604,220592.16787497126,222970.9662822229,27519,12.31716669303576,12.304070881431336
3,27603,Raleigh,NC,Raleigh,Wake,1996-04-01,138700.0,1996-04-01,134133.60782737882,135024.41002760833,135874.4869288251,27603,11.840068606302923,11.813210856094821
4,27606,Raleigh,NC,Raleigh,Wake,1996-04-01,149400.0,1996-04-01,147861.69881256553,148785.96357200638,149735.54434673325,27606,11.914382551680854,11.910264066098405
5,27529,Garner,NC,Raleigh,Wake,1996-04-01,116500.0,1996-04-01,113326.429948201,114399.06667850254,115444.34378447925,27529,11.665646551987892,11.647448199489856
6,27616,Raleigh,NC,Raleigh,Wake,1996-04-01,118600.0,1996-04-01,117090.77095219359,117723.23182977899,118399.62257375741,27616,11.683511765545763,11.6760916555025
7,27613,Raleigh,NC,Raleigh,Wake,1996-04-01,182600.0,1996-04-01,177196.94524401493,179249.00496716407,181296.944371554,27613,12.115053247143004,12.096531207356719
8,27526,Fuquay Varina,NC,Raleigh,Wake,1996-04-01,174000.0,1996-04-01,174064.63133495138,175126.68711789537,176150.15546239744,27526,12.066810578196666,12.07326491738531
9,27615,Raleigh,NC,Raleigh,Wake,1996-04-01,160600.0,1996-04-01,157861.0803398518,159339.14905075874,160807.21455389104,27615,11.986672080494799,11.978790222457933
10,27612,Raleigh,NC,Raleigh,Wake,1996-04-01,165000.0,1996-04-01,160669.17839847354,162407.65818408845,164086.0221679971,27612,12.013700752882718,11.997864861903855
11,27604,Raleigh,NC,Raleigh,Wake,1996-04-01,108500.0,1996-04-01,106834.15762867124,107479.04443517093,108168.6509669968,27604,11.594505451962652,11.58505117206068
12,27513,Cary,NC,Raleigh,Wake,1996-04-01,161500.0,1996-04-01,159731.8674749386,160469.24990589093,161207.143018837,27513,11.992260421644849,11.985857613825223
13,27609,Raleigh,NC,Raleigh,Wake,1996-04-01,140800.0,1996-04-01,138280.8152376475,140206.94561925618,142028.74028286093,27609,11.855095722706078,11.850874793149076
14,27520,Clayton,NC,Raleigh,Johnston,1996-04-01,91200.0,1996-04-01,90147.08907636738,91178.16399364779,92187.03090101511,27520,11.420810176062423,11.420570717500297
15,27502,Apex,NC,Raleigh,Wake,1996-04-01,197600.0,1996-04-01,191549.15902054033,193230.06159897524,194917.82201438837,27502,12.194000064295905,12.17163678699477
16,27560,Morrisville,NC,Raleigh,Wake,1996-04-01,160500.0,1996-04-01,157712.98727917642,158904.8529793555,160072.32771036908,27560,11.986049221552207,11.97606089314941
17,27511,Cary,NC,Raleigh,Wake,1996-04-01,150100.0,1996-04-01,149624.70550049047,150300.2505607004,150985.66128416432,27511,11.919057017621553,11.920390242810205
18,27614,Raleigh,NC,Raleigh,Wake,1996-04-01,226600.0,1996-04-01,219748.28876296358,222215.7783595362,224761.5252612365,27614,12.330941627576044,12.31140416338548
19,27540,Holly Springs,NC,Raleigh,Wake,1996-04-01,213800.0,1996-04-01,207280.4960311692,209169.63797611342,211109.5784246276,27540,12.272796277573082,12.25090086668256
20,27545,Knightdale,NC,Raleigh,Wake,1996-04-01,114500.0,1996-04-01,112605.83537886062,113157.11895070189,113691.16693497775,27545,11.648330101976432,11.636532565129409
21,27577,Smithfield,NC,Raleigh,Johnston,1996-04-01,75600.0,1996-04-01,75021.20231636966,76038.22256739748,76935.14029695894,27577,11.233211562167625,11.238991421360696
22,27617,Raleigh,NC,Raleigh,Wake,1996-04-01,167900.0,1996-04-01,164424.4636248162,165941.8372388042,167396.43716727546,27617,12.031123843065632,12.019392627862446
23,27597,Zebulon,NC,Raleigh,Wake,1996-04-01,91500.0,1996-04-01,90061.21104748982,90999.28667972122,91977.05011658826,27597,11.424094251263613,11.418606946783882
24,27549,Louisburg,NC,Raleigh,Franklin,1996-04-01,60100.0,1996-04-01,58265.570441202646,59497.58417371922,60700.89265930144,27549,11.0037651205233,10.993690988587067
25,27527,Clayton,NC,Raleigh,Johnston,1996-04-01,130700.0,1996-04-01,128722.08848316282,129956.15485634522,131110.330643239,27527,11.780659899612314,11.774952402213483
26,27607,Raleigh,NC,Raleigh,Wake,1996-04-01,162800.0,1996-04-01,160076.3861750063,161516.32992040258,162844.96792080166,27607,12.000277732550577,11.992361530591387
27,27518,Cary,NC,Raleigh,Wake,1996-04-01,235900.0,1996-04-01,232684.15336013443,234763.44120039683,236821.12726174208,27518,12.371163265395767,12.366333652941039
28,27539,Apex,NC,Raleigh,Wake,1996-04-01,222400.0,1996-04-01,215641.99208858897,218497.0964618755,221270.1470616127,27539,12.312232841358565,12.294528004925487
29,27591,Wendell,NC,Raleigh,Wake,1996-04-01,98500.0,1996-04-01,96846.2170150555,97751.75657643532,98579.42229042371,27591,11.49781182716018,11.490186447777562
30,27576,Selma,NC,Raleigh,Johnston,1996-04-01,62800.0,1996-04-01,62294.12026486762,63776.699229565835,65256.02109831209,27576,11.04771035245629,11.063143186787809
31,27596,Youngsville,NC,Raleigh,Franklin,1996-04-01,80000.0,1996-04-01,75997.12181804712,78319.01946706358,80576.06011034132,27596,11.289781913656018,11.268545757553289
32,27504,Benson,NC,Raleigh,Johnston,1996-04-01,82700.0,1996-04-01,81125.72633578675,82295.62105476615,83455.5812807828,27504,11.322974881011783,11.318073178138631
33,27592,Willow Spring,NC,Raleigh,Wake,1996-04-01,132200.0,1996-04-01,129040.28329924677,130157.5173359515,131268.58301540953,27592,11.792071206399722,11.77650066777087
34,27525,Franklinton,NC,Raleigh,Franklin,1996-04-01,76100.0,1996-04-01,74615.17082966396,75557.18033674938,76535.257853319,27525,11.239803543849778,11.23264500404183
35,27524,Four Oaks,NC,Raleigh,Johnston,1996-04-01,75400.0,1996-04-01,73969.72215630831,75489.35184015622,76996.2742312751,27524,11.230562553996048,11.231746890060993
36,27608,Raleigh,NC,Raleigh,Wake,1996-04-01,153200.0,1996-04-01,148541.8386847752,151962.7589987939,154779.83606998296,27608,11.939499536288627,11.931390763222515
37,27601,Raleigh,NC,Raleigh,Wake,1996-04-01,110000.0,1996-04-01,108023.35920752512,111195.31948301895,114177.14897125823,27601,11.608235644774552,11.619043568932723
38,27523,Apex,NC,Raleigh,Wake,1996-04-01,202600.0,1996-04-01,200724.28919773572,201805.61001371872,202940.33635734353,27523,12.21898887079672,12.215060186385003
39,27605,Raleigh,NC,Raleigh,Wake,1996-04-01,150900.0,1996-04-01,145046.66590177172,149233.123440165,153631.65657472453,27605,11.924372644755941,11.913264949083512
40,27569,Princeton,NC,Raleigh,Johnston,1996-04-01,63400.0,1996-04-01,60066.511502601774,63132.46216413847,66442.13985333561,27569,11.057219140425318,11.052990372092317
41,27571,Rolesville,NC,Raleigh,Wake,1996-04-01,231700.0,1996-04-01,228589.45684467445,231013.21353492598,233353.66791290135,27571,12.353198710420468,12.350230189317886
42,27562,New Hill,NC,Raleigh,Wake,1996-04-01,164200.0,1996-04-01,156977.3408816594,160942.83968011918,165042.9765932842,27562,12.008840476000465,11.98880454788471
43,27610,Raleigh,NC,Raleigh,Wake,1996-05-01,111700.0,1996-05-01,109661.96238484018,110373.32224280377,111070.24759536,27610,11.623571985057293,11.611623737272533
44,27587,Wake Forest,NC,Raleigh,Wake,1996-05-01,195700.0,1996-05-01,189574.5388839071,191740.6226325298,193910.66285901205,27587,12.184338153384168,12.163898813900826
45,27519,Cary,NC,Raleigh,Wake,1996-05-01,222400.0,1996-05-01,217478.8600940098,220036.7116539712,222508.4335126395,27519,12.312232841358565,12.30154968256747
46,27603,Raleigh,NC,Raleigh,Wake,1996-05-01,135800.0,1996-05-01,133091.26081604365,134075.93804501032,134967.59868979387,27603,11.818938494106733,11.806161620246643
47,27606,Raleigh,NC,Raleigh,Wake,1996-05-01,148500.0,1996-05-01,146915.25433630325,147901.54083987683,148874.54606792104,27606,11.908340237224891,11.904302066764142
48,27529,Garner,NC,Raleigh,Wake,1996-05-01,115000.0,1996-05-01,113091.37235009069,114125.80287234901,115191.6393208893,27529,11.652687407345388,11.645056652898583
49,27616,Raleigh,NC,Raleigh,Wake,1996-05-01,117900.0,1996-05-01,116724.20977170714,117365.51716028748,118012.90542132288,27616,11.677592086525463,11.67304842228013
50,27613,Raleigh,NC,Raleigh,Wake,1996-05-01,181800.0,1996-05-01,177834.54232184077,179821.12751903097,181914.7513627956,27613,12.110662460725516,12.099717899783988
51,27526,Fuquay Varina,NC,Raleigh,Wake,1996-05-01,173300.0,1996-05-01,171812.1901219944,172919.14774096783,173968.87436349996,27526,12.062779475703698,12.0605794101375
52,27615,Raleigh,NC,Raleigh,Wake,1996-05-01,160400.0,1996-05-01,158395.98223333526,159750.87888128904,161225.51186067663,27615,11.985425974414552,11.981370873828961
53,27612,Raleigh,NC,Raleigh,Wake,1996-05-01,164600.0,1996-05-01,161582.99223339144,163292.7773188143,165058.34226271498,27612,12.011273567225107,12.003300048456914
54,27604,Raleigh,NC,Raleigh,Wake,1996-05-01,108200.0,1996-05-01,106900.4821346451,107591.50269842442,108288.74023048005,27604,11.591736645394517,11.586096952387198
55,27513,Cary,NC,Raleigh,Wake,1996-05-01,161500.0,1996-05-01,160079.96158907434,160877.44970725133,161643.55089404059,27513,11.992260421644849,11.988398172177995
56,27609,Raleigh,NC,Raleigh,Wake,1996-05-01,141500.0,1996-05-01,139487.7503593543,141376.52834658383,143089.2060154754,27609,11.86005499606543,11.859182023945904
57,27520,Clayton,NC,Raleigh,Johnston,1996-05-01,91800.0,1996-05-01,91003.03657274386,92066.40223902444,93119.32551205764,27520,11.427367576608582,11.430265359152846
58,27502,Apex,NC,Raleigh,Wake,1996-05-01,194700.0,1996-05-01,190713.55692024936,192530.28382574863,194389.13755604727,27502,12.17921519136029,12.168008738912024
59,27560,Morrisville,NC,Raleigh,Wake,1996-05-01,160400.0,1996-05-01,158217.60952734738,159516.3011737519,160758.2058034081,27560,11.985425974414552,11.97990139770111
60,27511,Cary,NC,Raleigh,Wake,1996-05-01,149100.0,1996-05-01,148222.91182358772,148945.45514985916,149643.42925683592,27511,11.912372500752829,11.911335445086847
61,27614,Raleigh,NC,Raleigh,Wake,1996-05-01,225300.0,1996-05-01,220209.0657065537,222741.7642039702,225125.45310726887,27614,12.325188126420336,12.313768371378911
62,27540,Holly Springs,NC,Raleigh,Wake,1996-05-01,210600.0,1996-05-01,205802.25771766,207647.54471544907,209521.58732023544,27540,12.257715878682012,12.24359742483994
63,27545,Knightdale,NC,Raleigh,Wake,1996-05-01,113800.0,1996-05-01,112628.49688971725,113148.08150874924,113729.81001034442,27545,11.642197800674367,11.636452695626286
64,27577,Smithfield,NC,Raleigh,Johnston,1996-05-01,76500.0,1996-05-01,76079.69010592323,77025.31079728511,77997.4707135292,27577,11.245046019814627,11.251889358475035
65,27617,Raleigh,NC,Raleigh,Wake,1996-05-01,166500.0,1996-05-01,164159.61348887248,165586.17819538453,166977.7337856709,27617,12.022750588402635,12.017247052446182
66,27597,Zebulon,NC,Raleigh,Wake,1996-05-01,91600.0,1996-05-01,90423.18080329493,91323.10102289889,92231.3548509591,27597,11.425186550662222,11.42215905782998
67,27549,Louisburg,NC,Raleigh,Franklin,1996-05-01,60200.0,1996-05-01,58405.14136236532,59695.00827915232,60942.04673004166,27549,11.005427631296913,10.997003682470362
68,27527,Clayton,NC,Raleigh,Johnston,1996-05-01,131500.0,1996-05-01,130008.3886566118,131258.98323103995,132478.0326892847,27527,11.786762130599957,11.784927621776776
69,27607,Raleigh,NC,Raleigh,Wake,1996-05-01,163400.0,1996-05-01,161178.99927479282,162612.04073357608,163986.9796623216,27607,12.00395646140804,11.999122524606195
70,27518,Cary,NC,Raleigh,Wake,1996-05-01,235700.0,1996-05-01,232711.4421775962,234747.99146943857,236961.83657676534,27518,12.370315088924222,12.366267840993176
71,27539,Apex,NC,Raleigh,Wake,1996-05-01,220400.0,1996-05-01,214696.36081213388,217584.30760608093,220258.86501555386,27539,12.303199356260896,12.290341675582578
72,27591,Wendell,NC,Raleigh,Wake,1996-05-01,98500.0,1996-05-01,97184.25033388005,98161.28211284924,99007.30290118277,27591,11.49781182716018,11.494367140758838
73,27576,Selma,NC,Raleigh,Johnston,1996-05-01,63900.0,1996-05-01,63147.343995094794,64623.55700443525,66156.34127180697,27576,11.065074640365626,11.076334282809954
74,27596,Youngsville,NC,Raleigh,Franklin,1996-05-01,80200.0,1996-05-01,76717.29155994732,78955.95210368595,81362.46916678057,27596,11.292278793854607,11.276645407642373
75,27504,Benson,NC,Raleigh,Johnston,1996-05-01,83200.0,1996-05-01,81668.164604519,82932.51966239343,84286.44763088471,27504,11.3290026268093,11.325782539986148
76,27592,Willow Spring,NC,Raleigh,Wake,1996-05-01,129700.0,1996-05-01,127486.99580011208,128618.73328141362,129726.47407404377,27592,11.772979370304535,11.764607751105244
77,27525,Franklinton,NC,Raleigh,Franklin,1996-05-01,76500.0,1996-05-01,75221.7639537499,76165.40860842208,77113.19445014719,27525,11.245046019814627,11.240662683335799
78,27524,Four Oaks,NC,Raleigh,Johnston,1996-05-01,76000.0,1996-05-01,74487.65651105165,76041.1014422508,77573.72558968524,27524,11.238488619268468,11.239029281534949
79,27608,Raleigh,NC,Raleigh,Wake,1996-05-01,154600.0,1996-05-01,151114.80575890825,154341.22502817426,157493.98682884168,27608,11.948596415135459,11.9469211771848
80,27601,Raleigh,NC,Raleigh,Wake,1996-05-01,109800.0,1996-05-01,108071.1447082721,110849.9749494052,113950.91058768518,27601,11.606415808057568,11.615932989058011
81,27523,Apex,NC,Raleigh,Wake,1996-05-01,201300.0,1996-05-01,199770.11084440025,200861.95525500618,201973.85701947822,27523,12.212551611627882,12.210373161316989
82,27605,Raleigh,NC,Raleigh,Wake,1996-05-01,152200.0,1996-05-01,146525.22698106698,150952.5993385261,155336.67793526506,27605,11.932950724409723,11.924721154851092
83,27569,Princeton,NC,Raleigh,Johnston,1996-05-01,64000.0,1996-05-01,60514.73415368636,63992.68018252076,67022.91120962283,27569,11.06663836234181,11.066523983652703
84,27571,Rolesville,NC,Raleigh,Wake,1996-05-01,229700.0,1996-05-01,227395.32837276414,229663.33410428633,232017.41036818194,27571,12.34452938867719,12.344369750791145
85,27562,New Hill,NC,Raleigh,Wake,1996-05-01,162200.0,1996-05-01,155801.90903981507,159543.08881926184,163756.22979761384,27562,11.99658542066345,11.980069314060339
86,27610,Raleigh,NC,Raleigh,Wake,1996-06-01,110400.0,1996-06-01,109538.7215239119,110239.7904124479,110908.34642171588,27610,11.611865412825132,11.610413185052353
87,27587,Wake Forest,NC,Raleigh,Wake,1996-06-01,190700.0,1996-06-01,186992.48793632723,189075.67885170097,191016.98698106484,27587,12.15845679158851,12.149902631100971
88,27519,Cary,NC,Raleigh,Wake,1996-06-01,220700.0,1996-06-01,217072.41457253834,219550.91404531174,222216.3531189274,27519,12.304559592244829,12.299339439248389
89,27603,Raleigh,NC,Raleigh,Wake,1996-06-01,133100.0,1996-06-01,132208.13604192366,133070.57507166313,134029.47455014434,27603,11.798856004383204,11.798634906101029
90,27606,Raleigh,NC,Raleigh,Wake,1996-06-01,147300.0,1996-06-01,146068.09980089788,146903.4173891634,147868.92311341173,27606,11.900226602450722,11.897530625262132
91,27529,Garner,NC,Raleigh,Wake,1996-06-01,113800.0,1996-06-01,112861.23670032699,113934.35637845681,114985.97370785158,27529,11.642197800674367,11.643377740286306
92,27616,Raleigh,NC,Raleigh,Wake,1996-06-01,117200.0,1996-06-01,116362.6351458987,117012.852690365,117663.091482296,27616,11.67163715612505,11.670039059801
93,27613,Raleigh,NC,Raleigh,Wake,1996-06-01,180900.0,1996-06-01,178392.17426404404,180446.76265369036,182558.84870572304,27613,12.105699671383386,12.103191069503744
94,27526,Fuquay Varina,NC,Raleigh,Wake,1996-06-01,171600.0,1996-06-01,169426.45866554562,170465.35894090577,171564.70440944374,27526,12.052921466035999,12.046287381696082
95,27615,Raleigh,NC,Raleigh,Wake,1996-06-01,160200.0,1996-06-01,158528.8790537619,159913.23308868837,161283.074524062,27615,11.984178313616395,11.98238665392613
96,27612,Raleigh,NC,Raleigh,Wake,1996-06-01,164200.0,1996-06-01,162124.18710474504,163966.62322255244,165877.60498905263,27612,12.008840476000465,12.007418169158298
97,27604,Raleigh,NC,Raleigh,Wake,1996-06-01,107900.0,1996-06-01,107090.830914633,107744.55765042041,108388.60343786274,27604,11.588960151246226,11.587518497645547
98,27513,Cary,NC,Raleigh,Wake,1996-06-01,161500.0,1996-06-01,160468.43582077578,161296.4182176009,162085.6822210438,27513,11.992260421644849,11.990999058148219
99,27609,Raleigh,NC,Raleigh,Wake,1996-06-01,142200.0,1996-06-01,140653.21346282685,142468.31539939862,144326.08937083452,27609,11.864989796351278,11.866874905893448
100,27520,Clayton,NC,Raleigh,Johnston,1996-06-01,92600.0,1996-06-01,91944.44571378751,92965.97765963007,93921.57320315635,27520,11.436044420634271,11.4399888735858
101,27502,Apex,NC,Raleigh,Wake,1996-06-01,191800.0,1996-06-01,189802.32800854565,191660.5896678616,193353.67029250812,27502,12.164208441431475,12.163481324528007
102,27560,Morrisville,NC,Raleigh,Wake,1996-06-01,160400.0,1996-06-01,159017.19104921856,160158.05952146385,161447.62850140242,27560,11.985425974414552,11.983916478600674
103,27511,Cary,NC,Raleigh,Wake,1996-06-01,148000.0,1996-06-01,146937.52796927656,147614.46996911897,148294.88978692185,27511,11.904967552746252,11.902359221364522
104,27614,Raleigh,NC,Raleigh,Wake,1996-06-01,223800.0,1996-06-01,220956.66668146558,223450.69135723045,225997.66379830247,27614,12.318508074859961,12.316946048369926
105,27540,Holly Springs,NC,Raleigh,Wake,1996-06-01,207100.0,1996-06-01,204070.2087208426,205908.21172881158,207750.35587967685,27540,12.240957047383676,12.235185774342085
106,27545,Knightdale,NC,Raleigh,Wake,1996-06-01,113200.0,1996-06-01,112603.04512482273,113143.79264501773,113711.35051574,27545,11.63691144475122,11.636414790034245
107,27577,Smithfield,NC,Raleigh,Johnston,1996-06-01,77600.0,1996-06-01,77036.95310715708,77945.58875696093,78901.8343585195,27577,11.25932270617131,11.2637662822106
108,27617,Raleigh,NC,Raleigh,Wake,1996-06-01,165100.0,1996-06-01,163640.6002306211,165056.84293775438,166447.41372569354,27617,12.01430662990822,12.014045196208361
