,ds,yhat_lower,yhat,yhat_upper,Zip_code
261,2018-01-01,163227.56165222754,163984.23803519752,164679.66210211325,27610
262,2018-02-01,164378.32491686754,165078.6730654435,165736.03964471986,27610
263,2018-03-01,165490.13115922167,166200.57934545862,166902.7195380441,27610
264,2018-04-01,166730.87656916998,167400.8175117813,168081.5320559335,27610
265,2018-04-30,167492.93930321827,168179.16289166233,168903.89845781762,27610
266,2018-05-31,169045.35421267222,169732.5493694311,170450.81910767852,27610
267,2018-06-30,170256.87713384058,170991.04391781052,171753.04466406375,27610
268,2018-07-31,171417.79146335993,172146.80548454926,173012.40527883603,27610
269,2018-08-31,172315.05682922888,173146.7038477299,174029.98225731734,27610
270,2018-09-30,173158.81876418833,174000.6149708072,175010.7399828258,27610
271,2018-10-31,173980.42470752206,174998.46567460443,176103.70752176587,27610
272,2018-11-30,175019.75384080404,176172.73450633834,177487.14059643907,27610
273,2018-12-31,176264.6937325337,177649.01594831425,179273.44249545777,27610
274,2019-01-31,177689.16139315907,179164.70367751844,180982.15128379027,27610
275,2019-02-28,177900.85259007633,179699.28330008796,181807.10385287003,27610
276,2019-03-31,178168.03439031384,180374.12842232967,182985.25194273933,27610
277,2019-04-30,179060.12090369302,181657.60953823163,184520.10661771405,27610
278,2019-05-31,180533.0349094287,183293.27322648984,186487.67211338924,27610
279,2019-06-30,181520.27407988926,184570.76124027162,188117.73966873408,27610
280,2019-07-31,182280.12598385185,185721.80428369335,189607.70698641415,27610
281,2019-08-31,182785.14691951743,186690.54140862924,191173.57017535288,27610
282,2019-09-30,183383.57786735278,187492.1772589734,192686.02501201487,27610
283,2019-10-31,183681.54704135258,188465.07107254025,193955.9324497064,27610
284,2019-11-30,184418.809433688,189662.29564030256,195464.66202281884,27610
285,2019-12-31,185587.4486380262,191221.73054830253,197586.16214548104,27610
286,2020-01-31,186800.88848098772,192812.12139787362,199674.63336982505,27610
287,2020-02-29,187058.56504449045,193273.05591286506,200719.3812865959,27610
288,2020-03-31,187640.02566485945,194256.6534809967,202384.3124669073,27610
289,2020-04-30,188222.14182138242,195385.53688401222,203967.03308268794,27610
290,2020-05-31,189008.57590359647,196774.2867330669,205677.64811392606,27610
291,2020-06-30,189701.96376504432,197989.50077228306,207736.39828262554,27610
292,2020-07-31,190646.5512382483,199150.17299179567,209475.92628577538,27610
293,2020-08-31,191240.658915213,200209.43146622847,210920.07786301925,27610
294,2020-09-30,191567.2678585379,201169.18512868625,212640.248743591,27610
295,2020-10-31,191745.14837592674,202222.0487153468,214390.94283516938,27610
296,2020-11-30,192469.2947142468,203357.30482853734,216189.061482143,27610
297,2020-12-31,193131.74558513885,204668.13993326743,217966.84263058667,27610
298,2021-01-31,193843.8865651076,206024.60060389203,220137.86056979734,27610
299,2021-02-28,193991.19908253133,206804.03956967997,221683.4016763877,27610
300,2021-03-31,194438.29715830606,207682.42513628132,223071.83889342225,27610
562,2018-01-01,300560.0668867837,302583.60016310407,304537.1806015722,27587
563,2018-02-01,301693.9623242999,303690.3436997145,305847.0156042179,27587
564,2018-03-01,302815.90307335707,304919.11833148403,306786.6360545429,27587
565,2018-04-01,304117.0902572294,306054.240228441,308076.0008486858,27587
566,2018-04-30,304415.2513426374,306470.2434230436,308295.32217989274,27587
567,2018-05-31,306011.79515709786,308247.6784005497,310318.3371301694,27587
568,2018-06-30,307540.6596627695,309670.3187279456,311873.4714953764,27587
569,2018-07-31,308381.03201686515,310717.2995392234,313065.56794511125,27587
570,2018-08-31,308944.63983962784,311376.6778144324,313822.3979448642,27587
571,2018-09-30,309638.7788498881,312213.59825280774,315046.23644237145,27587
572,2018-10-31,310599.59563620045,313260.1243332223,316349.2164857287,27587
573,2018-11-30,311038.12203086173,314113.2534326294,317697.97398642125,27587
574,2018-12-31,311440.45984292316,315118.9287763647,319299.51640240086,27587
575,2019-01-31,312377.26786337944,316510.4718575887,321542.2220232692,27587
576,2019-02-28,314688.14372807887,319402.79643603996,325322.3875971561,27587
577,2019-03-31,312456.0372784835,317988.2763879832,324276.55103846756,27587
578,2019-04-30,312988.37024509493,319280.5777307401,326590.92808988405,27587
579,2019-05-31,314471.161493206,321212.3305442041,329807.71598754777,27587
580,2019-06-30,314382.66894833377,322710.5799260846,332209.971852345,27587
581,2019-07-31,314608.5052478418,323736.0036750011,334668.80189696257,27587
582,2019-08-31,313988.1026397949,324324.56684974575,336443.98927737895,27587
583,2019-09-30,313664.7115789946,325140.91425742046,338970.3866628628,27587
584,2019-10-31,313863.1981190007,326208.58416369604,340554.8766588442,27587
585,2019-11-30,313120.5203075137,327015.79204542213,342941.9328574378,27587
586,2019-12-31,313364.13589762966,328001.6155548536,345958.51946453785,27587
587,2020-01-31,314144.50338968966,329458.8915791647,348558.49154960347,27587
588,2020-02-29,315037.92663948995,331463.62318072823,351928.4734110517,27587
589,2020-03-31,314025.54959143815,331585.60600349976,353402.0646236718,27587
590,2020-04-30,313367.6071660265,332701.7381622623,356323.5498938146,27587
591,2020-05-31,314234.9790358267,334175.6843873811,359373.6750759634,27587
592,2020-06-30,314220.91172729566,335439.0445954292,361670.87330646935,27587
593,2020-07-31,313743.5384689002,336520.61497779825,363406.6533095747,27587
594,2020-08-31,312454.3443574653,337319.8969805305,366652.04853995686,27587
595,2020-09-30,311603.31658913475,338201.0015036442,369084.6395161374,27587
596,2020-10-31,311460.28503809206,339205.5390676391,371706.4452691625,27587
597,2020-11-30,309769.027411544,340152.4117699845,374133.71462438634,27587
598,2020-12-31,308926.9077146077,341205.1940005,377026.32260543085,27587
599,2021-01-31,307942.56761627196,342473.60276237177,379451.7403653659,27587
600,2021-02-28,309032.28358551965,344729.6112898342,384094.6589530529,27587
601,2021-03-31,306767.3653428484,344341.1557076333,385298.4467464122,27587
863,2018-01-01,417307.4343744636,419719.01086321013,422300.6035615634,27519
864,2018-02-01,418565.5208007379,421246.3590306468,423756.59233868355,27519
865,2018-03-01,420085.793652258,422624.93667395087,425262.879493141,27519
866,2018-04-01,421373.70462137554,423864.383764256,426324.81815759634,27519
867,2018-04-30,421893.4470531742,424488.16937177413,426980.2098827072,27519
868,2018-05-31,423215.89406953164,425994.7595819645,428732.01715838426,27519
869,2018-06-30,424642.7249767376,427228.57594321197,430045.15376744326,27519
870,2018-07-31,425819.67949825525,428923.632822449,432123.2559504924,27519
871,2018-08-31,426327.12688068487,430057.34489794855,433790.2690581024,27519
872,2018-09-30,426975.8541943411,431499.3418988979,435395.57332028745,27519
873,2018-10-31,428203.09008802107,433147.89921420213,438462.9046217727,27519
874,2018-11-30,426910.1314847312,434258.71742504044,440942.49582041864,27519
875,2018-12-31,425293.75148224155,434535.4683439371,443554.98397451045,27519
876,2019-01-31,424117.4751754922,435288.3170174708,445880.7450143836,27519
877,2019-02-28,427326.78432167054,440163.1600761666,452686.71858775907,27519
878,2019-03-31,425603.480207913,440403.5029064608,455225.8831805284,27519
879,2019-04-30,423737.1917310002,440288.02180988085,456942.2781909143,27519
880,2019-05-31,421899.11597602884,441812.8904048172,461293.27029627917,27519
881,2019-06-30,420204.5592803341,443000.8234671559,464760.80682355753,27519
882,2019-07-31,419464.4088049273,444765.41276060126,469382.55579511396,27519
883,2019-08-31,417976.6549959021,445920.5764148933,474342.2486588828,27519
884,2019-09-30,418671.85951573047,447450.8906185228,479133.049213159,27519
885,2019-10-31,415205.50917589094,449174.7038634751,482673.04719049495,27519
886,2019-11-30,413645.15364587674,450187.21907536645,486722.7814924217,27519
887,2019-12-31,410892.835486905,450187.80839197675,489332.2620670636,27519
888,2020-01-31,407233.82457559457,450823.42819913337,494965.9977401733,27519
889,2020-02-29,409905.3222286859,455033.36637625593,503079.57236276375,27519
890,2020-03-31,406697.5631215458,455903.76407581114,508029.5693040233,27519
891,2020-04-30,405002.8600374595,456400.98855389626,512882.7025775923,27519
892,2020-05-31,401591.9273883716,457878.0817412031,515700.0295272868,27519
893,2020-06-30,399329.4060005172,459211.739253842,522980.4403861366,27519
894,2020-07-31,396902.9527582176,460773.05603796523,527715.1956568798,27519
895,2020-08-31,394988.2635597291,461866.229826518,532092.4827447088,27519
896,2020-09-30,391200.2332833878,463129.33170839323,538955.6530070582,27519
897,2020-10-31,389584.6614087993,464614.871932079,544834.1996352426,27519
898,2020-11-30,386773.606059405,465905.46748853143,551137.8232418515,27519
899,2020-12-31,383375.5319985042,466741.27504150185,555343.9560316583,27519
900,2021-01-31,381878.8116607113,467766.47579123336,559811.4889097762,27519
901,2021-02-28,380494.2482664108,471246.5222331479,568421.0147689664,27519
902,2021-03-31,376280.81542462116,471916.9508222286,571443.8869019377,27519
1164,2018-01-01,219037.9222923179,219966.14805794045,220863.37743001035,27603
1165,2018-02-01,220240.29662269424,221135.22113067456,222023.8761699131,27603
1166,2018-03-01,221484.80482981843,222429.83226701178,223257.1631407511,27603
1167,2018-04-01,222914.5903752381,223793.78346086317,224677.91112307122,27603
1168,2018-04-30,223767.90976223294,224680.39446487927,225561.28165243755,27603
1169,2018-05-31,225296.66700238764,226218.81316024752,227237.60748409832,27603
1170,2018-06-30,226836.51886874216,227795.92642761656,228806.22615342616,27603
1171,2018-07-31,228133.7801346201,229203.40515930607,230366.41073325046,27603
1172,2018-08-31,228878.30276663444,230169.02724717933,231362.0808550281,27603
1173,2018-09-30,229639.0587309238,231074.69859877034,232459.2323435414,27603
1174,2018-10-31,230949.38181146493,232414.09264192072,234083.09989192153,27603
1175,2018-11-30,231781.0000765761,233669.06758490228,235668.5958035713,27603
1176,2018-12-31,232600.83758688695,234819.51272415774,237278.54014269757,27603
1177,2019-01-31,233497.67832406893,236297.25577384638,239469.43276405972,27603
1178,2019-02-28,234769.01344198218,238274.6761043794,242090.31342143958,27603
1179,2019-03-31,234026.76662509382,238186.0677530377,242399.98965880313,27603
1180,2019-04-30,234835.24858408864,239688.6418672843,244521.14417293924,27603
1181,2019-05-31,235603.10083935564,241290.80840396538,246659.2944360088,27603
1182,2019-06-30,236748.36961755552,242935.64081240105,249304.31222957635,27603
1183,2019-07-31,237424.33812032297,244359.7751346156,251248.91109253233,27603
1184,2019-08-31,237295.54897216457,245260.57297059835,252987.7462997826,27603
1185,2019-09-30,237290.9332300745,246105.55236462184,254616.5122349885,27603
1186,2019-10-31,237767.53707952081,247475.09652918243,256664.94464167228,27603
1187,2019-11-30,238230.68058680987,248734.9889716509,258802.52429906122,27603
1188,2019-12-31,237992.27990677708,249869.7843131142,260670.87803903053,27603
1189,2020-01-31,238345.5295219914,251411.89455556576,262936.9118482495,27603
1190,2020-02-29,238902.56911325618,252926.17144932607,265726.5406189848,27603
1191,2020-03-31,238905.03902799982,253710.5941518626,268138.28613962483,27603
