,ds,yhat_lower,yhat,yhat_upper,Zip_code
261,2018-01-01,252472.3601070658,254390.2688405528,256237.6063312467,84119
262,2018-02-01,255235.7650799674,257155.03644788315,258962.09339942943,84119
263,2018-03-01,257866.17797078565,259731.11695788143,261478.87783766267,84119
264,2018-04-01,260692.61039845066,262516.2132835861,264362.20402163395,84119
265,2018-04-30,263109.2152662188,265031.9358034954,267032.10170981445,84119
266,2018-05-31,266076.800984969,268064.71581154363,269985.06316741405,84119
267,2018-06-30,269002.9734742603,271218.59563581215,273339.0464534564,84119
268,2018-07-31,271825.57970399526,274024.92563617934,276409.4328040744,84119
269,2018-08-31,274052.20789213997,276383.0702184848,278978.87062922824,84119
270,2018-09-30,275957.8864147344,278840.3053993023,281877.1396334871,84119
271,2018-10-31,278676.9087414999,281880.27058709366,285175.2542916586,84119
272,2018-11-30,280648.37338015577,284815.11157645774,288806.20492287533,84119
273,2018-12-31,282701.8343675994,287666.96226706903,292601.4025930363,84119
274,2019-01-31,284692.88719482586,290600.2562849628,296445.77359552734,84119
275,2019-02-28,285291.75976729795,292535.71795583464,299665.7081103713,84119
276,2019-03-31,287308.4641508305,295312.99270608724,303178.3462378893,84119
277,2019-04-30,289000.21634644445,298142.94093274605,307369.16239547334,84119
278,2019-05-31,290850.10330488195,301218.3615422961,312166.6436863578,84119
279,2019-06-30,293318.34941895236,304460.6822696788,316989.3861750249,84119
280,2019-07-31,293888.2532467558,307240.7806970345,321662.8562415584,84119
281,2019-08-31,294704.0401437672,309486.16355131497,325857.73983252724,84119
282,2019-09-30,295272.86566935305,311894.55946274975,328946.26163113926,84119
283,2019-10-31,297412.9205304265,315008.0674679197,333772.74583232397,84119
284,2019-11-30,298490.4458542774,318001.61132185004,338882.00738002924,84119
285,2019-12-31,299980.7089558764,320862.1808841167,342515.3152700404,84119
286,2020-01-31,300506.86894718185,323822.4707895282,347610.18100426934,84119
287,2020-02-29,301867.67936148983,325934.69316688867,351303.9421525791,84119
288,2020-03-31,302973.8169097881,328711.0024267917,356088.5531009067,84119
289,2020-04-30,303724.5731161992,331504.3120956463,361201.8961068959,84119
290,2020-05-31,305257.8164825205,334454.4768766467,365896.2316903789,84119
291,2020-06-30,305846.7819624696,337425.34958796686,371528.36521114834,84119
292,2020-07-31,307373.5746751325,340274.36153398687,376437.56597221654,84119
293,2020-08-31,307774.8120041579,342857.17451920913,380808.77277819,84119
294,2020-09-30,308707.41305489006,345422.07956050313,385023.25251443795,84119
295,2020-10-31,310061.0747730446,348321.0394364623,389774.9693393704,84119
296,2020-11-30,310948.6518918372,351136.75001125666,396042.75262231333,84119
297,2020-12-31,311615.8209450625,353967.5492749814,401393.07428351574,84119
298,2021-01-31,312310.5188203005,356840.11103780003,405726.27728298353,84119
299,2021-02-28,312638.3263322834,359033.39680943114,409811.93584381614,84119
300,2021-03-31,313194.04371899826,361808.11689992476,415064.08759071305,84119
562,2018-01-01,225001.98948742083,227693.8449953028,230383.44693307337,84074
563,2018-02-01,226358.56916786346,228999.9250695832,231934.06707132337,84074
564,2018-03-01,227458.5628812179,230166.4958045359,232961.4259411196,84074
565,2018-04-01,228775.6878474951,231548.11350332844,234318.98354408547,84074
566,2018-04-30,229488.06543560314,232465.92778350034,235402.86176320384,84074
567,2018-05-31,232168.4043948815,234848.3740203129,237828.41029442774,84074
568,2018-06-30,233413.34458893098,236318.9196902335,239230.099222736,84074
569,2018-07-31,234425.77716235124,237310.54371191468,240308.0394704134,84074
570,2018-08-31,234859.70864052433,238117.48669339495,241432.4699394183,84074
571,2018-09-30,236478.9909920539,239705.84166698574,243051.04086642928,84074
572,2018-10-31,238011.2232908094,241463.8024740851,245169.5746162842,84074
573,2018-11-30,239360.11186706673,243157.22861691267,246948.67773943325,84074
574,2018-12-31,240813.39357542808,245190.75363587512,249499.53446512483,84074
575,2019-01-31,241801.80066157115,246266.60907314415,250953.1779674232,84074
576,2019-02-28,240160.03685220878,245485.55307049386,250722.91200729704,84074
577,2019-03-31,242453.47558179387,247971.1573857844,253789.5363968949,84074
578,2019-04-30,242930.67888360977,249087.39276750502,255341.1089386427,84074
579,2019-05-31,244403.74247590153,251649.56576511564,258468.00031108703,84074
580,2019-06-30,245046.90178461157,253080.98663551002,260666.13492780703,84074
581,2019-07-31,244965.1747253768,253951.57718417572,261837.45379454762,84074
582,2019-08-31,245145.43786270465,254629.75345961604,263746.26315902534,84074
583,2019-09-30,245703.51136131928,256276.17310297413,266619.5551718757,84074
584,2019-10-31,246744.28047515728,258097.5959226525,269370.6708127252,84074
585,2019-11-30,247282.23686761092,259846.71489258332,271633.46882463276,84074
586,2019-12-31,247853.24000476682,262019.3645346628,274749.9250730014,84074
587,2020-01-31,248202.83084848482,263029.7274606493,277059.2819440617,84074
588,2020-02-29,247908.31796984965,262957.47024900117,277371.60160983994,84074
589,2020-03-31,248562.97879695563,264765.16542371805,280506.2257541234,84074
590,2020-04-30,248259.68316008511,265882.1164138186,282841.91288335714,84074
591,2020-05-31,248926.16001095204,267898.57540238084,286138.3650202421,84074
592,2020-06-30,250250.72146660922,269429.9732702014,289087.24843974516,84074
593,2020-07-31,249852.93294744825,270657.98483706627,290893.4136515513,84074
594,2020-08-31,249551.34821806295,271731.7798422245,293313.31357644417,84074
595,2020-09-30,250269.9468639433,273217.03350240696,294909.6773981302,84074
596,2020-10-31,250215.67834767973,274851.72608540143,298699.46416147036,84074
597,2020-11-30,250324.94925114835,276434.05543934595,300702.3359613983,84074
598,2020-12-31,251085.7405246164,278177.98106287536,303180.0923570498,84074
599,2021-01-31,250234.8619296015,279365.7259446544,305606.6830809977,84074
600,2021-02-28,248725.01374207012,279349.966404568,306928.7017790334,84074
601,2021-03-31,248329.31830617436,281378.6385861546,310558.1863606809,84074
863,2018-01-01,413628.96585515107,416553.21897379326,419885.2950171695,84121
864,2018-02-01,416502.78884208883,419512.4530857479,422658.18582433945,84121
865,2018-03-01,419079.0560890261,422228.24882881495,425479.70552964293,84121
866,2018-04-01,421770.7027199885,424937.9769631312,428077.95007056114,84121
867,2018-04-30,424022.613315277,427026.74823048955,430274.0852713158,84121
868,2018-05-31,426994.4053010637,430070.03873624426,433231.42990886024,84121
869,2018-06-30,430261.5983625478,433422.7334887739,436806.18568907137,84121
870,2018-07-31,433108.5297609738,436380.055453121,440093.8829649778,84121
871,2018-08-31,435898.81379993894,439463.5697987945,443467.6464855097,84121
872,2018-09-30,438439.51721504773,442358.4437817208,446339.2712364407,84121
873,2018-10-31,441431.24080994603,445808.07587291417,450374.3255194832,84121
874,2018-11-30,443486.2759127768,448382.79648333875,453133.51100765367,84121
875,2018-12-31,444318.52739515743,449535.4282626374,455435.9833939218,84121
876,2019-01-31,443592.6188960697,450170.87167908053,457060.2696601448,84121
877,2019-02-28,452653.0345328461,459652.8471204965,467919.7066245463,84121
878,2019-03-31,450927.50077601365,459684.1971268622,468849.2459127576,84121
879,2019-04-30,451339.20667191735,460930.3987293291,471696.6266415076,84121
880,2019-05-31,452275.5755078876,464003.2505316452,475203.0956914336,84121
881,2019-06-30,453979.2598764966,467474.9716665566,481237.89957425854,84121
882,2019-07-31,455736.6827220879,470457.3934866399,485128.10652941716,84121
883,2019-08-31,456682.3236699499,473584.77013310906,489892.9412460945,84121
884,2019-09-30,458182.76023969485,476477.01368925994,494632.4556120085,84121
885,2019-10-31,460410.2718574477,480052.79474914126,498989.6956214996,84121
886,2019-11-30,461035.6376034416,482591.276116404,502651.03831928043,84121
887,2019-12-31,460060.5022883358,483390.7384891374,506034.3111591392,84121
888,2020-01-31,458860.2517850021,483624.04689598735,507055.8377928878,84121
889,2020-02-29,464313.65728011937,491747.15010697977,518669.2650977797,84121
890,2020-03-31,464404.21992016834,493439.38402765227,520621.5074737089,84121
891,2020-04-30,464005.8642802278,495631.71369490225,524305.4050522768,84121
892,2020-05-31,464886.79380555276,498636.2334163752,529961.1778771027,84121
893,2020-06-30,466466.25963526504,501758.98448525585,536497.865778633,84121
894,2020-07-31,467058.16327479226,504666.15931495157,542079.6900688426,84121
895,2020-08-31,468224.9583409846,507660.2790656212,546545.308067902,84121
896,2020-09-30,467942.0143621374,510559.30155108916,553555.8174284336,84121
897,2020-10-31,469739.88348095777,513748.0666997018,557629.7732436621,84121
898,2020-11-30,470413.55263016536,516372.40549100196,563502.9168534736,84121
899,2020-12-31,468492.75591652945,518230.6274134835,566687.750258145,84121
900,2021-01-31,468982.0428779323,519733.8025830604,569451.1321910755,84121
901,2021-02-28,473473.90901300934,526519.2605037857,580238.6262108182,84121
902,2021-03-31,469843.4151546218,527675.3852013287,582267.4132239703,84121
1164,2018-01-01,312527.85924040346,314342.78639223246,316141.03643083706,84107
1165,2018-02-01,315447.34981424926,317354.2550448993,319198.17573909124,84107
1166,2018-03-01,318128.2743989032,320031.9057962641,321772.6270194696,84107
1167,2018-04-01,320935.8644410123,322808.25604328135,324645.0058903802,84107
1168,2018-04-30,323224.3703563939,325132.1004079375,326812.705642569,84107
1169,2018-05-31,326176.13629210915,328090.3617908568,329846.93774064374,84107
1170,2018-06-30,329463.5819764019,331429.57155197265,333438.9896073433,84107
1171,2018-07-31,332903.44756836037,335061.65697909857,337279.2047229028,84107
1172,2018-08-31,335821.4966685571,337948.7041223245,340183.0827018245,84107
1173,2018-09-30,337789.2429828139,340503.3923373414,342915.108161072,84107
1174,2018-10-31,340232.94421271246,343440.0895168316,346395.7987294864,84107
1175,2018-11-30,343354.97436046874,346617.3175649213,349992.87348133407,84107
1176,2018-12-31,344784.68076498585,348827.86516496586,352982.9568312583,84107
1177,2019-01-31,345491.42282822554,350177.55315514025,355237.7804285676,84107
1178,2019-02-28,351073.6350956666,356774.9786737285,362152.0117915183,84107
1179,2019-03-31,351341.9776089971,358268.416297842,364895.84087278874,84107
1180,2019-04-30,352248.1865934244,359864.9998346799,367314.84910428606,84107
1181,2019-05-31,353986.9749527335,362812.7100986246,371359.05835264217,84107
1182,2019-06-30,356060.08312775264,366258.852546377,376100.8258135507,84107
1183,2019-07-31,358850.3123878954,370037.5531211566,380858.2678839642,84107
1184,2019-08-31,360506.6310577645,372896.7480670707,385101.9106491173,84107
1185,2019-09-30,361119.55006542645,375358.0545762198,388831.2482088729,84107
