,RegionName,City,State,Metro,CountyName,time,value,ds,yhat_lower,yhat,yhat_upper,Zip_code,log_value,log_yhat
0,95123,San Jose,CA,San Jose,Santa Clara,1996-04-01,224500.0,1996-04-01,205177.9938483898,218152.6052697505,231585.1284564855,95123,12.321630986164447,12.292950121041757
1,95051,Santa Clara,CA,San Jose,Santa Clara,1996-04-01,258700.0,1996-04-01,222966.7787009142,248817.1469757892,272741.67021271156,95051,12.46342436817412,12.424473556185355
2,95035,Milpitas,CA,San Jose,Santa Clara,1996-04-01,231100.0,1996-04-01,210254.59442801372,226356.2845403403,243622.1082997951,95035,12.350605796262473,12.329865517180862
3,95014,Cupertino,CA,San Jose,Santa Clara,1996-04-01,432400.0,1996-04-01,379047.47984715237,422886.5570998494,466026.87145743065,95014,12.97710636474719,12.9548592355348
4,95112,San Jose,CA,San Jose,Santa Clara,1996-04-01,186800.0,1996-04-01,163644.42247495893,178905.7790717013,196300.71127910854,95112,12.13779380477688,12.094614572338408
5,94087,Sunnyvale,CA,San Jose,Santa Clara,1996-04-01,361300.0,1996-04-01,310775.12318815326,351187.19570249756,393863.7358435529,94087,12.797463917135731,12.769074681372592
6,95125,San Jose,CA,San Jose,Santa Clara,1996-04-01,286000.0,1996-04-01,258604.80899031382,279462.00232402247,301803.70449771965,95125,12.56374708980199,12.540621613584161
7,94086,Sunnyvale,CA,San Jose,Santa Clara,1996-04-01,310400.0,1996-04-01,267191.6556589316,302666.5639722562,339657.4600915526,94086,12.645617067291202,12.62038702961655
8,95008,Campbell,CA,San Jose,Santa Clara,1996-04-01,262100.0,1996-04-01,221502.56660778754,248770.51433539734,275031.1382086329,95008,12.476481389311498,12.424286121310441
9,95020,Gilroy,CA,San Jose,Santa Clara,1996-04-01,238000.0,1996-04-01,229349.6459710341,236419.61414700196,243717.03502272168,95020,12.380025952653611,12.37336353123723
10,95124,San Jose,CA,San Jose,Santa Clara,1996-04-01,249700.0,1996-04-01,217590.9275476007,239441.86762307893,258041.4353118036,95124,12.428015476267865,12.386065942458902
11,95037,Morgan Hill,CA,San Jose,Santa Clara,1996-04-01,314800.0,1996-04-01,299366.9798109127,309650.16445259267,319294.50837501744,95037,12.659692795525386,12.64319843745792
12,95136,San Jose,CA,San Jose,Santa Clara,1996-04-01,242500.0,1996-04-01,216341.84120363943,233877.68937528142,250035.29083644482,95136,12.398756989359676,12.362553562709769
13,95127,San Jose,CA,San Jose,Santa Clara,1996-04-01,187400.0,1996-04-01,172624.34747740172,182314.19609437467,191716.67098335194,95127,12.14100064878646,12.113486829792718
14,95111,San Jose,CA,San Jose,Santa Clara,1996-04-01,188200.0,1996-04-01,171538.06213364005,182947.69624684393,193352.7022525485,95111,12.145260506133416,12.116955578112503
15,95023,Hollister,CA,San Jose,San Benito,1996-04-01,203700.0,1996-04-01,195873.7630553531,202750.238453528,208966.79643267515,95023,12.224403602214897,12.219730148073284
16,94040,Mountain View,CA,San Jose,Santa Clara,1996-04-01,413200.0,1996-04-01,354061.7050116453,404311.9315897018,450196.88666249055,94040,12.93168701622762,12.90994196691663
17,95050,Santa Clara,CA,San Jose,Santa Clara,1996-04-01,236900.0,1996-04-01,204965.6397467873,229448.91259371146,254611.89610369664,95050,12.375393390146877,12.343435680625484
18,95126,San Jose,CA,San Jose,Santa Clara,1996-04-01,245400.0,1996-04-01,222896.83145060402,242166.45966233246,265656.8055635068,95126,12.410644811258948,12.397380618522895
