,ds,yhat_lower,yhat,yhat_upper,Zip_code
261,2018-01-01,942843.6811009941,958019.2318751833,972481.8013970284,95123
262,2018-02-01,952995.6763916062,966704.1376557085,981525.8004953181,95123
263,2018-03-01,961137.3974316254,974636.5680700128,988748.4168045572,95123
264,2018-04-01,969458.6746806833,983521.9315287281,996580.473027272,95123
265,2018-04-30,972303.0574983193,986840.030388269,1000016.1887560517,95123
266,2018-05-31,984248.3820668672,999348.926414616,1014374.1474143772,95123
267,2018-06-30,991961.5755483905,1006780.776894668,1020946.4381819102,95123
268,2018-07-31,998593.106006869,1013783.0694035633,1028375.9867350048,95123
269,2018-08-31,1005240.0284419504,1021134.1570106178,1037073.5745343573,95123
270,2018-09-30,1011026.6616340631,1028948.5221635792,1045285.8639724945,95123
271,2018-10-31,1019066.8380143718,1037358.4271834046,1055310.907705923,95123
272,2018-11-30,1025809.4313559737,1045650.1402486109,1065570.2448402948,95123
273,2018-12-31,1035120.3192270134,1057538.3854266785,1079747.39423322,95123
274,2019-01-31,1044798.7355511332,1068936.3110188006,1094072.064117459,95123
275,2019-02-28,1040923.0417639151,1067456.8632461433,1093940.0687825994,95123
276,2019-03-31,1048039.29810616,1080747.0540670643,1109612.812782725,95123
277,2019-04-30,1048645.4545257268,1084273.6920982916,1117754.2600939283,95123
278,2019-05-31,1059247.6227666102,1097614.6499113427,1134857.4366482622,95123
279,2019-06-30,1059091.9532196831,1104854.7802845656,1149729.7657573447,95123
280,2019-07-31,1061048.3712927043,1111558.2402519349,1160264.1493886497,95123
281,2019-08-31,1065274.1537614309,1118728.371953223,1170451.8494557042,95123
282,2019-09-30,1065577.633574966,1126541.5254682654,1187390.6848196427,95123
283,2019-10-31,1069608.509895498,1134939.825020973,1199639.2499892924,95123
284,2019-11-30,1071402.5249467099,1143192.2590124034,1212957.9491188913,95123
285,2019-12-31,1078596.7553014955,1155751.2929521252,1231562.8208557698,95123
286,2020-01-31,1083452.4634420974,1167597.3539739125,1251392.609292206,95123
