,ds,yhat_lower,yhat,yhat_upper,Zip_code
261,2018-01-01,317526.60595775675,318193.5627984067,318806.0260975035,75070
262,2018-02-01,318931.8994275767,319562.1805612416,320168.15109346766,75070
263,2018-03-01,320105.0238895257,320736.6781103594,321377.84952275595,75070
264,2018-04-01,321358.2765937123,321962.74982330826,322561.20895797224,75070
265,2018-04-30,322238.07471335365,322959.5195761929,323681.7885888466,75070
266,2018-05-31,322810.4252132176,324332.87344103446,326006.28093106794,75070
267,2018-06-30,323461.41039438796,325879.3791329334,328909.5952931395,75070
268,2018-07-31,323406.0787499852,327283.5160582753,331740.01540025946,75070
269,2018-08-31,322989.9895218367,328708.8929429678,334877.0649516645,75070
270,2018-09-30,322684.99037914485,330060.5147150155,337758.99056508485,75070
271,2018-10-31,322003.96182613296,331232.2578805426,341248.6146427707,75070
272,2018-11-30,321438.1818232128,332341.4183594017,344906.83244301914,75070
273,2018-12-31,320031.6728418677,333525.63793215575,348596.4705516655,75070
274,2019-01-31,319315.18404434604,335045.8011339276,352090.35167015943,75070
275,2019-02-28,318944.5133199487,337148.92918242945,356178.17259141646,75070
276,2019-03-31,317694.2117765414,338010.13942159014,359230.3557700104,75070
277,2019-04-30,315808.000944143,338673.78099715617,362976.21505920886,75070
278,2019-05-31,314053.35666904825,340054.44987012644,367623.8204029111,75070
279,2019-06-30,312428.9039843732,341668.7659916712,371981.78861425916,75070
280,2019-07-31,310361.5569410353,343087.6667825668,376449.0381523915,75070
281,2019-08-31,309205.46819339093,344527.869985321,381050.8392743486,75070
282,2019-09-30,307597.97038606944,345889.27566217224,385617.81884533656,75070
283,2019-10-31,305193.94255447795,347045.6987294019,390292.91482515086,75070
284,2019-11-30,302792.8989541786,348094.378895841,394676.5178287917,75070
285,2019-12-31,299621.2732881083,349222.509281835,399704.6744450895,75070
286,2020-01-31,296910.7215143403,350792.1500325072,404967.3278761704,75070
287,2020-02-29,294533.2530533455,352579.45668146305,409761.78617670044,75070
288,2020-03-31,292151.48500931583,353671.3338798368,413615.85457797727,75070
289,2020-04-30,289719.63758424873,354725.5203652856,417671.7684573781,75070
290,2020-05-31,286728.1597649241,356092.91482273815,422019.53223546257,75070
291,2020-06-30,284310.54601187626,357506.9954612849,426459.7935634785,75070
292,2020-07-31,280607.86773266766,358880.2597817302,429504.4158595659,75070
293,2020-08-31,278332.526112503,360274.1684552537,434758.1441133416,75070
294,2020-09-30,274895.12650110305,361602.4610406239,439328.7666582575,75070
295,2020-10-31,272184.24810686725,362801.28302524134,444621.3104821218,75070
296,2020-11-30,268669.3682118288,364031.22129912785,450129.7853777439,75070
297,2020-12-31,265607.14119085064,365334.73883427295,455785.3705958904,75070
298,2021-01-31,261804.90727822692,366764.9004177217,460826.19172958913,75070
299,2021-02-28,258531.70885212926,368502.3406633647,465344.9452364646,75070
300,2021-03-31,254231.56295064648,369521.16104764526,471193.3186979329,75070
562,2018-01-01,195249.58390046697,195537.2945082631,195822.1178243763,75052
563,2018-02-01,196947.3975999104,197199.66853496642,197478.68961364258,75052
564,2018-03-01,198646.22156146177,198945.7629302242,199230.87863048632,75052
565,2018-04-01,200615.0623302032,200870.4687267093,201143.59974470918,75052
566,2018-04-30,202396.3647395472,202691.83775114192,203024.48834356357,75052
567,2018-05-31,204155.25291031797,204646.3176277331,205101.51577085583,75052
568,2018-06-30,205701.23038517477,206548.4469988213,207335.4732338568,75052
569,2018-07-31,207327.8025128033,208580.9987268986,209760.72609277946,75052
570,2018-08-31,208866.38684757985,210567.36859232662,212184.7587568292,75052
571,2018-09-30,210006.08555724152,212321.98369500836,214486.14522294255,75052
572,2018-10-31,211287.57456430656,214190.0512440224,216957.01212554978,75052
573,2018-11-30,212648.59435147,216148.29656444569,219649.21267085342,75052
574,2018-12-31,214085.98501784023,218107.9865813525,222380.16049846506,75052
575,2019-01-31,215020.73335346428,219876.81194152316,224653.8417548803,75052
576,2019-02-28,216138.27131082406,221803.36580883534,227346.27863902735,75052
