,ds,yhat_lower,yhat,yhat_upper,Zip_code
261,2018-01-01,205493.02716726245,205769.22722217807,206035.8229453234,37013
262,2018-02-01,207633.9246034087,207902.035069763,208167.83630522405,37013
263,2018-03-01,209552.08021782976,209822.1927574119,210115.68462853678,37013
264,2018-04-01,211662.7556351041,211936.54822095903,212209.96303684826,37013
265,2018-04-30,213843.7354200949,214152.0314014452,214451.54274989458,37013
266,2018-05-31,215639.01166382173,216063.61382204326,216524.98068019134,37013
267,2018-06-30,217202.1376406072,217956.8530480658,218698.66542250384,37013
268,2018-07-31,218992.79787521742,220090.02875814209,221154.91673468723,37013
269,2018-08-31,220582.31497951067,222162.28598261363,223649.8593920283,37013
270,2018-09-30,222382.03319245382,224351.0998898947,226270.37351492842,37013
271,2018-10-31,224323.78781772422,226795.17362247306,229141.98124660057,37013
272,2018-11-30,225849.96846143392,228873.15906331368,231817.67920030703,37013
273,2018-12-31,226883.11346802663,230568.4728240627,234114.60834975194,37013
274,2019-01-31,228578.6343257299,232675.8274492697,236728.20728707066,37013
275,2019-02-28,229931.14784058149,234720.05298217825,239258.27176061276,37013
276,2019-03-31,231515.06223826535,237008.81600848987,242210.6956802267,37013
277,2019-04-30,233131.0134592975,239241.63064921176,244986.71586307287,37013
278,2019-05-31,234145.6972647145,241107.83487568249,247773.75543836167,37013
279,2019-06-30,235193.3706026152,242967.497551268,250105.4979946355,37013
280,2019-07-31,236535.56356668586,245108.71351019712,252978.0735245497,37013
281,2019-08-31,237756.89129041298,247170.6123432675,255795.89259164262,37013
282,2019-09-30,239002.93862234842,249384.95431095618,258706.04305347544,37013
283,2019-10-31,240349.9010107222,251892.28241114816,261855.14676703478,37013
284,2019-11-30,241661.72231406803,253959.03145058887,264800.22882781905,37013
285,2019-12-31,242179.5803240125,255559.4250044414,267223.8702734782,37013
286,2020-01-31,243640.6617365526,257673.36345783432,270293.3620251962,37013
287,2020-02-29,244849.77301423703,259866.41590142253,273233.6321391425,37013
288,2020-03-31,245956.35240901218,262050.65018076432,276142.2241133702,37013
289,2020-04-30,247400.26913462783,264194.19974112767,279089.60744490835,37013
290,2020-05-31,248379.85573618906,266193.58798920794,281823.8354082192,37013
291,2020-06-30,249504.12191061676,268155.91196673724,284747.568931561,37013
292,2020-07-31,250857.96644681628,270275.0742230891,287493.14185097493,37013
293,2020-08-31,251589.59047433673,272370.4007453334,290977.7710991669,37013
294,2020-09-30,253093.53897504447,274511.0286470591,294385.2887769024,37013
295,2020-10-31,254128.3823490589,276825.68469944573,297617.5197908279,37013
296,2020-11-30,254941.7213365658,278918.4274181885,300545.89620015427,37013
297,2020-12-31,256109.42954453532,280804.19110822026,303658.39525707776,37013
298,2021-01-31,257469.96981443747,282903.7798442416,306494.4844209752,37013
299,2021-02-28,258563.4751798257,284890.4991810948,309639.19308256556,37013
300,2021-03-31,259734.95365866597,287109.6708218861,313147.1352225288,37013
562,2018-01-01,256147.29001168665,256515.39264331275,256875.50726571548,37211
563,2018-02-01,258841.79156912692,259196.69708468977,259544.15950218038,37211
564,2018-03-01,261331.1597296647,261700.4974668033,262093.7382878132,37211
565,2018-04-01,263971.79562923097,264346.1976815846,264715.9908795342,37211
566,2018-04-30,266827.8910874893,267199.29052100406,267584.20098528924,37211
567,2018-05-31,269125.02135762013,269643.8818625088,270133.5914588794,37211
568,2018-06-30,271072.04991783865,271941.11006352963,272739.63275053,37211
569,2018-07-31,273597.99011685443,274945.4728187079,276205.93397741934,37211
570,2018-08-31,275986.24997958506,277791.60954233585,279453.63435835484,37211
571,2018-09-30,278038.870303176,280338.6538289063,282549.6920603142,37211
572,2018-10-31,280119.86068394216,283109.37689255417,285901.9737736142,37211
573,2018-11-30,282088.08787457424,285705.4377493556,289192.57380542014,37211
574,2018-12-31,283973.21721597837,288267.9304132142,292265.28425847145,37211
575,2019-01-31,286173.15746252495,291196.1076044323,295986.0130056739,37211
576,2019-02-28,287654.0089722908,293381.360426706,298832.77958385966,37211
577,2019-03-31,289587.9592011685,296136.70967212983,302491.31176358,37211
578,2019-04-30,291566.44858658133,299213.5782526099,306210.0015400516,37211
579,2019-05-31,293269.6093323795,301593.5362525925,309505.76247884985,37211
580,2019-06-30,294562.5912004818,303815.7096633481,312651.9554246476,37211
581,2019-07-31,296718.0464124217,306883.13163445157,316418.4811231904,37211
582,2019-08-31,298799.6303981652,309754.7390803128,320334.37362541474,37211
583,2019-09-30,300052.0093114251,312284.5006276772,323467.10939796205,37211
584,2019-10-31,301606.10490330396,315070.4842023418,327481.53668972355,37211
585,2019-11-30,303094.7642988866,317649.031564216,330867.1633165209,37211
586,2019-12-31,304199.0204548991,320181.0980352157,334470.74730513187,37211
587,2020-01-31,305864.02143363375,323162.8109326137,337942.5992173998,37211
588,2020-02-29,307035.1694424156,325515.52267407236,341467.4559580218,37211
589,2020-03-31,308767.8249794621,328200.8582624879,345419.0102129751,37211
590,2020-04-30,310549.74435640394,331027.5623858433,349380.74227269593,37211
591,2020-05-31,312153.8045573969,333596.0082882004,352918.9904544117,37211
592,2020-06-30,312761.0897234106,336048.589480047,356661.4261901639,37211
593,2020-07-31,315079.1431720587,338931.0316061504,360864.8625759645,37211
594,2020-08-31,316356.86921887007,341724.2085940934,364972.4109085199,37211
595,2020-09-30,317763.85839511943,344304.56681715435,368833.6862001539,37211
596,2020-10-31,318907.16690314084,347043.8265646187,372932.94374779443,37211
597,2020-11-30,320640.21038270177,349673.3525374839,376867.87474601244,37211
598,2020-12-31,321637.3778698763,352299.1079600666,380885.29822643404,37211
599,2021-01-31,322828.46742730436,355119.6058068969,384991.3138904238,37211
600,2021-02-28,323970.9921403746,357423.1133208516,388722.6264562275,37211
601,2021-03-31,325064.94224446546,360130.41575063736,392187.9976712321,37211
863,2018-01-01,275327.03270872566,275685.051161657,276044.3697964982,37075
864,2018-02-01,276335.4750410209,276707.12149830005,277086.11500546325,37075
865,2018-03-01,276688.8826896164,277054.10024541966,277431.23328870756,37075
866,2018-04-01,276739.87996478565,277119.609800522,277483.1082130957,37075
867,2018-04-30,276910.4577867232,277322.3410343124,277740.3831532614,37075
868,2018-05-31,276731.9879918596,277478.3533437441,278188.49090608844,37075
869,2018-06-30,276261.97595143033,277413.2088070352,278704.524755349,37075
870,2018-07-31,275459.04489085445,277296.22786305414,279197.69408519426,37075
871,2018-08-31,274813.43104633177,277375.93623319856,279958.4552758734,37075
872,2018-09-30,274464.30469586956,277729.8041781019,281051.0202746061,37075
873,2018-10-31,273923.8911144031,277930.2502415823,282212.6551686836,37075
874,2018-11-30,273146.7730764832,278061.873572831,283137.32892490615,37075
875,2018-12-31,272433.34305386944,278085.1312202417,284114.6026138627,37075
876,2019-01-31,271621.14978335577,278093.81099167606,285278.89855114167,37075
877,2019-02-28,271228.15260665305,278254.0042935591,286124.6031963351,37075
878,2019-03-31,270061.9548740092,278153.5642938863,287017.12891997834,37075
879,2019-04-30,269574.22712015366,278564.9039443176,288488.973926511,37075
880,2019-05-31,268645.0698028678,278735.22994312516,290012.4991366335,37075
881,2019-06-30,267049.71220543253,278634.0407909792,291209.7558039043,37075
882,2019-07-31,265301.18378228485,278476.2775648946,291772.11975774873,37075
883,2019-08-31,263967.5215394711,278558.0297669056,293337.8008386755,37075
884,2019-09-30,263113.9973922086,278960.4552552824,294919.06439714227,37075
885,2019-10-31,262126.67619375294,279167.0159053268,296426.492246017,37075
886,2019-11-30,260681.1569531941,279294.40248098806,297680.4398212673,37075
887,2019-12-31,259398.1236839714,279298.7513907081,299024.89778462035,37075
888,2020-01-31,257951.21347641153,279297.85866528517,300377.6758135,37075
889,2020-02-29,256644.5239484039,279481.75894172286,301909.4251767375,37075
890,2020-03-31,255249.30580530077,279478.328536877,303413.7465565174,37075
891,2020-04-30,253966.1868280249,279708.4545226542,305077.48466490605,37075
892,2020-05-31,252190.56187205503,279831.67995567765,306518.48195431056,37075
893,2020-06-30,250965.48969871525,279835.58462101646,308666.6676285826,37075
894,2020-07-31,249173.1339178589,279802.1793340409,310342.20143325697,37075
895,2020-08-31,247955.19208287954,279882.1437137931,312256.1473107991,37075
896,2020-09-30,245991.78962890283,280139.6732107172,314191.44945514685,37075
897,2020-10-31,244448.182306079,280325.6502037255,316444.3294761046,37075
898,2020-11-30,242695.42461320045,280463.5103238262,318365.14050067565,37075
899,2020-12-31,240084.50062200575,280524.0579540127,320096.75606935064,37075
900,2021-01-31,239098.39587233524,280553.02453580056,321602.1037161592,37075
901,2021-02-28,236856.6381726962,280695.3483703616,323550.8463922594,37075
902,2021-03-31,234672.2401220035,280658.70980588597,325781.695524397,37075
1164,2018-01-01,187012.46499300466,187259.14794767764,187491.60541452412,37130
1165,2018-02-01,189045.6523062702,189272.56955402938,189509.5991842604,37130
1166,2018-03-01,191024.5329478757,191249.89284911592,191487.7228389397,37130
1167,2018-04-01,193153.5032052302,193397.34528759783,193638.0012689195,37130
1168,2018-04-30,195003.97969683484,195292.66625326115,195568.32191659446,37130
1169,2018-05-31,197182.3154710521,197622.3685649797,198035.28783899065,37130
1170,2018-06-30,198897.76770568188,199724.5303284322,200465.2462916809,37130
1171,2018-07-31,200698.29049060502,201881.9995004495,203030.26233561747,37130
1172,2018-08-31,202366.06045085634,203983.02633173068,205511.7220883185,37130
1173,2018-09-30,203775.17170443546,205895.55755040044,207862.6167304345,37130
1174,2018-10-31,205446.68139210303,207992.06913278394,210502.4503424202,37130
1175,2018-11-30,206789.04567565073,209972.89422165375,212975.9119822421,37130
1176,2018-12-31,208566.5701313896,212252.17900619144,215880.4116297712,37130
1177,2019-01-31,210126.60020911932,214400.5462875532,218617.19662079858,37130
1178,2019-02-28,211810.00273540383,216477.6436647947,221238.67489217562,37130
1179,2019-03-31,212879.784992915,218354.7473998724,223664.15955346203,37130
1180,2019-04-30,214182.81803827005,220418.44907901462,226375.76600152033,37130
1181,2019-05-31,215875.8183808911,222789.3031123946,229186.7127356544,37130
1182,2019-06-30,217268.55432145175,224887.56349155097,232159.8437510672,37130
1183,2019-07-31,218682.5434155955,227050.3660103912,235073.5890788879,37130
1184,2019-08-31,219912.16198982965,229153.394345073,237932.8666484486,37130
1185,2019-09-30,220839.65236531786,231041.8801694115,240716.57076141192,37130
1186,2019-10-31,221938.6552529995,233135.99104007453,243660.26197629143,37130
1187,2019-11-30,223245.96034583685,235107.24421259158,246710.31232397704,37130
1188,2019-12-31,224118.52678327044,237418.9893886299,249934.2571894033,37130
1189,2020-01-31,225227.9755817422,239571.13403251948,252894.0695985009,37130
1190,2020-02-29,226306.59598529234,241620.55103600444,255940.2670375529,37130
1191,2020-03-31,227384.0713580078,243660.0580704249,258951.69498825102,37130
1192,2020-04-30,228572.28404853793,245735.16570710772,262070.92818685618,37130
1193,2020-05-31,229818.48961034106,247983.11612549017,265384.4059107294,37130
1194,2020-06-30,230872.83004231864,250091.67693253717,268465.29872294946,37130
1195,2020-07-31,232169.56239744357,252237.78351010635,271868.6273435566,37130
1196,2020-08-31,233363.8069705118,254333.32604977294,274990.1950069161,37130
1197,2020-09-30,234017.18062810885,256293.7568712561,278327.32703179197,37130
1198,2020-10-31,234658.96060742944,258396.05312924265,281696.74228448386,37130
1199,2020-11-30,235280.09227233467,260398.34995221804,284983.5829486503,37130
1200,2020-12-31,236274.0635919727,262613.2700090704,288285.0941765251,37130
1201,2021-01-31,237309.97755115488,264752.8392174572,291830.45283437124,37130
1202,2021-02-28,237938.77919242636,266804.62307498493,294776.14595534495,37130
1203,2021-03-31,238601.12822342647,268789.99893591186,297605.530764217,37130
1465,2018-01-01,166836.7459292915,167254.5269929599,167668.5752323614,38401
1466,2018-02-01,168484.9830878028,168963.11548198524,169423.57025879994,38401
1467,2018-03-01,170312.46345215477,170765.54795115205,171194.01780715905,38401
1468,2018-04-01,172273.09197121306,172717.51628229927,173168.24053606542,38401
1469,2018-04-30,173938.58787108934,174393.9127524772,174875.15004213178,38401
1470,2018-05-31,175782.00050377252,176386.20535307977,177007.45882666614,38401
1471,2018-06-30,177633.03967075163,178525.4189891092,179483.22771060426,38401
1472,2018-07-31,179423.65951987516,180737.02391602038,182054.7237263927,38401
1473,2018-08-31,181211.70220364726,182946.19967131564,184862.50664011724,38401
1474,2018-09-30,182645.8704869662,184891.55185210513,187298.08022045743,38401
1475,2018-10-31,183901.3635417763,186666.4849741541,189735.72850337872,38401
1476,2018-11-30,184920.9665670533,188363.04940431885,192254.04636130726,38401
1477,2018-12-31,186141.07557968365,190300.3166589827,194974.95117625588,38401
1478,2019-01-31,187698.53272941272,192574.19350281995,197943.0633649231,38401
1479,2019-02-28,189462.93292415232,195003.48686239295,201123.7582688865,38401
1480,2019-03-31,190309.7090962561,196591.26690593615,203526.09517603257,38401
1481,2019-04-30,191032.27252237147,198124.22315564493,205770.3375838908,38401
1482,2019-05-31,191991.04097460996,200103.0860777573,208528.2540765693,38401
1483,2019-06-30,193354.91170626407,202272.53569327344,211549.11916563087,38401
1484,2019-07-31,194683.0158839366,204527.7100510309,214784.1494431906,38401
1485,2019-08-31,195842.98058421919,206781.57186706192,217412.39851316996,38401
1486,2019-09-30,196840.15271852424,208721.33614462538,220028.14888106927,38401
1487,2019-10-31,197973.62988183164,210436.319742878,222888.70081826134,38401
1488,2019-11-30,198467.33535669267,212075.48333485046,226030.18029086557,38401
1489,2019-12-31,199544.92631501335,214006.20962276292,228967.69469974635,38401
1490,2020-01-31,200866.36728108404,216351.42217620256,232686.45630619035,38401
1491,2020-02-29,202423.87055250886,218529.35446802297,235890.1569331227,38401
1492,2020-03-31,203290.90954208377,220343.32257635277,239389.5398370102,38401
1493,2020-04-30,204142.3567373532,222099.79636513337,241204.11501786925,38401
1494,2020-05-31,205397.2404848389,224124.6665590252,244568.57668246824,38401
1495,2020-06-30,206278.38255465098,226208.47346299898,248180.07809151127,38401
1496,2020-07-31,206976.930703699,228333.91506861904,251668.1906351766,38401
1497,2020-08-31,207927.02176177362,230449.98614012686,255026.59032507922,38401
1498,2020-09-30,207566.86586068213,232399.4629883886,257924.87624843756,38401
1499,2020-10-31,208325.70916656923,234291.6605389061,261385.08580752558,38401
