,RegionName,City,State,Metro,CountyName,time,value,ds,yhat_lower,yhat,yhat_upper,Zip_code,log_value,log_yhat
0,95123,San Jose,CA,San Jose,Santa Clara,1996-04-01,224500.0,1996-04-01,221764.5214356748,223721.8226769378,225642.92305787484,95123,12.321630986164447,12.31815869603687
1,95051,Santa Clara,CA,San Jose,Santa Clara,1996-04-01,258700.0,1996-04-01,254855.4411226689,257736.61201588865,260520.0697289792,95051,12.46342436817412,12.459693458787758
2,95035,Milpitas,CA,San Jose,Santa Clara,1996-04-01,231100.0,1996-04-01,227657.51170040446,230636.85807270603,233681.1963114182,95035,12.350605796262473,12.348599709572538
3,95014,Cupertino,CA,San Jose,Santa Clara,1996-04-01,432400.0,1996-04-01,426798.44860591646,430808.09718596074,434787.9413275652,95014,12.97710636474719,12.973418019784022
4,95112,San Jose,CA,San Jose,Santa Clara,1996-04-01,186800.0,1996-04-01,184022.75939432796,185893.2353880916,187813.6559919686,95112,12.13779380477688,12.132927784602552
5,94087,Sunnyvale,CA,San Jose,Santa Clara,1996-04-01,361300.0,1996-04-01,354453.2122316651,358940.91090397374,363353.0569585618,94087,12.797463917135731,12.79091306034116
6,95125,San Jose,CA,San Jose,Santa Clara,1996-04-01,286000.0,1996-04-01,282987.79998602974,285341.3807143789,287823.20123066084,95125,12.56374708980199,12.561441569496305
7,94086,Sunnyvale,CA,San Jose,Santa Clara,1996-04-01,310400.0,1996-04-01,305625.411743615,309150.8082178294,312677.698897433,94086,12.645617067291202,12.64158448930589
8,95008,Campbell,CA,San Jose,Santa Clara,1996-04-01,262100.0,1996-04-01,257684.78556179558,260836.30145197976,263936.9037328275,95008,12.476481389311498,12.471648292032203
9,95020,Gilroy,CA,San Jose,Santa Clara,1996-04-01,238000.0,1996-04-01,236323.69546008145,237631.22955890445,238890.6634733781,95020,12.380025952653611,12.378475295370947
10,95124,San Jose,CA,San Jose,Santa Clara,1996-04-01,249700.0,1996-04-01,246895.6440395821,249161.7993134887,251366.74412710452,95124,12.428015476267865,12.425857760860263
11,95037,Morgan Hill,CA,San Jose,Santa Clara,1996-04-01,314800.0,1996-04-01,312507.16397105716,314114.1488286277,315627.19125271204,95037,12.659692795525386,12.657511730130258
12,95136,San Jose,CA,San Jose,Santa Clara,1996-04-01,242500.0,1996-04-01,240495.7226870588,242226.8411761792,244137.81548983685,95136,12.398756989359676,12.397629926323209
13,95127,San Jose,CA,San Jose,Santa Clara,1996-04-01,187400.0,1996-04-01,185200.68060819947,186805.60376790471,188254.86259575633,95127,12.14100064878646,12.137823803084446
14,95111,San Jose,CA,San Jose,Santa Clara,1996-04-01,188200.0,1996-04-01,185851.39583219922,187360.97264833105,188914.5089138654,95111,12.145260506133416,12.140792370152031
15,95023,Hollister,CA,San Jose,San Benito,1996-04-01,203700.0,1996-04-01,202452.78928426286,203289.85332396883,204127.14951988836,95023,12.224403602214897,12.222388088503555
16,94040,Mountain View,CA,San Jose,Santa Clara,1996-04-01,413200.0,1996-04-01,407817.49605935893,412305.7778987416,417420.5881277829,94040,12.93168701622762,12.929520532418632
17,95050,Santa Clara,CA,San Jose,Santa Clara,1996-04-01,236900.0,1996-04-01,233142.5932914903,235355.40006334588,237624.99408725966,95050,12.375393390146877,12.368851991385885
18,95126,San Jose,CA,San Jose,Santa Clara,1996-04-01,245400.0,1996-04-01,242508.5965667474,245356.43952281066,248062.2016138152,95126,12.410644811258948,12.410467287445522
19,94303,Palo Alto,CA,San Jose,Santa Clara,1996-04-01,374300.0,1996-04-01,365059.1410044504,373266.30503747694,381357.35315065295,94303,12.83281289389252,12.830047398405732
20,95129,San Jose,CA,San Jose,Santa Clara,1996-04-01,325800.0,1996-04-01,320356.9860319682,324832.32802668546,328910.47335643775,95129,12.694038975150082,12.691064414418532
21,95128,San Jose,CA,San Jose,Santa Clara,1996-04-01,233700.0,1996-04-01,230515.0116419846,233014.81388841104,235533.39096385942,95128,12.36179352052695,12.358857309447004
22,95134,San Jose,CA,San Jose,Santa Clara,1996-04-01,254500.0,1996-04-01,247240.77062083327,252898.67677899916,258814.8685327141,95134,12.447056114972714,12.440744200453777
23,94043,Mountain View,CA,San Jose,Santa Clara,1996-04-01,291700.0,1996-04-01,286100.2445761494,289766.70660282,293317.63069524115,94043,12.583481155855813,12.5768314182208
24,95116,San Jose,CA,San Jose,Santa Clara,1996-04-01,170600.0,1996-04-01,168292.60362934798,169839.84625205924,171496.8296764683,95116,12.047076914039716,12.042611191125076
25,95120,San Jose,CA,San Jose,Santa Clara,1996-04-01,365400.0,1996-04-01,361635.82681233244,364701.55796425004,367859.4255896605,95120,12.808747922926043,12.806834648694009
26,95122,San Jose,CA,San Jose,Santa Clara,1996-04-01,170800.0,1996-04-01,168369.70497037773,170161.6753383973,171934.80197093487,95122,12.048248560336607,12.04450429549089
27,95070,Saratoga,CA,San Jose,Santa Clara,1996-04-01,633800.0,1996-04-01,627358.2331788845,632866.7030298733,638343.2361178495,95070,13.359488726238958,13.358015099219651
28,94306,Palo Alto,CA,San Jose,Santa Clara,1996-04-01,440600.0,1996-04-01,431992.3097122862,437802.6691083376,444464.2270864985,94306,12.99589271335038,12.98952356069082
29,95132,San Jose,CA,San Jose,Santa Clara,1996-04-01,233400.0,1996-04-01,230550.35201458214,232486.01941389855,234396.75904821904,95132,12.360508998834593,12.35658537064845
30,95148,San Jose,CA,San Jose,Santa Clara,1996-04-01,237500.0,1996-04-01,234630.457871244,236626.37537988054,238520.39586135617,95148,12.377922902456833,12.374237700982341
31,95118,San Jose,CA,San Jose,Santa Clara,1996-04-01,234600.0,1996-04-01,230375.44234620302,233453.74391853402,236356.45230073828,95118,12.365637215201511,12.36073923761696
32,95032,Los Gatos,CA,San Jose,Santa Clara,1996-04-01,427400.0,1996-04-01,421733.25271587755,427064.30939339683,432710.3433364232,95032,12.965475621867185,12.964689888349275
33,95117,San Jose,CA,San Jose,Santa Clara,1996-04-01,266100.0,1996-04-01,263686.45054904424,266226.94333632936,268779.21253465844,95117,12.49162745696578,12.492104394458142
34,95121,San Jose,CA,San Jose,Santa Clara,1996-04-01,212600.0,1996-04-01,209985.87518819486,211999.07336786343,213896.355456066,95121,12.267167744889985,12.264337182738293
35,95131,San Jose,CA,San Jose,Santa Clara,1996-04-01,243900.0,1996-04-01,241456.44830182366,243452.69677055525,245465.33108103307,95131,12.404513584204011,12.402677938857176
36,95133,San Jose,CA,San Jose,Santa Clara,1996-04-01,233300.0,1996-04-01,230637.9261234103,232576.99377615657,234646.31233564497,95133,12.360080458009522,12.356976605215973
37,95054,Santa Clara,CA,San Jose,Santa Clara,1996-04-01,240200.0,1996-04-01,236810.3214887189,240280.78783363636,244022.5088702402,95054,12.38922718862802,12.38956346777359
38,94089,Sunnyvale,CA,San Jose,Santa Clara,1996-04-01,206600.0,1996-04-01,204116.29373690017,206655.27231967804,209106.07769506078,94089,12.238539835667675,12.238807332896192
39,94024,Los Altos,CA,San Jose,Santa Clara,1996-04-01,612200.0,1996-04-01,603583.9196426558,609297.9620390655,615324.3562079412,94024,13.32481430549345,13.320062691473181
40,94301,Palo Alto,CA,San Jose,Santa Clara,1996-04-01,709500.0,1996-04-01,693902.3346228693,705308.3459834813,716073.3542268066,94301,13.472315775582235,13.46639035636528
41,94022,Los Altos,CA,San Jose,Santa Clara,1996-04-01,795600.0,1996-04-01,786022.8274214464,793205.0882936987,800959.1801069959,94022,13.586851825961954,13.583837090500923
42,95135,San Jose,CA,San Jose,Santa Clara,1996-04-01,371600.0,1996-04-01,367918.00737099745,371037.786121653,374232.1380094172,95135,12.82557328592182,12.824059185787785
43,94041,Mountain View,CA,San Jose,Santa Clara,1996-04-01,339200.0,1996-04-01,334968.7933762018,338322.2989500418,341612.52935440437,94041,12.734345182899885,12.731754267317307
44,95110,San Jose,CA,San Jose,Santa Clara,1996-04-01,181000.0,1996-04-01,178406.86604611354,180361.1697534948,182114.57588881353,95110,12.106252310247962,12.102716618173197
45,95138,San Jose,CA,San Jose,Santa Clara,1996-04-01,389900.0,1996-04-01,386611.032484921,389758.9015092691,392859.1739875703,95138,12.87364557497069,12.873283625682356
46,95030,Los Gatos,CA,San Jose,Santa Clara,1996-04-01,660200.0,1996-04-01,651255.9598009824,659118.8370467569,666637.3636130457,95030,13.40029809840123,13.39865912658501
47,95130,San Jose,CA,San Jose,Santa Clara,1996-04-01,254700.0,1996-04-01,250125.08558798739,253595.65461186098,256929.17343849997,95130,12.447841660967548,12.443496366587132
48,94305,Stanford,CA,San Jose,Santa Clara,1996-04-01,736900.0,1996-04-01,724145.8876448993,734927.7071069218,745066.7374782661,94305,13.51020747675509,13.507527415679883
49,95033,Lexington Hills,CA,San Jose,Santa Clara,1996-04-01,379100.0,1996-04-01,376048.0182155042,380236.6912136691,384388.2010210409,95033,12.845555301504426,12.848549209413477
50,95119,San Jose,CA,San Jose,Santa Clara,1996-04-01,229400.0,1996-04-01,226787.95340663468,228693.71675445812,230460.41024446677,95119,12.343222483677406,12.340138905888198
51,95046,San Martin,CA,San Jose,Santa Clara,1996-04-01,343000.0,1996-04-01,339256.1867597134,342055.9101831886,344799.33733834035,95046,12.745485726148077,12.742729482751136
52,95139,San Jose,CA,San Jose,Santa Clara,1996-04-01,224500.0,1996-04-01,222813.92575791068,224381.14318183216,226015.58073124138,95139,12.321630986164447,12.321101416933255
53,95045,San Juan Bautista,CA,San Jose,San Benito,1996-04-01,268000.0,1996-04-01,263532.69798373524,267104.2131199174,270704.04888830875,95045,12.498742259492994,12.495394172541294
54,95004,Aromas,CA,San Jose,San Benito,1996-04-01,249900.0,1996-04-01,247427.2152848967,249527.14892492027,251735.93548419973,95004,12.428816116823043,12.427323001580303
55,95123,San Jose,CA,San Jose,Santa Clara,1996-05-01,224800.0,1996-05-01,223125.78015453345,224934.06571035815,226948.11040545808,95123,12.322966397001673,12.323562596954272
56,95051,Santa Clara,CA,San Jose,Santa Clara,1996-05-01,259300.0,1996-05-01,256548.50093072688,259461.90946613098,262251.7027996034,95051,12.465740971526756,12.466365186483305
57,95035,Milpitas,CA,San Jose,Santa Clara,1996-05-01,232100.0,1996-05-01,228759.33888633605,231901.82334303527,235072.51545328688,95035,12.354923592262528,12.354069385838997
58,95014,Cupertino,CA,San Jose,Santa Clara,1996-05-01,434500.0,1996-05-01,430922.43257536954,434945.93624230963,438658.58026950166,95014,12.981951223687584,12.982977017846425
59,95112,San Jose,CA,San Jose,Santa Clara,1996-05-01,186800.0,1996-05-01,185163.9039072882,186928.1794601816,188784.21221774473,95112,12.13779380477688,12.138479755006228
60,94087,Sunnyvale,CA,San Jose,Santa Clara,1996-05-01,363300.0,1996-05-01,359298.39447375055,363596.69059618603,368119.4377706238,94087,12.802984218209293,12.803800539473373
61,95125,San Jose,CA,San Jose,Santa Clara,1996-05-01,287700.0,1996-05-01,285317.03710708255,287670.4627453755,290158.5924164508,95125,12.569673549539639,12.569570877412504
62,94086,Sunnyvale,CA,San Jose,Santa Clara,1996-05-01,312000.0,1996-05-01,308706.15520893876,312061.1033835642,315688.12807040155,94086,12.65075846679162,12.650954291794742
63,95008,Campbell,CA,San Jose,Santa Clara,1996-05-01,263000.0,1996-05-01,259914.60200200157,263040.7234120699,265821.087224772,95008,12.479909311159902,12.480064141044124
64,95020,Gilroy,CA,San Jose,Santa Clara,1996-05-01,238500.0,1996-05-01,237154.32915548395,238493.34077337198,239825.2192972154,95020,12.382124589310534,12.382096667635075
65,95124,San Jose,CA,San Jose,Santa Clara,1996-05-01,250200.0,1996-05-01,248468.89634312395,250640.2889083061,252672.9511409423,95124,12.430015877014949,12.431774078307766
66,95037,Morgan Hill,CA,San Jose,Santa Clara,1996-05-01,316000.0,1996-05-01,314445.9361133954,316084.74382742716,317813.27588372066,95037,12.66349749256905,12.663765633285188
67,95136,San Jose,CA,San Jose,Santa Clara,1996-05-01,242900.0,1996-05-01,241335.64306868156,243107.2057913012,244746.30676699572,95136,12.400405114990264,12.401257801129015
68,95127,San Jose,CA,San Jose,Santa Clara,1996-05-01,187400.0,1996-05-01,185873.88652272374,187428.36464428765,188904.8769642528,95127,12.14100064878646,12.141151996160442
69,95111,San Jose,CA,San Jose,Santa Clara,1996-05-01,188200.0,1996-05-01,186788.49642639936,188359.9694600957,189758.2742225057,95111,12.145260506133416,12.146110142221652
70,95023,Hollister,CA,San Jose,San Benito,1996-05-01,203700.0,1996-05-01,203060.06895318304,203916.2227630455,204794.37319905346,95023,12.224403602214897,12.225464515747044
71,94040,Mountain View,CA,San Jose,Santa Clara,1996-05-01,416100.0,1996-05-01,412195.5881222096,416460.4562095878,420992.47010232153,94040,12.938680894971032,12.939546793007436
72,95050,Santa Clara,CA,San Jose,Santa Clara,1996-05-01,238000.0,1996-05-01,235751.8836372479,238079.86963839096,240314.89114900198,95050,12.380025952653611,12.380361483072912
73,95126,San Jose,CA,San Jose,Santa Clara,1996-05-01,247200.0,1996-05-01,244394.86801188366,247282.93668401617,250144.2816684615,95126,12.417953004565673,12.418288452681841
74,94303,Palo Alto,CA,San Jose,Santa Clara,1996-05-01,375900.0,1996-05-01,366965.4500658206,374751.6997330437,382968.5607477101,94303,12.83707842955227,12.834018951599772
75,95129,San Jose,CA,San Jose,Santa Clara,1996-05-01,327900.0,1996-05-01,323484.4261024219,327645.8092632551,331998.55030892394,95129,12.700463962832739,12.69968845410126
76,95128,San Jose,CA,San Jose,Santa Clara,1996-05-01,234800.0,1996-05-01,232225.11554556218,234852.30697234863,237333.44746962935,95128,12.366489366936078,12.366712114580617
