,ds,yhat_lower,yhat,yhat_upper,Zip_code
261,2018-01-01,985797.7591772055,987652.7861562726,989540.1363656735,95123
262,2018-02-01,1004613.4959664538,1006469.8357208057,1008348.9592126677,95123
263,2018-03-01,1022013.9408726532,1023994.0510916947,1025857.19426163,95123
264,2018-04-01,1040883.8617770054,1042820.9706373616,1044825.2968194447,95123
265,2018-04-30,1058980.6727602738,1061143.3335483156,1063167.025217978,95123
266,2018-05-31,1076623.3760261976,1080889.8411680646,1084652.238410494,95123
267,2018-06-30,1092008.0090500317,1098545.5243781167,1104616.6967774888,95123
268,2018-07-31,1107055.9753460083,1116667.780579356,1125635.2096722275,95123
269,2018-08-31,1122904.139836232,1136299.1775656731,1148586.727013647,95123
270,2018-09-30,1138358.8285226966,1155714.833552342,1171760.136111695,95123
271,2018-10-31,1153358.4141632468,1175278.9462447606,1195370.8033029865,95123
272,2018-11-30,1166474.2040059844,1192756.2098089904,1216460.3394516846,95123
273,2018-12-31,1179401.7198080183,1211529.3915637059,1240585.0744808011,95123
274,2019-01-31,1193497.7126663122,1232277.205595153,1266039.428329794,95123
275,2019-02-28,1205639.7774043113,1249534.906305585,1287401.960923197,95123
276,2019-03-31,1217100.5654856586,1267691.1263331573,1311552.8856096242,95123
277,2019-04-30,1230794.6803265542,1287262.6394390773,1337094.879964118,95123
278,2019-05-31,1245228.0165295955,1307092.2585363965,1363260.1838412478,95123
279,2019-06-30,1257120.3221202802,1324554.5608139469,1388349.9627379116,95123
280,2019-07-31,1266655.3145080493,1342494.2233790285,1410817.1813836168,95123
281,2019-08-31,1280833.46470908,1362273.3816697984,1435677.1395388686,95123
282,2019-09-30,1292963.2648300196,1381892.703113969,1462755.5615492656,95123
283,2019-10-31,1308112.2157993685,1401539.0541850931,1491525.9681785018,95123
284,2019-11-30,1316538.8335002162,1418711.591226366,1513328.4890714209,95123
285,2019-12-31,1329778.5689715033,1437357.674383281,1539983.97380192,95123
286,2020-01-31,1344143.547768063,1458424.0938556145,1569058.4333883962,95123
287,2020-02-29,1354615.5840979673,1476133.6768086758,1594903.0936984774,95123
288,2020-03-31,1365038.7248755225,1494683.4563185817,1620281.8098107493,95123
289,2020-04-30,1376620.6745076098,1513709.6769278073,1646730.4401830488,95123
290,2020-05-31,1388004.4246682988,1533273.918633329,1675430.9063626342,95123
291,2020-06-30,1397126.210514051,1551306.586069209,1700862.3512554574,95123
292,2020-07-31,1406963.2106398495,1569810.691222447,1725355.862335782,95123
293,2020-08-31,1417923.9103590976,1589164.4866359099,1754792.5449745322,95123
294,2020-09-30,1431169.3801177703,1608168.1538492276,1782379.836103605,95123
295,2020-10-31,1442544.9302629388,1627544.9913369392,1812786.9447654579,95123
296,2020-11-30,1449576.550945314,1645623.6346699048,1840317.6758501367,95123
297,2020-12-31,1458906.292328933,1664674.0456660965,1870763.8786216807,95123
298,2021-01-31,1470933.5649779213,1684788.2421538173,1900752.518580968,95123
299,2021-02-28,1479479.247018585,1702201.102583495,1925916.4437980985,95123
300,2021-03-31,1492364.6962209607,1720616.6274124135,1956501.5143061567,95123
562,2018-01-01,1476454.5871880497,1479278.544894327,1482061.34599983,95051
563,2018-02-01,1510596.090300018,1513391.5801943014,1516502.0897713685,95051
564,2018-03-01,1541061.5622662688,1544082.688665878,1547006.8896305212,95051
565,2018-04-01,1573396.906164408,1576233.952346292,1579043.3280319062,95051
566,2018-04-30,1604069.3095589303,1607169.547829535,1610642.4733544902,95051
567,2018-05-31,1634156.1657147992,1639825.9794339882,1645593.6353628426,95051
