,RegionName,City,State,Metro,CountyName,time,value,ds,yhat_lower,yhat,yhat_upper,Zip_code,log_value,log_yhat
0,37013,Nashville,TN,Nashville,Davidson,1996-04-01,112400.0,1996-04-01,111823.36216371559,112366.92173125062,112949.01873347878,37013,11.629819216441728,11.629524882482501
1,37211,Nashville,TN,Nashville,Davidson,1996-04-01,97900.0,1996-04-01,96818.35789492984,97488.38583797762,98251.33954148329,37211,11.491701828518602,11.487488530280148
2,37075,Hendersonville,TN,Nashville,Sumner,1996-04-01,137400.0,1996-04-01,134627.12737942833,135753.91986474473,136970.27595781095,37075,11.830651658770385,11.818599112994352
3,37130,Murfreesboro,TN,Nashville,Rutherford,1996-04-01,82200.0,1996-04-01,81551.4295722754,82155.71865423021,82749.07765515501,37130,11.31691058104427,11.316371733388664
4,38401,Columbia,TN,Nashville,Maury,1996-04-01,77400.0,1996-04-01,77101.68680166098,78583.46067342284,80014.24943217664,38401,11.25674205957782,11.271916532272808
5,37128,Murfreesboro,TN,Nashville,Rutherford,1996-04-01,89100.0,1996-04-01,87931.90738090634,89078.94926145613,90186.05911503214,37128,11.3975146134589,11.397278325853332
6,37064,Franklin,TN,Nashville,Williamson,1996-04-01,162800.0,1996-04-01,164631.66527563013,166793.1628412702,168712.6131786431,37064,12.000277732550577,12.024509777906413
7,37167,Smyrna,TN,Nashville,Rutherford,1996-04-01,93600.0,1996-04-01,93453.85699672918,93933.97044127205,94430.32020104151,37167,11.446785662465684,11.450347372309956
8,37122,Mount Juliet,TN,Nashville,Wilson,1996-04-01,131300.0,1996-04-01,124736.95396282463,131007.24331358548,136386.61563056978,37122,11.785240060290887,11.783007893124834
9,37066,Gallatin,TN,Nashville,Sumner,1996-04-01,90500.0,1996-04-01,86082.68925746769,89074.86454011513,91858.15473105983,37066,11.413105129688017,11.397232469733224
10,37027,Brentwood,TN,Nashville,Williamson,1996-04-01,272400.0,1996-04-01,273029.90835919784,275903.12195828586,278538.3958577294,37027,12.515026853257494,12.527805075684256
11,37129,Murfreesboro,TN,Nashville,Rutherford,1996-04-01,92000.0,1996-04-01,91098.46586783708,91710.63066175162,92324.75082452227,37129,11.429543856031177,11.426393580224925
12,37087,Lebanon,TN,Nashville,Wilson,1996-04-01,85700.0,1996-04-01,83949.06447829925,87301.86089850074,90514.53282428908,37087,11.358608104585871,11.377127057734537
13,37221,Nashville,TN,Nashville,Davidson,1996-04-01,165200.0,1996-04-01,163295.21137565476,164393.59451142093,165428.65011759766,37221,12.014912140069015,12.010018798019239
14,37209,Nashville,TN,Nashville,Davidson,1996-04-01,84900.0,1996-04-01,82783.83955539769,84357.21929815832,85996.2561144655,37209,11.349229372299439,11.342815671723201
15,37076,Nashville,TN,Nashville,Davidson,1996-04-01,112400.0,1996-04-01,111482.01358738192,112144.3610267729,112794.49456419077,37076,11.629819216441728,11.627542258049136
16,37115,Nashville,TN,Nashville,Davidson,1996-04-01,79700.0,1996-04-01,78751.32501301933,79498.52748442012,80276.49391563854,37115,11.286024864778307,11.283493778262333
17,37207,Nashville,TN,Nashville,Davidson,1996-04-01,63600.0,1996-04-01,61451.09179058769,62679.80926572737,63827.730790600115,37207,11.060368749328214,11.04579465348076
18,37174,Spring Hill,TN,Nashville,Maury,1996-04-01,118500.0,1996-04-01,117636.08057654223,118582.80962105423,119601.81314816047,37174,11.682668239557323,11.683366810867104
19,37214,Nashville,TN,Nashville,Davidson,1996-04-01,88300.0,1996-04-01,87247.18826906453,87839.89485815671,88416.99252780504,37214,11.388495386592052,11.383271059772659
20,37217,Nashville,TN,Nashville,Davidson,1996-04-01,96000.0,1996-04-01,94687.67153520758,95475.98780113753,96252.58801693613,37217,11.472103470449973,11.466630058216028
21,37206,Nashville,TN,Nashville,Davidson,1996-04-01,67300.0,1996-04-01,65701.98382733957,66792.66944448392,67886.68216583061,37206,11.116915515632819,11.109348614647958
22,37072,Goodlettsville,TN,Nashville,Davidson,1996-04-01,106800.0,1996-04-01,105866.80266402046,106552.30512697759,107282.8174106527,37072,11.578713205508231,11.576391271520599
23,37172,Springfield,TN,Nashville,Robertson,1996-04-01,74000.0,1996-04-01,73124.70332615178,74068.15645998174,74977.86292543277,37172,11.211820372186306,11.212740981538444
24,37086,La Vergne,TN,Nashville,Rutherford,1996-04-01,90000.0,1996-04-01,89528.39207747031,90087.0251730016,90631.6616214622,37086,11.407564949312402,11.40853142848759
25,37205,Nashville,TN,Nashville,Davidson,1996-04-01,229700.0,1996-04-01,225207.32221341893,227667.07875935108,230306.79548811424,37205,12.34452938867719,12.335639659953536
26,37067,Franklin,TN,Nashville,Williamson,1996-04-01,217000.0,1996-04-01,216599.1323601026,219316.22208095787,221781.43897508556,37067,12.287652632522597,12.29826990376757
27,37055,Dickson,TN,Nashville,Dickson,1996-04-01,63500.0,1996-04-01,60602.184181645665,62198.01986955028,63748.88923661328,37055,11.058795184880783,11.03807844332584
28,37215,Nashville,TN,Nashville,Davidson,1996-04-01,315600.0,1996-04-01,310628.50827635,314024.3906041852,317507.6819988678,37215,12.662230867953856,12.657225938957074
29,37138,Nashville,TN,Nashville,Davidson,1996-04-01,104000.0,1996-04-01,103395.44522572066,103863.77101997292,104306.4164410487,37138,11.55214617812351,11.550835425423672
30,37148,Portland,TN,Nashville,Sumner,1996-04-01,62000.0,1996-04-01,61142.81448855047,63238.79543791637,65368.565962676264,37148,11.03488966402723,11.054673243670726
31,37216,Nashville,TN,Nashville,Davidson,1996-04-01,72800.0,1996-04-01,71993.43538016109,72497.61943173075,73045.463027793,37216,11.195471234184778,11.191309004879269
32,37212,Nashville,TN,Nashville,Davidson,1996-04-01,141900.0,1996-04-01,137587.40707556822,142574.8368892743,147390.6904334666,37212,11.862877863148134,11.867622311989537
33,37015,Ashland City,TN,Nashville,Cheatham,1996-04-01,66700.0,1996-04-01,65705.5109927123,67097.29737832844,68481.11358204087,37015,11.107960231903714,11.113899044627427
34,37210,Nashville,TN,Nashville,Davidson,1996-04-01,60800.0,1996-04-01,58326.81632908384,60156.734516679244,62082.07084367421,37210,11.015345067954259,11.004708677175099
35,37069,Franklin,TN,Nashville,Williamson,1996-04-01,192300.0,1996-04-01,192295.0291818773,194496.5082899906,196530.80238506084,37069,12.166811931576872,12.178169489642942
36,37127,Murfreesboro,TN,Nashville,Rutherford,1996-04-01,83500.0,1996-04-01,81776.60217247576,82692.32637508561,83612.35810343089,37127,11.332601910838946,11.322882088013605
37,37204,Nashville,TN,Nashville,Davidson,1996-04-01,154700.0,1996-04-01,152245.0730965383,154463.3598019051,156755.36102753977,37204,11.949243036561157,11.947712193808899
38,37090,Lebanon,TN,Nashville,Wilson,1996-04-01,94000.0,1996-04-01,88417.95914813742,92328.60074008456,96523.13936154264,37090,11.451050061252142,11.433109239665207
39,37083,Lafayette,TN,Nashville,Macon,1996-04-01,47500.0,1996-04-01,43096.854095184994,44773.582585045995,46407.5865370419,37083,10.768484990022733,10.709373570035789
40,37188,White House,TN,Nashville,Robertson,1996-04-01,93900.0,1996-04-01,93346.98777834771,93952.49956091755,94547.35972432942,37188,11.449985665196355,11.450544609713004
41,37135,Nolensville,TN,Nashville,Williamson,1996-04-01,156700.0,1996-04-01,155274.16558853048,158772.236248983,161923.1624210592,37135,11.962088428344112,11.975225977805668
42,37179,Thompsons Station,TN,Nashville,Williamson,1996-04-01,135900.0,1996-04-01,135957.60606929802,137887.55426758857,139837.22134994096,37179,11.819674600139235,11.834193807841796
43,37073,Greenbrier,TN,Nashville,Robertson,1996-04-01,90200.0,1996-04-01,89547.54292228376,90971.11145897687,92410.30303815512,37073,11.409784706050715,11.418297278604248
44,37062,Fairview,TN,Nashville,Williamson,1996-04-01,90200.0,1996-04-01,88397.02496688947,90168.92687628017,91947.1799193711,37062,11.409784706050715,11.409440155306134
45,37186,Westmoreland,TN,Nashville,Sumner,1996-04-01,37700.0,1996-04-01,35986.48162407964,38891.16080281727,41667.36505486283,37186,10.537415373436103,10.56852227506683
46,37190,Woodbury,TN,Nashville,Cannon,1996-04-01,49300.0,1996-04-01,48086.86357499476,50360.796099627994,52709.741621104105,37190,10.805679360030782,10.826968296207045
47,38474,Mount Pleasant,TN,Nashville,Maury,1996-04-01,48700.0,1996-04-01,44656.9573230538,47502.8987029196,50318.236037040784,38474,10.793434309070681,10.768546013485386
48,37033,Centerville,TN,Nashville,Hickman,1996-04-01,41100.0,1996-04-01,38919.211583540506,40293.30166285624,41630.46585445875,37033,10.623763400484325,10.60394052228026
49,37080,Nashville,TN,Nashville,Davidson,1996-04-01,91100.0,1996-04-01,89229.26716384159,90394.87515756268,91549.22022280536,37080,11.41971308324805,11.411942854038362
50,37187,White Bluff,TN,Nashville,Dickson,1996-04-01,57500.0,1996-04-01,54886.22023237865,56989.966160639604,59274.70035849538,37187,10.959540226785442,10.950630499051709
51,37030,Carthage,TN,Nashville,Smith,1996-04-01,54600.0,1996-04-01,54234.34706610699,54760.53964887979,55277.15180323291,37030,10.907789161732996,10.910725134154408
52,37037,Christiana,TN,Nashville,Rutherford,1996-04-01,73400.0,1996-04-01,72246.52771881176,72942.1234461761,73626.68763342488,37037,11.203679214602607,11.197421576170562
53,37146,Pleasant View,TN,Nashville,Cheatham,1996-04-01,73400.0,1996-04-01,69658.76347392051,72484.64785903408,75070.05097336209,37146,11.203679214602607,11.191130064751297
54,37025,Bon Aqua,TN,Nashville,Hickman,1996-04-01,47200.0,1996-04-01,44564.85444653924,47304.95986989516,49892.21456190331,37025,10.762149171573647,10.764370428811267
55,37220,Nashville,TN,Nashville,Davidson,1996-04-01,173400.0,1996-04-01,170469.24197394162,172922.59700799477,175152.64722315804,37220,12.063356343328579,12.060599357220692
56,37082,Kingston Springs,TN,Nashville,Cheatham,1996-04-01,100800.0,1996-04-01,97775.81316183666,99707.46806351599,101779.08263055808,37082,11.520893634619405,11.509995858495877
57,37184,Watertown,TN,Nashville,Wilson,1996-04-01,,1996-04-01,-174611.6824485324,-170122.9944811362,-165774.1288846938,37184,,
58,37036,Charlotte,TN,Nashville,Dickson,1996-04-01,38800.0,1996-04-01,35049.05020472743,38425.826433518254,41608.38178070892,37036,10.566175525611365,10.556485075879303
59,37029,Burns,TN,Nashville,Dickson,1996-04-01,86100.0,1996-04-01,84376.65173399118,86898.35491456372,89390.60822640215,37029,11.363264690415821,11.372494380286765
60,37048,Walnut Grove,TN,Nashville,Sumner,1996-04-01,87000.0,1996-04-01,83109.63970505778,85262.29478819699,87214.04055114594,37048,11.37366339763672,11.35348760513641
61,37098,Lyles,TN,Nashville,Hickman,1996-04-01,44900.0,1996-04-01,42378.06232039641,43968.34263013232,45494.16741900643,37098,10.712193073730345,10.69122516826755
62,37022,Bethpage,TN,Nashville,Sumner,1996-04-01,56000.0,1996-04-01,53264.05267193246,57868.09250063201,62267.66080646193,37022,10.933106969717286,10.965921432224597
63,37153,Rockvale,TN,Nashville,Rutherford,1996-04-01,82000.0,1996-04-01,79875.52396963384,81392.14809857549,82933.62387769358,37153,11.314474526246391,11.307034086632537
64,37150,Red Boiling Springs,TN,Nashville,Macon,1996-04-01,35200.0,1996-04-01,34557.50945298129,35150.76550583617,35733.19872459515,37150,10.468801361586188,10.467401675261588
65,38451,Culleoka,TN,Nashville,Maury,1996-04-01,63200.0,1996-04-01,53909.073875774804,60193.952644251185,67021.4795967283,38451,11.054059580134949,11.005327171836598
66,37046,College Grove,TN,Nashville,Williamson,1996-04-01,77500.0,1996-04-01,55063.655566044974,75447.46065287801,95315.10077737638,37046,11.258033215341438,11.231191807604144
67,37085,Lascassas,TN,Nashville,Rutherford,1996-04-01,86200.0,1996-04-01,85440.88537028078,87123.33179817905,88921.75578963988,37085,11.364425456651784,11.375080000656318
68,37032,Cedar Hill,TN,Nashville,Robertson,1996-04-01,65300.0,1996-04-01,59970.69445471729,63583.86957061709,67367.31834139691,37032,11.086747315264523,11.06011509405693
69,37143,Pegram,TN,Nashville,Cheatham,1996-04-01,100800.0,1996-04-01,98742.40317947429,100150.97198573158,101651.01939024894,37143,11.520893634619405,11.514434046346235
70,37031,Castalian Springs,TN,Nashville,Sumner,1996-04-01,72900.0,1996-04-01,70746.38350429868,73732.50693203534,76747.29028183801,37031,11.19684391799675,11.208199051925194
71,37189,Nashville,TN,Nashville,Davidson,1996-04-01,94800.0,1996-04-01,89268.52844779391,92533.93006719733,95693.86179096636,37189,11.459524688243112,11.43533066777888
72,37049,Cross Plains,TN,Nashville,Robertson,1996-04-01,73000.0,1996-04-01,65609.0196153462,69758.2596220114,73796.8757449414,37049,11.198214720130528,11.152791110192688
73,37035,Chapmansboro,TN,Nashville,Cheatham,1996-04-01,66300.0,1996-04-01,64176.30550788076,65546.05084707844,66922.18895515433,37035,11.101945176173954,11.090508240955575
74,37137,Nunnelly,TN,Nashville,Hickman,1996-04-01,11400.0,1996-04-01,10723.840904778459,11645.962167013557,12566.671232708044,37137,9.341368634382587,9.362714803809748
