,ds,yhat_lower,yhat,yhat_upper,Zip_code
261,2018-01-01,205083.89575305887,205671.41587599687,206208.94933823805,37013
262,2018-02-01,207234.69907848284,207804.83020156474,208357.3143959915,37013
263,2018-03-01,209149.66835573627,209722.16410906645,210311.7536198423,37013
264,2018-04-01,211240.85668297292,211849.4849376395,212391.25801317143,37013
265,2018-04-30,213526.04586390045,214090.3533658823,214702.92206885773,37013
266,2018-05-31,215383.53996486144,215983.0114668715,216508.48074891136,37013
267,2018-06-30,217238.9944737148,217859.3966617739,218549.3588134018,37013
268,2018-07-31,219194.73028156883,219998.95833468277,220763.7870695211,37013
269,2018-08-31,221201.19121144596,222108.3993141348,222988.94365955007,37013
270,2018-09-30,223167.97053022493,224347.926393488,225476.5902467704,37013
271,2018-10-31,225371.3705564736,226796.42502918298,228181.11551804506,37013
272,2018-11-30,227287.16286063555,228894.76280997973,230393.75398387777,37013
273,2018-12-31,228787.99347980818,230659.39849991666,232484.52571592762,37013
274,2019-01-31,230573.09526460143,232821.1466663837,234981.4684689021,37013
275,2019-02-28,232280.99124708187,234781.04400264283,237251.5406467813,37013
276,2019-03-31,234385.49630829974,237182.44648977832,239793.06422380422,37013
277,2019-04-30,236110.72746387578,239414.33330638535,242402.17028054062,37013
278,2019-05-31,237572.91528222902,241255.13611651462,244539.99531130848,37013
279,2019-06-30,239074.52742371487,243092.08576210376,246745.7916881662,37013
280,2019-07-31,240798.3498626149,245238.91233178516,249375.5762614905,37013
281,2019-08-31,242502.886482672,247343.9712059289,251848.84790365392,37013
282,2019-09-30,244516.71836512667,249616.1817411597,254606.359429053,37013
283,2019-10-31,246331.08408150965,252121.68796793334,257653.91404884701,37013
284,2019-11-30,248024.3232857824,254204.06997262762,259937.99846069125,37013
285,2019-12-31,249441.22658454918,255877.87634324172,261902.56711300949,37013
286,2020-01-31,251198.3993822949,258050.26717149714,264833.2641398507,37013
287,2020-02-29,252809.00553219763,260194.1284758189,267551.2215163169,37013
288,2020-03-31,254510.2368194267,262430.7497286619,269946.2305420324,37013
289,2020-04-30,256201.07140366553,264572.78694670653,272768.6664861966,37013
290,2020-05-31,257653.455579729,266565.79511731357,275400.7196449885,37013
291,2020-06-30,259192.6796415616,268523.3113444142,277923.7542703757,37013
292,2020-07-31,260889.79657440408,270651.0671256985,280514.80377287517,37013
293,2020-08-31,262567.5890431986,272771.9731140659,282898.24505973834,37013
294,2020-09-30,264126.98942369386,274948.4159587252,285905.9430250368,37013
295,2020-10-31,265897.27155632153,277279.50659171015,288524.742896078,37013
296,2020-11-30,267551.1044274684,279402.3489243842,291126.99107958697,37013
297,2020-12-31,268920.7242519565,281349.45863454073,293724.0376857043,37013
298,2021-01-31,270371.36266029795,283494.73813796876,296143.23757326533,37013
299,2021-02-28,271621.4715596656,285432.2606544276,298677.45080636285,37013
300,2021-03-31,273642.8685171071,287723.7735616549,301471.6703817794,37013
562,2018-01-01,255909.15147096477,256601.1419300888,257226.35196600723,37211
563,2018-02-01,258459.48719868803,259156.01826429614,259843.49654892887,37211
564,2018-03-01,260857.91751508272,261537.8216683683,262226.0620435185,37211
565,2018-04-01,263421.81146969396,264073.9131118855,264766.25941116834,37211
566,2018-04-30,266095.0371988262,266785.99231656606,267480.8137939774,37211
567,2018-05-31,268411.23115275416,269134.5733586508,269864.7663744222,37211
568,2018-06-30,270458.8577736474,271329.2981527171,272114.66282395925,37211
569,2018-07-31,273291.6071284117,274213.2312644875,275158.83339553484,37211
570,2018-08-31,275824.41023127007,276979.8414511145,278211.0674958554,37211
571,2018-09-30,278071.2434102614,279465.899963047,280865.23050359666,37211
572,2018-10-31,280366.6215664124,282133.2807108876,283837.86226115003,37211
573,2018-11-30,282668.94871785614,284616.72403808695,286801.3527886921,37211
574,2018-12-31,284894.4980452074,287089.1187402971,289474.819925728,37211
575,2019-01-31,287240.6912340394,289917.6269054245,292626.27093445294,37211
576,2019-02-28,288859.26978023077,292067.35634826345,295240.159222711,37211
577,2019-03-31,291196.0418300889,294669.5677532615,298379.08305535134,37211
578,2019-04-30,293475.26010686974,297593.33545482985,301805.79224938765,37211
579,2019-05-31,295378.93122712086,299881.5304954003,304328.13910472457,37211
580,2019-06-30,297105.4778772192,302000.67307888117,306988.67406996276,37211
581,2019-07-31,299597.2102190782,304945.29499890597,310494.4818620337,37211
582,2019-08-31,301685.41243826295,307741.4913203962,313821.2828326606,37211
583,2019-09-30,303588.7087683809,310215.6923486383,316777.9367902713,37211
584,2019-10-31,305613.7272346488,312892.37301994045,320249.3694911356,37211
