,ds,yhat_lower,yhat,yhat_upper,Zip_code
261,2018-01-01,978539.7366576735,986063.0334920817,993803.8182063804,95123
262,2018-02-01,996311.6889064076,1003674.8844507686,1011134.4018174105,95123
263,2018-03-01,1012406.7424008503,1020017.5209069735,1027722.7040347797,95123
264,2018-04-01,1029286.8306748987,1037295.2944097732,1045071.6128572625,95123
265,2018-04-30,1045562.4278950557,1053185.1609668501,1060656.9855217698,95123
266,2018-05-31,1063954.0881690728,1071275.1640880625,1078643.7179990958,95123
267,2018-06-30,1078511.501090062,1086953.1845276281,1095539.406895238,95123
268,2018-07-31,1094251.0505793232,1102855.548108648,1112110.779760905,95123
269,2018-08-31,1110597.618577153,1120179.116116893,1130005.4696307082,95123
270,2018-09-30,1125657.8215398807,1137509.5667223195,1149252.4985345055,95123
271,2018-10-31,1142352.9181475535,1155241.0443274947,1168492.5729499427,95123
272,2018-11-30,1155001.3465672715,1171093.137226812,1187401.3030939568,95123
273,2018-12-31,1170320.0145522305,1188605.1388501935,1208315.5455250905,95123
274,2019-01-31,1189061.499452119,1208789.3275875587,1231821.443681344,95123
275,2019-02-28,1200068.2876596595,1224299.6001081455,1249428.2327608424,95123
276,2019-03-31,1213215.1451545032,1240155.0269606197,1267503.2979487132,95123
277,2019-04-30,1229977.2341669605,1257617.6089156142,1289409.5517059818,95123
278,2019-05-31,1242800.934756739,1275890.5781641284,1311843.3848260047,95123
279,2019-06-30,1256628.8336446914,1291408.0060548405,1328268.9303411338,95123
280,2019-07-31,1268516.5823181402,1307147.4933692245,1347375.0388988908,95123
281,2019-08-31,1282591.9474743754,1324594.0362047714,1369005.051199948,95123
282,2019-09-30,1296264.325873291,1342081.7806083772,1389228.9593281255,95123
283,2019-10-31,1310346.5391793004,1359851.5648671007,1412791.5978416952,95123
284,2019-11-30,1323932.9884011524,1375362.473268695,1430311.8717283935,95123
285,2019-12-31,1335627.48573218,1392800.9294148528,1452506.334858352,95123
286,2020-01-31,1351608.4994946362,1413496.362925656,1476674.1172014228,95123
287,2020-02-29,1362893.056063202,1429087.1821805795,1496927.8566327873,95123
288,2020-03-31,1375249.6181723163,1445784.296674018,1514698.3041215572,95123
289,2020-04-30,1390130.8772406972,1462683.422449653,1538669.8053653834,95123
290,2020-05-31,1403648.0727797844,1480394.6374912376,1559090.5517371339,95123
291,2020-06-30,1416469.8630993415,1496380.5660447537,1577892.7513024637,95123
292,2020-07-31,1426813.608546907,1512620.7122847424,1595137.137250667,95123
293,2020-08-31,1437920.3099914251,1529711.7843177565,1618622.3903741343,95123
294,2020-09-30,1450143.4750263668,1546721.3457998906,1636759.3751153199,95123
295,2020-10-31,1464552.828045158,1564355.5188673772,1662434.789183208,95123
296,2020-11-30,1476959.5672921122,1580890.3892148768,1683371.861144866,95123
297,2020-12-31,1491402.283190169,1598581.421248687,1704485.6889098163,95123
298,2021-01-31,1507201.8803027917,1617738.3322788621,1728497.0687586064,95123
