,RegionName,City,State,Metro,CountyName,time,value,ds,yhat_lower,yhat,yhat_upper,Zip_code,log_value,log_yhat
0,95123,San Jose,CA,San Jose,Santa Clara,1996-04-01,224500.0,1996-04-01,220387.1814862869,223843.67627715078,227169.73087637874,95123,12.321630986164447,12.31870321344721
1,95051,Santa Clara,CA,San Jose,Santa Clara,1996-04-01,258700.0,1996-04-01,251067.31665221124,257659.17040515906,263882.911728676,95051,12.46342436817412,12.459392945613402
2,95035,Milpitas,CA,San Jose,Santa Clara,1996-04-01,231100.0,1996-04-01,223618.01475350183,229830.4121181148,236546.04080480503,95035,12.350605796262473,12.345096977320626
3,95014,Cupertino,CA,San Jose,Santa Clara,1996-04-01,432400.0,1996-04-01,423000.07354424574,430949.72102559893,438742.8896439334,95014,12.97710636474719,12.973746705727844
4,95112,San Jose,CA,San Jose,Santa Clara,1996-04-01,186800.0,1996-04-01,182425.8557907895,185963.59199368206,189530.8899150706,95112,12.13779380477688,12.133306191565927
5,94087,Sunnyvale,CA,San Jose,Santa Clara,1996-04-01,361300.0,1996-04-01,351456.2066254396,359681.07754359744,367846.69589884486,94087,12.797463917135731,12.792973022082549
6,95125,San Jose,CA,San Jose,Santa Clara,1996-04-01,286000.0,1996-04-01,280548.70743747824,285093.0631912002,289774.8038430005,95125,12.56374708980199,12.560570943462
7,94086,Sunnyvale,CA,San Jose,Santa Clara,1996-04-01,310400.0,1996-04-01,304302.680000022,310050.83075134177,315801.16647374706,94086,12.645617067291202,12.64449153318531
8,95008,Campbell,CA,San Jose,Santa Clara,1996-04-01,262100.0,1996-04-01,255828.72822789935,261337.3207748452,266269.90505558345,95008,12.476481389311498,12.473567268615042
9,95020,Gilroy,CA,San Jose,Santa Clara,1996-04-01,238000.0,1996-04-01,233594.47209669722,237108.31873750576,240714.0328940685,95020,12.380025952653611,12.376272356792326
10,95124,San Jose,CA,San Jose,Santa Clara,1996-04-01,249700.0,1996-04-01,243703.2292862836,248946.77819313778,254056.25422618483,95124,12.428015476267865,12.424994410404492
11,95037,Morgan Hill,CA,San Jose,Santa Clara,1996-04-01,314800.0,1996-04-01,310952.0323445163,314313.942031327,317542.50139029126,95037,12.659692795525386,12.658147580794278
12,95136,San Jose,CA,San Jose,Santa Clara,1996-04-01,242500.0,1996-04-01,237496.71352484645,241895.14240529388,246016.62541082627,95136,12.398756989359676,12.396259615393161
13,95127,San Jose,CA,San Jose,Santa Clara,1996-04-01,187400.0,1996-04-01,184000.44370161253,186797.09081660007,189830.68390134006,95127,12.14100064878646,12.137778230868669
14,95111,San Jose,CA,San Jose,Santa Clara,1996-04-01,188200.0,1996-04-01,184083.23891980664,187336.87839732607,190209.9899607532,95111,12.145260506133416,12.140663763857807
15,95023,Hollister,CA,San Jose,San Benito,1996-04-01,203700.0,1996-04-01,201167.53621038474,203814.04831015595,206203.72345385863,95023,12.224403602214897,12.224963329240783
16,94040,Mountain View,CA,San Jose,Santa Clara,1996-04-01,413200.0,1996-04-01,402568.07860225474,412085.84595585463,421250.8369745446,94040,12.93168701622762,12.928986970597427
17,95050,Santa Clara,CA,San Jose,Santa Clara,1996-04-01,236900.0,1996-04-01,230313.329480081,235395.86705348454,240702.22405130212,95050,12.375393390146877,12.3690239165322
18,95126,San Jose,CA,San Jose,Santa Clara,1996-04-01,245400.0,1996-04-01,238781.75834635747,244499.9586029807,250222.8714216303,95126,12.410644811258948,12.406970418584088
19,94303,Palo Alto,CA,San Jose,Santa Clara,1996-04-01,374300.0,1996-04-01,351779.78129695565,370314.6121463831,389805.2663596285,94303,12.83281289389252,12.822108226415857
20,95129,San Jose,CA,San Jose,Santa Clara,1996-04-01,325800.0,1996-04-01,313894.36459675047,323874.59738619433,334419.7203476517,95129,12.694038975150082,12.68811167474884
21,95128,San Jose,CA,San Jose,Santa Clara,1996-04-01,233700.0,1996-04-01,228201.48858685244,232770.61921539126,237715.9003369022,95128,12.36179352052695,12.357808780755304
22,95134,San Jose,CA,San Jose,Santa Clara,1996-04-01,254500.0,1996-04-01,237023.34429325195,250528.8358896691,263590.0833397631,95134,12.447056114972714,12.431329306214037
23,94043,Mountain View,CA,San Jose,Santa Clara,1996-04-01,291700.0,1996-04-01,283692.78940757224,290062.3559383076,296587.25579993916,94043,12.583481155855813,12.57785119932599
24,95116,San Jose,CA,San Jose,Santa Clara,1996-04-01,170600.0,1996-04-01,166639.2101802313,169383.28946414762,172212.58988123742,95116,12.047076914039716,12.039919410904249
25,95120,San Jose,CA,San Jose,Santa Clara,1996-04-01,365400.0,1996-04-01,358195.17450656,364552.59578717983,370496.4608848672,95120,12.808747922926043,12.806426115733652
26,95122,San Jose,CA,San Jose,Santa Clara,1996-04-01,170800.0,1996-04-01,167357.7951461209,170036.72792307695,172926.03256927425,95122,12.048248560336607,12.043769739304027
27,95070,Saratoga,CA,San Jose,Santa Clara,1996-04-01,633800.0,1996-04-01,621672.886433896,632942.4899340367,644128.6528438387,95070,13.359488726238958,13.358134843814137
28,94306,Palo Alto,CA,San Jose,Santa Clara,1996-04-01,440600.0,1996-04-01,424860.31355729693,438048.92288245796,451704.3048236524,94306,12.99589271335038,12.990085879199711
29,95132,San Jose,CA,San Jose,Santa Clara,1996-04-01,233400.0,1996-04-01,229234.4403855274,233060.40002392253,237110.18491813482,95132,12.360508998834593,12.35905292652466
30,95148,San Jose,CA,San Jose,Santa Clara,1996-04-01,237500.0,1996-04-01,232983.56773797324,236643.63264256826,240499.31474619612,95148,12.377922902456833,12.374310628750434
