,ds,yhat_lower,yhat,yhat_upper,Zip_code
261,2018-01-01,983111.1825241959,986510.973412246,990096.7883355836,95123
262,2018-02-01,1002533.29472528,1005905.4393876325,1009299.3408185847,95123
263,2018-03-01,1020614.0051194238,1023872.7694814214,1027281.4218306539,95123
264,2018-04-01,1039238.4840784642,1042926.8910838251,1046475.6916779772,95123
265,2018-04-30,1057848.9432109264,1061844.2582196037,1065740.7903631413,95123
266,2018-05-31,1074010.4443679336,1080988.956851893,1086531.2236656488,95123
267,2018-06-30,1086234.1709218863,1098234.6050793955,1108882.468652312,95123
268,2018-07-31,1097668.1414738297,1115776.0502184592,1131707.0510391493,95123
269,2018-08-31,1110600.0568528273,1136962.6415298618,1157827.2495035725,95123
270,2018-09-30,1123331.8802856,1157783.0976653327,1186932.3712103325,95123
271,2018-10-31,1134418.3764300018,1176049.763626951,1214369.2988934102,95123
272,2018-11-30,1142840.123718189,1193008.6088727897,1239483.6665000797,95123
273,2018-12-31,1153212.11728208,1212192.712891071,1269766.7141891099,95123
274,2019-01-31,1165290.7923235071,1235066.417704294,1301225.2968890402,95123
275,2019-02-28,1175637.8532144502,1252140.8864088098,1327988.302142538,95123
276,2019-03-31,1183683.3478143816,1270892.1460912118,1356167.9035514442,95123
277,2019-04-30,1192924.3341671422,1290585.5051923417,1388075.88550721,95123
278,2019-05-31,1195077.3994741072,1309689.6090724852,1419762.0594443746,95123
279,2019-06-30,1199018.487465332,1326705.2191051014,1449306.7420173867,95123
280,2019-07-31,1206077.3980845574,1343984.5568939522,1479359.9060877874,95123
281,2019-08-31,1212649.3428825575,1365680.72902815,1511871.276301954,95123
282,2019-09-30,1220047.8855548515,1386868.0845922627,1552239.5865614433,95123
283,2019-10-31,1221604.463915384,1404864.926816226,1578205.508701173,95123
284,2019-11-30,1229097.622742781,1421323.6187623614,1610915.8218326666,95123
285,2019-12-31,1232219.169348406,1440374.1734343665,1647259.4030565487,95123
286,2020-01-31,1240563.3177242663,1463947.8878004393,1676183.7962326147,95123
287,2020-02-29,1240573.2647827677,1481232.4600204586,1704508.1430100254,95123
288,2020-03-31,1242917.812889693,1500160.644253034,1740977.087003732,95123
289,2020-04-30,1252963.7492695535,1519480.3055220642,1777572.4895133958,95123
290,2020-05-31,1249976.558726163,1538691.9005914526,1808986.9580662146,95123
291,2020-06-30,1258048.9595218578,1556398.4849535285,1845096.2774775513,95123
292,2020-07-31,1258820.5429469938,1574502.0934557617,1884186.2528415653,95123
293,2020-08-31,1259363.2262208094,1594691.8783904118,1923134.0965491505,95123
294,2020-09-30,1250777.2777221939,1614737.4167477922,1961957.357696127,95123
295,2020-10-31,1248859.0133558062,1633504.4508089602,1996899.9744560248,95123
296,2020-11-30,1249338.963831679,1651473.2475565493,2032103.5487596588,95123
297,2020-12-31,1250229.5787704692,1670974.9458422547,2068766.4124078648,95123
298,2021-01-31,1250645.1050394578,1692450.6743464025,2110824.3065948663,95123
299,2021-02-28,1250963.2532688195,1709910.8217614552,2142336.6579607786,95123
300,2021-03-31,1253008.6953969055,1728778.3622992632,2170792.089586804,95123
562,2018-01-01,1464864.4190386946,1471913.6149441297,1478387.4077610704,95051
563,2018-02-01,1502916.1813484738,1509699.1008400612,1516790.163352087,95051
564,2018-03-01,1538218.8055801897,1544820.835898316,1551561.2465838448,95051
565,2018-04-01,1574801.9267369972,1581723.9298667107,1588384.258282808,95051
566,2018-04-30,1609853.7157292466,1616851.413572631,1624552.536940243,95051
567,2018-05-31,1644643.64013737,1653697.0489489143,1663173.7922396369,95051
568,2018-06-30,1675228.6254018124,1689356.5763230796,1705016.1222390297,95051
569,2018-07-31,1704280.7493660892,1726700.9865239952,1750990.6307092765,95051
570,2018-08-31,1734629.608759925,1767010.406761336,1804290.7134268188,95051
571,2018-09-30,1764525.635282251,1806487.1084041025,1850629.6100613745,95051
572,2018-10-31,1793202.3983014687,1843215.210729615,1897820.3711191802,95051
573,2018-11-30,1815484.929356578,1877382.00504498,1940840.8916628785,95051
574,2018-12-31,1840421.0848785406,1912398.8128365348,1992105.5977549448,95051
575,2019-01-31,1865623.951801439,1954196.3896771555,2044113.3783033718,95051
576,2019-02-28,1895110.7428736547,1994660.279211589,2098377.474016054,95051
577,2019-03-31,1916155.9446479378,2027915.4336011158,2143330.947174124,95051
578,2019-04-30,1941208.4555257398,2063368.383072188,2189313.5714438474,95051
