,ds,yhat_lower,yhat,yhat_upper,Zip_code
261,2018-01-01,117977.2411000118,128589.3095492081,139101.2412252671,71238
262,2018-02-01,118081.6165650122,128044.74114455176,138509.18070993153,71238
263,2018-03-01,119113.83691697642,128478.1360448664,138041.01179601176,71238
264,2018-04-01,118123.40115475007,128823.82479413172,139120.3983005539,71238
265,2018-04-30,116159.54809354333,125979.29121720856,136018.24614069963,71238
266,2018-05-31,109656.32963251763,120114.7216559535,130404.39206916906,71238
267,2018-06-30,108928.82464306056,119364.13235933421,129833.52134500966,71238
268,2018-07-31,112128.0416842374,122057.09146995614,131646.51966853064,71238
269,2018-08-31,115923.98931230395,126382.38579286434,136557.05918526984,71238
270,2018-09-30,117294.85769793366,127168.45527976146,137473.05366501698,71238
271,2018-10-31,115129.22535179698,125565.4224695064,136120.0268311327,71238
272,2018-11-30,112948.92461362651,123004.2236390967,133597.53494025752,71238
273,2018-12-31,105248.35571614988,115007.37295782179,125974.72873728765,71238
274,2019-01-31,94860.32492675164,104654.20646212985,114449.93690067474,71238
275,2019-02-28,122909.64777861895,132676.85731606855,142234.4626077799,71238
276,2019-03-31,120709.08890084556,131864.57976488138,142554.08853975357,71238
277,2019-04-30,107628.01978770879,118409.36520836089,130243.65070861156,71238
278,2019-05-31,101015.03331456773,111405.0967694633,122655.76334863175,71238
279,2019-06-30,99581.35914952954,110758.34514995817,122284.99947408833,71238
280,2019-07-31,103078.78739448739,114214.02369838468,125601.94127345277,71238
281,2019-08-31,108281.4510981402,119630.96622958867,131808.09345810683,71238
282,2019-09-30,109711.17263822371,120770.91332481944,132297.13080141638,71238
283,2019-10-31,107793.38609774425,118925.65317803051,130280.85046276875,71238
284,2019-11-30,104175.03798707077,115782.75698693896,127640.79695107002,71238
285,2019-12-31,94202.87141722854,106205.46195102156,118954.38157061844,71238
286,2020-01-31,81198.5791269233,94181.85188851402,106950.92439697345,71238
287,2020-02-29,105392.90073310593,118055.65500283313,129853.9677934352,71238
288,2020-03-31,104639.09612305899,118215.94302483145,130587.86061601932,71238
289,2020-04-30,97377.70764069833,111170.2819230092,124966.12565389303,71238
290,2020-05-31,93363.76305051196,107678.89201693192,122706.82931354195,71238
291,2020-06-30,93303.51413647374,106868.56300469096,121360.80050368852,71238
292,2020-07-31,94027.18728776554,108112.9593722114,122453.0114963338,71238
293,2020-08-31,95459.40063710808,110232.99792150849,125892.31541915487,71238
294,2020-09-30,93699.02133625548,110210.90449298666,125837.45596492488,71238
295,2020-10-31,93510.27928545522,109008.27913090432,126829.85357640666,71238
296,2020-11-30,91070.57097532641,107532.90710391465,123088.85214843933,71238
297,2020-12-31,85004.0745275623,102725.42432820798,119328.5719791724,71238
298,2021-01-31,79497.0767575575,96008.19260522562,113392.26642946337,71238
299,2021-02-28,93829.60578212529,112946.47683510752,131390.8744454027,71238
300,2021-03-31,95135.93256827249,112875.39759413681,132326.59307685195,71238
