,ds,yhat_lower,yhat,yhat_upper,Zip_code
261,2018-01-01,237709.68015653107,240639.20530706062,243995.55285065025,78660
262,2018-02-01,239142.8773787356,242023.53984543905,245583.14595229016,78660
263,2018-03-01,240116.98740674765,243350.15798432258,246507.23629487518,78660
264,2018-04-01,241600.35941299621,244662.47272781207,247725.79144129425,78660
265,2018-04-30,243128.59408509667,245981.23860331884,249227.68041483735,78660
266,2018-05-31,244133.03595573083,247285.22915975246,250484.95876795662,78660
267,2018-06-30,245614.6131785577,248845.07951398654,252280.14955244894,78660
268,2018-07-31,247119.46750937487,250403.24262197452,253608.04728254606,78660
269,2018-08-31,248936.79778401298,252093.13614436652,255279.26166756515,78660
270,2018-09-30,250127.45595279537,253170.95465845105,256551.1208978449,78660
271,2018-10-31,250615.27443984238,254262.21633734117,257893.54028618897,78660
272,2018-11-30,252289.12730005235,255638.002148469,259303.620487162,78660
273,2018-12-31,253412.934003367,257068.4964900404,261313.2981366313,78660
274,2019-01-31,254598.6183242047,258397.33061228946,262830.8910630864,78660
275,2019-02-28,256571.94148642782,260297.04324312235,264930.4776091648,78660
276,2019-03-31,257097.4117512869,261094.05045183352,266434.8169941507,78660
277,2019-04-30,257951.06223419323,262465.1803315997,267744.72730582644,78660
278,2019-05-31,258809.4050443285,263745.03529859026,269325.6110550644,78660
279,2019-06-30,260417.71764132348,265351.66874899267,271410.6012778003,78660
280,2019-07-31,261849.7764299335,266943.8902469582,273888.1439170521,78660
281,2019-08-31,263355.3438318061,268689.64459114225,275743.8107759122,78660
282,2019-09-30,263548.605602785,269694.87224142987,277340.67104495864,78660
283,2019-10-31,264260.4638522698,270722.86009222316,278525.8661520127,78660
284,2019-11-30,264858.61974174035,272122.3758663087,281167.3576070242,78660
285,2019-12-31,265548.63102865394,273579.5770151717,282357.38705682865,78660
286,2020-01-31,266895.56662065,274899.5240616627,284090.0155827916,78660
287,2020-02-29,267968.5940125587,276574.62245133554,286451.936305742,78660
288,2020-03-31,268413.2786395279,277685.5823030112,288021.35654181114,78660
289,2020-04-30,269470.062355043,279120.57286761503,289845.99755132815,78660
290,2020-05-31,269717.173381375,280477.54897460097,292662.3799750626,78660
291,2020-06-30,271007.8362080728,281947.8351698776,294340.72616992786,78660
292,2020-07-31,271930.8994546078,283437.6520934343,297031.32103569416,78660
293,2020-08-31,272489.8279416516,285009.56206646946,298900.78817919025,78660
294,2020-09-30,273782.15040913766,286226.73442253494,300474.79844342504,78660
295,2020-10-31,274386.71447212656,287448.12569790246,303104.46627662925,78660
296,2020-11-30,273665.29170153884,288781.9477262524,304315.1425206936,78660
297,2020-12-31,275873.56514459435,290160.07359087066,307013.0384742787,78660
298,2021-01-31,276383.643804218,291508.81448301795,309367.4778858369,78660
299,2021-02-28,277689.11767051654,293186.22382677457,311576.3392892814,78660
300,2021-03-31,277925.9023628232,294194.01806565834,312609.97496733966,78660
562,2018-01-01,293240.3189129065,300088.15726755,306832.73256642785,78613
563,2018-02-01,294848.4373022575,301657.1846113322,308243.8081515808,78613
564,2018-03-01,297078.2123823004,303269.9752860013,309995.57583157095,78613
565,2018-04-01,298452.315259069,304696.31162293325,311323.93696911645,78613
566,2018-04-30,299010.1787591561,306002.95206468616,312528.19093484356,78613
567,2018-05-31,301351.8800675827,307546.03062096104,313799.4585987895,78613
568,2018-06-30,302681.2437971099,309431.3470837352,315037.5591736882,78613
569,2018-07-31,305295.9332354638,311545.72096923017,318357.38920035167,78613
570,2018-08-31,306854.1606932623,313552.1115903976,319763.5502965194,78613
571,2018-09-30,308375.5027009612,315170.288913088,321477.1883102764,78613
572,2018-10-31,309919.80533306266,316413.4695550195,323602.9603572365,78613
573,2018-11-30,310690.7528275213,317595.41617387556,324812.55654663907,78613
574,2018-12-31,311461.9221512154,318419.50755105464,325589.70541183377,78613
575,2019-01-31,311083.75893503736,318615.0205041201,326060.6185422941,78613
576,2019-02-28,318986.2552384098,326166.228156373,333917.8606541598,78613
577,2019-03-31,315901.979316359,323070.6624917777,331533.9611838054,78613
578,2019-04-30,317453.3010310312,325057.2346134155,333562.5547442284,78613
579,2019-05-31,318629.62739153946,326600.6282724553,335239.8442307077,78613
580,2019-06-30,320333.6920633435,328564.1983600111,337459.3435842816,78613
581,2019-07-31,321909.9765016022,330772.97600341256,340802.5714162362,78613
582,2019-08-31,323341.6239423433,332839.8708227929,343026.1370045323,78613
583,2019-09-30,323857.76357584674,334443.53944340267,345151.511378257,78613
584,2019-10-31,325811.64639707486,335606.232813672,346660.1480082593,78613
585,2019-11-30,326037.50357509096,336731.4659251543,349181.6230748796,78613
586,2019-12-31,325368.2550300349,337434.0934769679,350437.32158349146,78613
587,2020-01-31,324462.17473347625,337399.04730838316,351979.1791568271,78613
588,2020-02-29,330512.86318380863,343137.45973600104,357403.89584483404,78613
589,2020-03-31,328557.4421785238,342790.45448267396,358609.6033355315,78613
590,2020-04-30,330151.19374649675,344661.0509676598,360649.232018811,78613
591,2020-05-31,329989.3028113777,346214.9602751511,363585.3360793099,78613
592,2020-06-30,330961.9151287954,347953.00814935786,367077.08324335655,78613
593,2020-07-31,331261.33005027747,349878.2335462984,368509.84580342274,78613
594,2020-08-31,333137.3228138799,351755.7384302747,371296.0506737515,78613
595,2020-09-30,333741.3075024507,353391.3274042846,374465.0793123407,78613
596,2020-10-31,334202.36545752303,354790.78943441133,376042.0554217327,78613
597,2020-11-30,334195.2907098079,356086.0142069196,378432.91012003453,78613
598,2020-12-31,334547.8578968779,357159.5895009994,379754.46258098446,78613
599,2021-01-31,333525.15738027205,357860.48837576766,381486.3927942368,78613
600,2021-02-28,338091.6419259326,363072.49907917564,387794.6940503306,78613
601,2021-03-31,335689.68399014656,361820.31541795965,387654.37891991984,78613
863,2018-01-01,528211.3042695015,539559.2118937396,551387.9406097011,78704
864,2018-02-01,529811.5398785305,542111.2343436817,554020.6648149542,78704
865,2018-03-01,532804.2796234034,544587.6127120816,556543.4911519884,78704
866,2018-04-01,536130.9204529728,547323.5971832153,557866.7268965985,78704
867,2018-04-30,537988.0183665968,549259.1899665119,561315.4271023729,78704
868,2018-05-31,540710.6662129567,551789.0286493881,563183.5855959185,78704
869,2018-06-30,543367.1730467987,554694.1441548981,566000.0580687004,78704
870,2018-07-31,547170.819268913,557794.392261878,569295.6104043537,78704
871,2018-08-31,547926.6683938577,560810.5037415823,572392.8810224592,78704
872,2018-09-30,549969.540276601,562822.9524169448,575883.0268436794,78704
873,2018-10-31,550444.4249328395,564464.2655130094,578641.4367694475,78704
874,2018-11-30,552614.6464258814,567230.7518204272,582441.0111256273,78704
875,2018-12-31,553502.16240032,570149.67512075,584250.1848368134,78704
876,2019-01-31,554401.9507831321,572494.0391941587,587884.4008089791,78704
877,2019-02-28,558374.4266123914,576515.3734454035,593945.502980006,78704
878,2019-03-31,558574.8717643039,577746.8127471824,598314.305772837,78704
879,2019-04-30,556721.420656251,579890.9634500893,603100.2785480997,78704
880,2019-05-31,559876.8708745019,582390.9280291563,605627.5069957441,78704
881,2019-06-30,555987.1003621785,585386.740470691,610492.3928006527,78704
882,2019-07-31,557153.9777910748,588605.7069400845,615667.5022003879,78704
883,2019-08-31,557541.3576307456,591711.3398552091,622101.3473936591,78704
