,ds,yhat_lower,yhat,yhat_upper,Zip_code
261,2018-01-01,237365.65706378,240580.25470250356,244134.50692640105,78660
262,2018-02-01,238740.75388601897,241950.97476057464,245297.47013157498,78660
263,2018-03-01,240055.0101642918,243329.61116447518,246510.38401440758,78660
264,2018-04-01,241556.72542367055,244565.07655366586,247571.66257831102,78660
265,2018-04-30,242595.4555790315,245997.51698111507,249237.43581690037,78660
266,2018-05-31,244029.29743668184,247172.0328639876,250621.90450609633,78660
267,2018-06-30,245707.39722276616,248923.10284012495,252064.67669529247,78660
268,2018-07-31,247264.14471806496,250542.52916698653,253870.71880970307,78660
269,2018-08-31,249076.6103200771,252349.22487016523,255465.7573821467,78660
270,2018-09-30,250076.3362938379,253332.31369928338,256490.16510491012,78660
271,2018-10-31,250598.3409816526,254173.06541672186,257683.6498642159,78660
272,2018-11-30,252246.66557192616,255633.34278104574,259161.81557828945,78660
273,2018-12-31,253197.21074093756,256937.41475404406,260695.52250328008,78660
274,2019-01-31,253991.40264882403,258113.19974448183,261844.38451635002,78660
275,2019-02-28,256241.8112454462,260780.90465515747,264988.2840942956,78660
276,2019-03-31,255930.1059240308,260872.32440271386,265319.2359095583,78660
277,2019-04-30,257396.75008769316,262472.26034669677,267767.4962766663,78660
278,2019-05-31,257864.68505594824,263571.73681624443,268432.07154554577,78660
279,2019-06-30,259748.2542717735,265442.34104029485,271101.8940864499,78660
280,2019-07-31,260863.33434257813,267127.92533750023,273811.67540469754,78660
281,2019-08-31,262428.84865390323,269047.0233848376,275852.80736103206,78660
282,2019-09-30,262964.8565959142,269900.2823604518,277350.214309536,78660
283,2019-10-31,263414.14271047374,270584.30212293676,277738.90646564437,78660
284,2019-11-30,263877.1758071802,272111.45768180146,279509.43459633674,78660
285,2019-12-31,264089.4418779115,273426.6132371737,281684.6633819817,78660
286,2020-01-31,264957.3215292014,274554.0798973499,283756.57759354915,78660
287,2020-02-29,267494.4920143708,276791.74582660035,285740.86560109654,78660
288,2020-03-31,267385.30015981954,277532.02382411517,287259.5452310762,78660
289,2020-04-30,268381.6554481268,279170.3938857185,290567.1746217268,78660
290,2020-05-31,268386.2977701428,280449.7950442718,291732.9156371513,78660
291,2020-06-30,269431.3191944651,282062.365481145,293169.0815338772,78660
292,2020-07-31,270534.00457092084,283599.03783325636,295704.42353786743,78660
293,2020-08-31,271589.5413097331,285265.49072188087,297965.57249275694,78660
294,2020-09-30,271558.6217129793,286411.5289833718,299600.71456341253,78660
295,2020-10-31,273054.3488702725,287440.0419216078,301295.0293664578,78660
296,2020-11-30,273213.35929461505,288794.65386828256,303824.0879441524,78660
297,2020-12-31,273293.0396255009,290050.3198051786,304925.3050246589,78660
298,2021-01-31,273469.44004657323,291276.36878885806,307942.8215756793,78660
299,2021-02-28,275755.09237414476,293559.1314580263,310387.6074416015,78660
300,2021-03-31,274381.7937814855,294004.22217279393,311419.2503678672,78660
562,2018-01-01,294019.56940138194,299966.3957635706,306660.0615049367,78613
563,2018-02-01,294702.04102046083,301490.58209470037,307738.88129169063,78613
564,2018-03-01,297001.3032780061,303147.32449141116,309733.16288440244,78613
565,2018-04-01,297714.46543814463,304334.4236254801,310801.70189550484,78613
566,2018-04-30,300006.660872446,306125.9420785931,312569.08123296226,78613
567,2018-05-31,300839.3987688989,307137.00958573364,313294.0746172208,78613
568,2018-06-30,303266.7748855854,309309.83318215376,315717.58615985105,78613
569,2018-07-31,305008.0029018729,311516.6504696895,317685.14947205834,78613
570,2018-08-31,307414.3091426552,313689.7029903991,320416.5762057343,78613
571,2018-09-30,308799.6117527545,315660.13984239136,322436.4122371265,78613
572,2018-10-31,310186.14900815766,316552.35080063407,323463.6793662354,78613
573,2018-11-30,311157.24016083,317750.1445426901,325103.62224270095,78613
574,2018-12-31,310443.8722929506,317822.8255034903,324930.5051254131,78613
575,2019-01-31,309795.67965835845,316846.44978798163,323736.58523579966,78613
576,2019-02-28,320197.8572495992,328053.2851553524,335841.59293985076,78613
577,2019-03-31,313774.27716834587,322277.1765764266,330239.76847567025,78613
578,2019-04-30,316746.47947312065,325133.70984712924,333137.75374455086,78613
579,2019-05-31,316571.0318428582,325990.7071391207,334723.08913987316,78613
580,2019-06-30,319538.3329335008,328359.50808733446,337687.1598120656,78613
581,2019-07-31,320874.7676542513,330719.3687537939,339997.74149373575,78613
582,2019-08-31,321109.3101759025,333019.80198561854,343275.9508290582,78613
583,2019-09-30,323329.1700788873,335064.9054747262,346101.19702401874,78613
584,2019-10-31,323215.62697779917,335750.3281200583,347738.2034056601,78613
585,2019-11-30,323935.38498915144,336888.2514963505,349611.2824948568,78613
586,2019-12-31,322161.2631952866,336604.0582367489,349316.78525871766,78613
587,2020-01-31,321038.8046594841,335022.0933426639,350304.96093818254,78613
588,2020-02-29,327041.8362453292,343881.7784104377,358720.63656149677,78613
589,2020-03-31,325630.025678813,342132.73740105843,357149.6600864237,78613
590,2020-04-30,327378.8145966685,344665.70167147694,361822.3112406928,78613
591,2020-05-31,326638.0681004227,345863.48445014004,363633.8394802673,78613
592,2020-06-30,327756.2119279989,347793.36177683156,366859.0254953815,78613
593,2020-07-31,329733.21658306796,349824.3513967429,369264.90341264085,78613
594,2020-08-31,330761.4999217748,351856.8484604345,372613.7884810612,78613
595,2020-09-30,331385.86500379286,353747.38225325797,375147.4706694547,78613
596,2020-10-31,331873.90428585204,354882.84077668784,377890.53019442514,78613
597,2020-11-30,331582.8645790624,356108.6415276639,379251.3130397971,78613
598,2020-12-31,331681.53929072316,356559.01978498296,379990.9444909198,78613
599,2021-01-31,330601.7736805064,356307.5224430104,380712.07964082423,78613
600,2021-02-28,337113.66391574,364460.72686638584,389439.4467949731,78613
601,2021-03-31,332561.39340390294,360969.461477209,387417.5840978862,78613
863,2018-01-01,528390.9141853352,539193.1547300096,550337.7024735699,78704
864,2018-02-01,531337.2891288119,541927.4128064468,552782.9675619892,78704
865,2018-03-01,533658.441620734,544470.7890700831,556284.1611916849,78704
866,2018-04-01,535720.0557736957,547166.2189260131,557985.4381551187,78704
867,2018-04-30,537929.5975284358,549372.243728402,560423.7463878241,78704
868,2018-05-31,539169.6965598775,550680.6943195434,561021.4561700618,78704
