,ds,yhat_lower,yhat,yhat_upper,Zip_code
261,2018-01-01,186731.40404237935,189894.34513437856,193064.7005138428,28269
262,2018-02-01,187900.94645898123,190970.56602873106,194117.88045304333,28269
263,2018-03-01,188920.86134909742,191905.73242244037,194990.61701376052,28269
264,2018-04-01,189763.45262334438,192951.13752142357,195844.54958096216,28269
265,2018-04-30,190257.59797999426,193303.13773871944,196296.23148106903,28269
266,2018-05-31,191417.45883478405,194271.72886253713,197301.18536955156,28269
267,2018-06-30,192388.524765069,195419.8242284545,198505.75360018504,28269
268,2018-07-31,193542.1395643429,196760.5109869627,199761.51082721498,28269
269,2018-08-31,194875.8445372992,197978.58423562997,201097.8253526503,28269
270,2018-09-30,195766.07598465338,199015.21851972895,202330.6662648011,28269
271,2018-10-31,196719.9288978384,199969.21459995952,203022.31573932982,28269
272,2018-11-30,197671.1871331893,200902.70505210682,204378.91168176147,28269
273,2018-12-31,198205.5378807583,201594.03791962593,205075.65808990897,28269
274,2019-01-31,197863.53151894143,201881.31396973444,205512.6125331391,28269
275,2019-02-28,200771.57846289364,204732.81416433043,208239.30837071588,28269
276,2019-03-31,201277.5763040124,205563.07518572427,209706.59311674532,28269
277,2019-04-30,200629.7276620129,205214.28505173165,209119.7512670937,28269
278,2019-05-31,201147.03170881423,206173.39448156522,210876.12849346965,28269
279,2019-06-30,201789.48323638472,207353.56834200057,211910.26241078446,28269
280,2019-07-31,202570.32645104534,208750.93923468277,214416.13336786538,28269
281,2019-08-31,203983.2227030597,209998.81501760377,215809.355911602,28269
282,2019-09-30,204159.96877072222,211038.3193409038,217352.1661487724,28269
283,2019-10-31,204560.6145807443,211974.74542317432,218615.53163888436,28269
284,2019-11-30,205688.1294889557,212891.76483339266,219549.40630043042,28269
285,2019-12-31,205107.0498590888,213517.29579676138,219966.62327552267,28269
286,2020-01-31,204887.6938626702,213664.3793287318,221897.13369915384,28269
287,2020-02-29,207001.6386006774,216206.92415531832,224416.26127642006,28269
288,2020-03-31,207065.5754982839,217186.52865580955,226333.26109169913,28269
289,2020-04-30,206563.54355977455,217423.60272456327,227174.35530504005,28269
290,2020-05-31,206535.18887214715,218420.41516777375,228141.32914362964,28269
291,2020-06-30,206602.7221044328,219511.4179523854,229648.7389355722,28269
292,2020-07-31,208392.2188072828,220739.83629969053,231255.3028055792,28269
293,2020-08-31,208631.20801842323,221895.29138379882,233196.2252230901,28269
294,2020-09-30,209155.61576976816,222921.6261055126,234561.35442313994,28269
295,2020-10-31,209814.29176317735,223907.96607513455,236051.54182145663,28269
296,2020-11-30,210197.9543162196,224871.41145486454,237480.98031089976,28269
297,2020-12-31,210053.07371924346,225694.18622615634,238645.62472461778,28269
298,2021-01-31,210684.36075502052,226279.74227110698,240098.68542084072,28269
299,2021-02-28,211093.16192347647,228363.30487865495,243336.04493551175,28269
300,2021-03-31,211730.09591805356,229299.85056960824,243753.11746909106,28269
562,2018-01-01,351842.0287369612,355546.3085992781,359178.2375258655,28277
563,2018-02-01,353582.4595070061,357242.79287534935,360811.86107001075,28277
564,2018-03-01,354893.89907697047,358628.55957637273,362761.98555912636,28277
565,2018-04-01,356360.4401215336,360124.671226813,363881.5205381689,28277
566,2018-04-30,357414.0969180461,361198.78380171943,364794.2097356202,28277
567,2018-05-31,358364.1667027154,362283.0879999061,366202.01867130725,28277
568,2018-06-30,359188.89211436664,363817.122867667,367468.6669581847,28277
569,2018-07-31,361815.4360781893,365976.76940527715,369974.1885638052,28277
570,2018-08-31,363918.50949665415,367983.01005583425,372279.8157015677,28277
571,2018-09-30,365001.71126490127,370035.579191279,374826.3029565179,28277
572,2018-10-31,365408.8646177356,371597.17464018846,376416.425471067,28277
573,2018-11-30,365708.83785093285,372514.00720872777,378368.20125950413,28277
574,2018-12-31,364811.13351670734,373235.2247089872,380633.75088678725,28277
575,2019-01-31,363579.2002908887,373590.98675507016,382398.3852298507,28277
576,2019-02-28,368309.4414431156,378928.36758830777,388277.9023955091,28277
577,2019-03-31,368452.4772093241,380127.905062576,390923.91223769035,28277
578,2019-04-30,365258.6396674073,379762.1289604032,391816.06300890964,28277
579,2019-05-31,365135.0990225738,380733.6378715306,393531.42157287634,28277
580,2019-06-30,364643.0554972875,382283.06602959655,396646.91702090646,28277
581,2019-07-31,365679.97951916826,384551.95158438524,400849.57956591155,28277
582,2019-08-31,365010.4777845048,386650.4478757758,404769.67295622756,28277
583,2019-09-30,368013.8803903484,388804.0639851082,407835.8373428255,28277
584,2019-10-31,365470.1489129333,390359.2104304259,409598.45980559895,28277
585,2019-11-30,365497.378303217,391124.3305531109,412716.95325138274,28277
586,2019-12-31,363655.9193772187,391658.1264211653,414401.5286212384,28277
587,2020-01-31,361130.9310282102,391786.02897043515,417069.4039455525,28277
588,2020-02-29,364937.7382136131,396526.4017677887,421460.39941497106,28277
589,2020-03-31,363828.55415130086,397943.82933172706,425416.88431743253,28277
