,ds,yhat_lower,yhat,yhat_upper,Zip_code
261,2018-01-01,186727.67420929208,189838.42952583794,192734.45855027437,28269
262,2018-02-01,188015.35536998574,190950.53280029664,193888.08440772333,28269
263,2018-03-01,188594.26457738312,191923.18525188815,195002.27831709193,28269
264,2018-04-01,189914.11541608162,192942.40924619095,196097.0031517397,28269
265,2018-04-30,189678.12371488477,192784.0386625344,195636.40831211506,28269
266,2018-05-31,190655.51846683657,193693.53761523622,196621.6498284682,28269
267,2018-06-30,191935.41736099691,195040.3980221524,197870.22569438655,28269
268,2018-07-31,193498.8654347064,196542.4702451824,199618.16611914313,28269
269,2018-08-31,194739.2282351896,197873.46464103326,200818.0161447134,28269
270,2018-09-30,195532.1720109185,199038.19635581746,202034.19989859764,28269
271,2018-10-31,196670.9835916057,199885.9297919232,203005.1708114752,28269
272,2018-11-30,197241.09637296127,200760.7485751404,204228.8557599382,28269
273,2018-12-31,197456.02450958066,201118.06543449295,204674.17124498624,28269
274,2019-01-31,197072.82922692632,200919.76753610285,204833.6221405007,28269
275,2019-02-28,201208.6294094946,205639.32811590706,209729.21079122165,28269
276,2019-03-31,201064.64363633186,205934.963753175,210137.80387440126,28269
277,2019-04-30,199546.74955098098,204484.97175797855,209356.02648211317,28269
278,2019-05-31,200206.20872960277,205373.85217993142,209970.93685240223,28269
279,2019-06-30,201001.03063366326,206824.4430223131,212167.04975015073,28269
280,2019-07-31,202213.53220698805,208447.35054367254,213749.06100502823,28269
281,2019-08-31,203018.80723808386,209850.71494635098,215508.7313976611,28269
282,2019-09-30,203223.24198510285,211053.73942653384,217701.8429828455,28269
283,2019-10-31,203889.69349833392,211842.60333446955,218795.62620775469,28269
284,2019-11-30,203790.81562811253,212671.4054084555,220395.9525764217,28269
285,2019-12-31,203889.0979415361,212843.96107681637,221210.072759613,28269
286,2020-01-31,203011.13273001486,212332.1829814421,220622.89117296893,28269
287,2020-02-29,205372.54739466164,216498.110146964,225214.9423139121,28269
288,2020-03-31,206242.68459233595,217252.20634203742,227350.4712237956,28269
289,2020-04-30,205496.60962164763,216771.1288222786,226750.35445239343,28269
290,2020-05-31,205203.5236113651,217719.19036518648,228549.07734360066,28269
291,2020-06-30,205314.21686583076,218953.39662115782,230490.28466277168,28269
