,ds,yhat_lower,yhat,yhat_upper,Zip_code
261,2018-01-01,312306.3430411044,321403.3950247007,329849.3334077584,75070
262,2018-02-01,314269.3753805312,323056.31620081136,332371.74134368065,75070
263,2018-03-01,315460.15698192077,324763.7585451836,333199.72547453304,75070
264,2018-04-01,317122.0727784916,326726.7889064664,335861.99868202343,75070
265,2018-04-30,319405.6631393461,328682.262041682,338000.6344089193,75070
266,2018-05-31,322339.83876569505,331306.01650901267,340903.07226617716,75070
267,2018-06-30,324100.91317360615,333597.91425981274,342802.0025690779,75070
268,2018-07-31,326154.1830632223,335065.0977097708,343929.17036982364,75070
269,2018-08-31,327743.5814335393,336763.8962557421,346080.0211149497,75070
270,2018-09-30,328754.3858938787,337997.72099156154,346394.99423674494,75070
271,2018-10-31,330335.9977691595,339381.2725191065,348415.0381977917,75070
272,2018-11-30,332449.90399422025,341330.9082582317,350158.4262752864,75070
273,2018-12-31,335811.8212568832,344343.3671500588,353728.9969589965,75070
274,2019-01-31,339820.4546446191,348726.07932437817,358351.4402331398,75070
275,2019-02-28,336772.21012782946,345683.7127786025,355230.01621453505,75070
276,2019-03-31,338521.08063406654,348148.76397946477,357769.8377963786,75070
277,2019-04-30,340881.38275334984,351288.901532381,360903.6919601024,75070
278,2019-05-31,343720.42391943914,354051.9094399977,364324.80716702197,75070
279,2019-06-30,345901.10144338687,356426.3870786121,366405.95725914504,75070
280,2019-07-31,346636.3025916759,357788.0720677592,368303.330215655,75070
281,2019-08-31,348195.980841291,359445.3242895156,371337.97956624883,75070
282,2019-09-30,349246.4785928485,360560.94700677716,372085.84057607484,75070
283,2019-10-31,349740.9131736864,361871.27697725355,374624.7615845485,75070
284,2019-11-30,351445.60840873636,363850.0506273883,375663.9946479641,75070
285,2019-12-31,354227.21059826,367103.2784802131,380022.5993495152,75070
286,2020-01-31,358666.4192491417,371984.1828821097,385690.4648486772,75070
287,2020-02-29,354958.1189763235,369442.55834785005,383692.07276878296,75070
288,2020-03-31,357520.31481266185,371569.3228217585,385480.812961907,75070
289,2020-04-30,358819.42374732526,374185.15482220764,389902.9132973425,75070
290,2020-05-31,360723.2620908748,376526.8096841521,393455.4163596012,75070
291,2020-06-30,361999.60291483655,378637.05431636615,395558.7021358841,75070
292,2020-07-31,363166.29535482905,380304.87135998544,396990.2457067881,75070
293,2020-08-31,364951.5093950851,382083.1509163826,400116.7141548564,75070
294,2020-09-30,365858.3110511321,383556.2800341011,402099.9050827567,75070
295,2020-10-31,365996.8642224514,385098.7544713048,402972.6951820287,75070
296,2020-11-30,365812.4247106171,387011.25272147666,406485.47280008515,75070
297,2020-12-31,369169.87238363666,389551.6633517919,409706.93799831823,75070
298,2021-01-31,373150.471652021,392888.87148852245,413989.3512181453,75070
299,2021-02-28,370355.50631021615,391765.4167030142,414872.4197115743,75070
300,2021-03-31,372219.7291015696,393992.5567172194,417940.02758449526,75070
562,2018-01-01,187582.39840509515,191733.56665655834,196111.09338816116,75052
563,2018-02-01,188489.19805101017,193030.9488428415,197174.5723939378,75052
564,2018-03-01,190098.7155019134,194348.67084078994,198558.83163435475,75052
565,2018-04-01,191399.83872924582,195570.11026503603,199830.70652735766,75052
566,2018-04-30,191855.9223044768,195915.3759743496,200101.7962774793,75052
567,2018-05-31,193166.49135024616,197250.435015837,201613.19263693033,75052
568,2018-06-30,194029.4832175474,198725.09761790826,202907.71235181318,75052
569,2018-07-31,196065.58357170117,200343.85919966866,204803.223270306,75052
570,2018-08-31,198063.88377476766,202007.17946218696,205987.35576080033,75052
571,2018-09-30,199196.60033245865,203235.1463150476,207537.39717133195,75052
572,2018-10-31,199906.83088806644,204258.7884093958,208545.4593615404,75052
573,2018-11-30,200893.17410618716,205164.36958275147,209592.4166656693,75052
574,2018-12-31,201367.750373035,205836.68035872598,210512.35638692588,75052
575,2019-01-31,202143.92200879822,206688.37606629543,210950.9056785298,75052
576,2019-02-28,206465.70190022062,211233.4561514347,215241.64747750486,75052
577,2019-03-31,206258.3471485016,210664.6235391394,215141.12078165947,75052
578,2019-04-30,206729.71976392376,210698.37632073494,214959.08992926907,75052
579,2019-05-31,207621.05408801898,212054.71149170477,216495.12780534927,75052
580,2019-06-30,208963.99097075846,213576.52714156389,217945.0874564735,75052
581,2019-07-31,211346.06699264573,215268.53589602225,219973.4829315448,75052
582,2019-08-31,212487.39019620218,217011.4404357405,221550.99964289437,75052
583,2019-09-30,213175.1089779083,218221.9293036121,222915.45256401104,75052
584,2019-10-31,214159.31965498507,219189.18093982805,224240.8218017064,75052
585,2019-11-30,215172.86778130324,220028.0849552643,225229.43522963324,75052
586,2019-12-31,215358.08894697344,220588.2106876957,225682.8800673418,75052
587,2020-01-31,215708.61918650442,221377.88875336724,226477.24508397732,75052
588,2020-02-29,219611.66259710828,224964.39651303887,230646.48999056168,75052
589,2020-03-31,220142.816137663,225497.19543493312,231443.49620920874,75052
590,2020-04-30,220107.33121181256,226007.46829783494,231900.57133217202,75052
591,2020-05-31,221707.4428228503,227312.0077494732,233187.1509608014,75052
592,2020-06-30,222827.2585548821,228700.616867418,235601.81231156472,75052
593,2020-07-31,223666.25130750626,230174.87006853175,236421.21346102044,75052
594,2020-08-31,225043.455233037,231672.85505531763,237732.25557273065,75052
595,2020-09-30,226537.88873831634,232925.38257989482,239535.76808250998,75052
596,2020-10-31,227342.67411881863,234056.9651289489,241192.43226512973,75052
597,2020-11-30,228694.21685748553,235095.4145692744,242312.55723934618,75052
598,2020-12-31,228701.24035947834,236000.72184173643,243725.9581942805,75052
599,2021-01-31,229754.3417724152,237003.46537265313,245201.47030212934,75052
600,2021-02-28,232818.81398192106,240275.67609503644,248752.82020798104,75052
601,2021-03-31,232571.47238000526,240450.08628390136,249160.27867862408,75052
863,2018-01-01,415685.4387885601,426678.98868299136,437160.5922977515,75034
864,2018-02-01,416799.21313579776,428453.8869102626,440456.54050614365,75034
865,2018-03-01,419151.5961064244,430168.39883443125,441143.80346107844,75034
866,2018-04-01,422088.8557530965,432685.0497549629,444124.83244946745,75034
867,2018-04-30,424872.2760709527,436373.4306573052,447751.71306607756,75034
868,2018-05-31,428379.27599601384,440038.0526226873,451215.6485003017,75034
869,2018-06-30,431180.4161846239,441965.7293966757,453661.47752853314,75034
870,2018-07-31,431160.0016844834,442546.0219210146,454173.84486301575,75034
