,ds,yhat_lower,yhat,yhat_upper,Zip_code
261,2018-01-01,312405.8654567822,321462.42260899104,329842.9389306888,75070
262,2018-02-01,314367.81667008356,323031.0467090927,332360.28237758955,75070
263,2018-03-01,316050.5426168297,324730.0731309505,333633.921395237,75070
264,2018-04-01,316867.4922930475,326590.08622967586,335705.7448013657,75070
265,2018-04-30,319983.4131003006,329253.2328050801,338541.989056786,75070
266,2018-05-31,322406.9340345119,331280.46238665475,340166.34463353246,75070
267,2018-06-30,325803.8704027245,334774.3231007549,343932.4248963109,75070
268,2018-07-31,326168.1974916933,335644.1407509577,345403.53987598675,75070
269,2018-08-31,327999.81700771715,336768.429747318,346625.4208615151,75070
270,2018-09-30,329587.67448003433,338715.24808521476,348875.1344426815,75070
271,2018-10-31,329754.80734810856,338957.88129764865,348602.42169755674,75070
272,2018-11-30,331243.9342178443,341628.49018880125,351425.0803138505,75070
273,2018-12-31,334283.84640908317,344340.5468350223,354602.11178817163,75070
274,2019-01-31,337631.0987322512,349354.1535607416,361314.2565129562,75070
275,2019-02-28,334842.5147376679,346245.85416204593,356976.61705554684,75070
276,2019-03-31,335401.2230886518,346755.8803056602,358812.6195565396,75070
277,2019-04-30,340019.86797765316,352035.458587737,364274.65865610115,75070
278,2019-05-31,340455.5310926052,354075.3125801554,367267.12071611197,75070
279,2019-06-30,343233.71591262636,358050.8963928827,373708.11705887225,75070
280,2019-07-31,341817.9829782996,358568.48587416817,373134.30967006914,75070
281,2019-08-31,342738.218796277,359457.47796081833,375101.2336380654,75070
282,2019-09-30,343605.4544273009,361471.05692019756,378855.1492843219,75070
283,2019-10-31,344742.74023219134,361300.9418958366,379519.1929105772,75070
284,2019-11-30,345105.7280171515,364240.60837363533,384008.0675374137,75070
285,2019-12-31,346865.27261407895,367192.9078709232,386735.7081662723,75070
286,2020-01-31,349845.84454683005,373094.5215344921,394239.3710969011,75070
287,2020-02-29,347013.76836838963,369752.692629442,390347.007419167,75070
288,2020-03-31,347786.38446631003,370977.15073177515,394272.142681131,75070
289,2020-04-30,349645.43719523307,374922.3760562213,399150.84744802536,75070
290,2020-05-31,350413.5069872921,376948.24397835054,402320.4029807848,75070
291,2020-06-30,352601.28853472136,379847.94227850327,405678.4807007599,75070
292,2020-07-31,350144.49606592074,381138.46948606014,409989.579792766,75070
293,2020-08-31,351205.3932067974,382541.7672718273,411999.3381222908,75070
294,2020-09-30,353305.69627326867,384369.54167981766,415461.37737889664,75070
295,2020-10-31,350837.81261618825,385040.81106773275,417736.0798548156,75070
296,2020-11-30,350969.1750466079,387391.4666016658,422612.937738413,75070
297,2020-12-31,352121.0682512097,389818.19951778284,424584.115697524,75070
298,2021-01-31,354179.04863992054,393721.9560313607,430668.70559137664,75070
299,2021-02-28,350198.16563938605,392195.4063072132,431624.40797310416,75070
300,2021-03-31,349505.16882636497,393072.541968928,432761.7157585928,75070
562,2018-01-01,187733.91096934705,191933.43590373377,196147.33555116772,75052
563,2018-02-01,189263.48606661428,193303.5113358207,197375.0044735112,75052
564,2018-03-01,190848.0616951834,194735.00313914244,198869.77684979036,75052
565,2018-04-01,191522.17402293973,195917.77412376233,199890.7877131696,75052
566,2018-04-30,191485.40102910358,195679.9612374205,199714.27854836758,75052
567,2018-05-31,192306.45428098922,196745.99621852185,200895.92233168727,75052
568,2018-06-30,194479.56830866873,198485.0476676861,202918.54224393654,75052
569,2018-07-31,196083.7907265655,200448.54273675045,204609.6995039897,75052
570,2018-08-31,198179.5315519736,202485.8786261739,206968.91885700042,75052
571,2018-09-30,199651.06730793003,204009.7433017762,208056.44535574704,75052
572,2018-10-31,200408.50168841353,204783.6241241391,208950.2324608177,75052
573,2018-11-30,201501.7594916285,205551.62790210894,210017.68351391138,75052
574,2018-12-31,201035.48237153442,205481.0497948703,209810.1201136159,75052
575,2019-01-31,201168.97687663438,205521.76425133832,210042.42765127125,75052
576,2019-02-28,208753.06110944843,213457.5930717082,218359.64146130832,75052
577,2019-03-31,206921.59153682803,211893.9945264421,216938.17418453374,75052
578,2019-04-30,205482.6533175237,210413.2150146444,215807.84354418473,75052
579,2019-05-31,205850.0231656777,211425.49131878934,217716.52095495936,75052
580,2019-06-30,207531.25948919638,213309.13533788087,219648.3692406497,75052
581,2019-07-31,209097.56663480666,215470.90211338733,222432.92985241968,75052
582,2019-08-31,211538.55937788013,217724.8069132254,224976.13229452298,75052
583,2019-09-30,212652.312309281,219293.7795695104,226824.2582645515,75052
584,2019-10-31,212630.83196292058,219902.05129718888,227615.3848450472,75052
585,2019-11-30,213259.29485076806,220530.37951605298,228638.5408753076,75052
586,2019-12-31,212055.97778057313,220079.2497557346,229119.95072757482,75052
587,2020-01-31,211689.11820967868,219806.57730401124,228064.5274364938,75052
588,2020-02-29,217356.153372991,226410.03429190538,235832.82626249513,75052
589,2020-03-31,217253.7048427851,226465.6855071664,236720.0731140873,75052
590,2020-04-30,216928.6072432065,225997.8239996633,236353.51411227492,75052
591,2020-05-31,216558.2366832627,227141.98056011237,237810.56530402438,75052
592,2020-06-30,218073.57591540297,228753.41917098928,240693.6371740691,75052
593,2020-07-31,219078.93820739107,230513.63950868684,242173.99535065793,75052
594,2020-08-31,219799.7722973879,232312.58382914125,244428.91507059787,75052
595,2020-09-30,221504.160484084,233804.20758938522,246942.783912133,75052
596,2020-10-31,221643.95530696138,234764.90060700764,249349.86559568738,75052
597,2020-11-30,221479.05714868882,235683.66766854018,249593.8889519123,75052
598,2020-12-31,222611.92118039448,236035.74522354742,249868.07698946947,75052
599,2021-01-31,222388.26781772255,236444.995678729,252132.8403680097,75052
600,2021-02-28,226511.60274235718,242417.87234404075,257818.5991107465,75052
601,2021-03-31,225327.88150688724,241764.25622734183,258115.13709590715,75052
863,2018-01-01,413709.0966694665,426570.57347084704,437913.6927789055,75034
864,2018-02-01,415111.39009434305,428335.45875534543,440563.9365824754,75034
865,2018-03-01,418385.49304660794,429895.74265380023,442350.4758978043,75034
866,2018-04-01,421423.9662858878,432611.51750683744,445159.4149285911,75034
867,2018-04-30,425402.43667689536,437734.09558885975,449939.27850735874,75034
868,2018-05-31,428774.760426119,440941.8976894532,453425.52812711644,75034
869,2018-06-30,430928.17263127904,443338.94393807655,455727.9060644288,75034
870,2018-07-31,429697.043257501,442616.2921344048,454088.8727148478,75034
871,2018-08-31,429339.0878403109,442263.66642234457,454737.4985050661,75034
872,2018-09-30,430973.61374803184,444566.5721427956,456744.52201807156,75034
873,2018-10-31,433800.69525350834,446263.0388142312,460121.0285072068,75034
874,2018-11-30,437551.6896805153,452025.3411401578,466711.6466016681,75034
875,2018-12-31,441778.2816007406,458448.9922917065,471670.9855498936,75034
876,2019-01-31,450080.56768103386,465128.8439797109,479745.8449488745,75034
877,2019-02-28,426878.60412073566,442567.87155626586,457647.4028355207,75034
878,2019-03-31,437214.80994758295,455948.5092057804,471426.19159984967,75034
879,2019-04-30,445969.3257508516,464966.7266987704,480710.8761925354,75034
880,2019-05-31,447900.0032960838,468375.8518484972,486992.1630550824,75034
881,2019-06-30,448527.13564872876,470757.5661293341,489943.7696775276,75034
882,2019-07-31,446114.9070402163,469100.58930458064,486787.2599000824,75034
883,2019-08-31,444047.0634738779,468016.5094052146,489902.51467595075,75034
884,2019-09-30,445467.39241761476,470395.06242918235,492153.5381137879,75034
885,2019-10-31,443632.6500880915,471998.18603104254,497395.8367184087,75034
886,2019-11-30,447644.1708822798,478860.5453230932,505589.89166453393,75034
887,2019-12-31,455587.33850945067,486464.5145810857,512835.2237573689,75034
888,2020-01-31,458329.4052331336,494220.0295014962,523390.1439329169,75034
889,2020-02-29,441616.186052739,477041.3596757742,507762.9110119495,75034
890,2020-03-31,445907.30816340604,484100.19473379833,516427.3574137756,75034
891,2020-04-30,449770.94852822844,489938.73791729193,522777.3215831708,75034
892,2020-05-31,450934.3315986735,492881.80515326414,529132.4251383413,75034
893,2020-06-30,452097.3554401728,495272.77281398815,532302.0572567533,75034
894,2020-07-31,446330.871824117,495752.1873840646,534632.3651334385,75034
895,2020-08-31,443812.248493572,496348.1257842515,538425.1905070463,75034
896,2020-09-30,444745.41337533476,498589.182102923,542622.0109896675,75034
897,2020-10-31,448934.8829890023,500415.0151168338,547543.3854444922,75034
898,2020-11-30,447756.0226306566,504760.7787572393,551910.5986414554,75034
899,2020-12-31,449425.0661664315,509630.36059558083,559769.1468375141,75034
900,2021-01-31,451430.07188479847,514854.8692202667,566000.3046161826,75034
901,2021-02-28,438636.17408566695,500098.8078602948,553735.964621975,75034
902,2021-03-31,446020.8811762481,509797.7908696954,568096.634897385,75034
1164,2018-01-01,322445.65295624913,328604.2184835893,334626.9846060795,75287
1165,2018-02-01,323973.99923084665,330510.34725233103,337155.2822394924,75287
1166,2018-03-01,325856.06354257977,332613.1894274897,339284.9988738224,75287
1167,2018-04-01,327748.183613193,334367.45194076805,341167.0753853091,75287
1168,2018-04-30,329742.19511064724,335683.1438430075,341928.21144272975,75287
1169,2018-05-31,331443.7654687664,337411.22985144134,343690.67329271924,75287
1170,2018-06-30,333228.01077822683,339475.3756507146,345904.1580400243,75287
1171,2018-07-31,334973.10250741674,341285.9217040257,347650.2979026275,75287
1172,2018-08-31,338279.2703784865,344698.5913780415,350452.06025880174,75287
1173,2018-09-30,341151.3798857191,347770.3860925873,354714.3970577041,75287
1174,2018-10-31,342119.4907149702,348868.4380173605,355879.3131582383,75287
1175,2018-11-30,342704.25839929515,349547.71635784785,356286.85482053645,75287
1176,2018-12-31,341981.7168547969,349110.6688701066,355730.67012454465,75287
1177,2019-01-31,343291.88803415047,350032.8418956274,356910.5653374506,75287
1178,2019-02-28,353598.3337841929,360364.2513639298,367880.78996944096,75287
1179,2019-03-31,350098.9417821263,357485.1445188575,365605.8176838631,75287
1180,2019-04-30,350603.9700122139,358437.8831346561,366754.69136219675,75287
1181,2019-05-31,351851.6076221449,360094.7336262165,368555.2604204824,75287
1182,2019-06-30,353225.54407518456,362196.8891336992,371272.913640149,75287
1183,2019-07-31,355168.06057885126,363966.70457940106,372825.8074896462,75287
1184,2019-08-31,357761.1734883429,367802.8891820812,377787.96254231746,75287
1185,2019-09-30,361242.24378282495,371193.62100321555,381913.29582467343,75287
1186,2019-10-31,360722.80262824195,372034.5538242994,382916.2065338159,75287
1187,2019-11-30,360994.185002939,372403.16064294026,384179.25669866917,75287
1188,2019-12-31,358430.12670467794,371350.2261963877,383355.0538152204,75287
1189,2020-01-31,359175.12996662286,372079.34590188967,385674.4284911043,75287
1190,2020-02-29,367128.0384259725,380529.7585765103,395399.1672540788,75287
1191,2020-03-31,365836.6052156588,380354.6724050272,395871.6850806055,75287
1192,2020-04-30,366997.8434199387,381749.27874914085,397351.48507853027,75287
1193,2020-05-31,368254.1939713808,383584.9426873187,400668.6004738744,75287
1194,2020-06-30,369712.9893174483,385636.2778893438,404577.90207054326,75287
1195,2020-07-31,369441.7063653465,387517.69020610215,407292.37106409576,75287
1196,2020-08-31,372531.70167712605,390440.84759258776,409785.9342477277,75287
1197,2020-09-30,373477.8690478046,393123.63543555146,413665.2970576206,75287
1198,2020-10-31,374266.82384639647,394503.7494950794,417222.42964518326,75287
1199,2020-11-30,373456.70795970387,395503.27426057577,418423.4436004453,75287
1200,2020-12-31,373741.3776901596,395761.35109865107,418525.98543224187,75287
1201,2021-01-31,373578.01187380444,396908.6462951217,422087.01690930227,75287
1202,2021-02-28,379164.2352801665,404687.5759306842,431349.56300813897,75287
1203,2021-03-31,379992.11094778794,403339.60736515286,429486.4536411688,75287
1465,2018-01-01,266994.00167314697,278623.44394636096,289863.1357086801,75243
1466,2018-02-01,270511.1612922336,281179.43375746394,292478.17781098955,75243
1467,2018-03-01,272774.5609927244,283701.1716980418,294998.24994607555,75243
1468,2018-04-01,274214.56487799884,285246.03437200416,295055.5430801781,75243
1469,2018-04-30,273095.7873980987,283492.7068537893,294175.3074563093,75243
1470,2018-05-31,275146.1261235567,286308.7415797332,296816.2525965885,75243
1471,2018-06-30,279235.5878717271,289601.2641060282,300570.44951651804,75243
1472,2018-07-31,281661.75283490494,291844.80681313074,302238.4331769436,75243
