,ds,yhat_lower,yhat,yhat_upper,Zip_code
261,2018-01-01,469086.3895736562,472301.2304371637,475485.36815843557,80134
262,2018-02-01,471923.4500067445,474947.25714327523,478067.24509122776,80134
263,2018-03-01,474553.665057341,477496.3117590886,480356.62123101694,80134
264,2018-04-01,477212.74456439726,480145.3778525369,483398.99027856125,80134
265,2018-04-30,479728.88586308743,482925.8962116932,486029.5773936389,80134
266,2018-05-31,482606.30871119996,485938.0786836332,488855.1155706588,80134
267,2018-06-30,485314.71274202334,488425.7932001841,491749.7636726892,80134
268,2018-07-31,487461.83536644315,490858.2531828223,494139.93833229656,80134
269,2018-08-31,489711.9322066795,493411.9237511045,497230.55991101434,80134
270,2018-09-30,491632.79602226807,496209.24905811064,500526.9727283677,80134
271,2018-10-31,493630.91100322927,498824.01460973703,503385.22436743876,80134
272,2018-11-30,495742.99735905323,501359.4022351034,506658.1285382818,80134
273,2018-12-31,496336.0511776654,503771.9800874592,509832.5318081073,80134
274,2019-01-31,499573.00819695566,506630.212969071,513562.1813371352,80134
275,2019-02-28,500586.29895398126,509482.25611071597,517274.2116026934,80134
276,2019-03-31,501658.7161452631,511339.1156980273,521031.18989762716,80134
277,2019-04-30,503197.50548831234,514700.6042313906,525303.078280547,80134
278,2019-05-31,505715.5069341647,517767.78526216926,529419.144940391,80134
279,2019-06-30,507306.21310604713,520221.01683845266,532810.7585293038,80134
280,2019-07-31,508942.52535760496,522601.7278338551,537117.5796363057,80134
281,2019-08-31,509025.943203506,525134.6417842859,540738.146220718,80134
282,2019-09-30,511322.6398024072,527986.3930848027,545514.3261235289,80134
283,2019-10-31,511556.3595850826,530625.917597696,548963.3467565405,80134
284,2019-11-30,512853.48990233947,533155.9840978987,552629.4630493046,80134
285,2019-12-31,514466.94537341554,535499.4431675269,556060.429018917,80134
286,2020-01-31,516388.3475201924,538403.7830488132,562199.5269480621,80134
287,2020-02-29,517066.332995754,541163.3515113583,566912.3510016241,80134
288,2020-03-31,517642.9269875608,543492.5900792654,569676.0807979162,80134
289,2020-04-30,519093.8577204193,546553.511441414,573754.2976300145,80134
290,2020-05-31,520491.1231610434,549451.044865478,578248.4329687074,80134
291,2020-06-30,521126.5055072944,552001.9682765197,582638.0521344162,80134
292,2020-07-31,522024.88359472196,554538.3968097529,587687.9986615349,80134
293,2020-08-31,523405.9946545068,557138.5944262259,592909.2139875572,80134
294,2020-09-30,523018.0730548515,559829.6237895247,596746.5521652759,80134
295,2020-10-31,524232.458982385,562392.5345351166,600838.8104482916,80134
296,2020-11-30,526205.8640395334,564934.3259987069,606359.2905705599,80134
297,2020-12-31,525123.833683087,567487.2454752818,609505.0307072977,80134
