,ds,yhat_lower,yhat,yhat_upper,Zip_code
261,2018-01-01,469064.99756739277,472278.9938138852,475791.1966827272,80134
262,2018-02-01,471796.55780200573,474817.81679662556,478006.250446569,80134
263,2018-03-01,474437.20971939707,477363.8832101797,480247.62721451896,80134
264,2018-04-01,476945.1460135682,479922.8887833413,483016.51018979476,80134
265,2018-04-30,480102.9505773474,483142.7994454161,486217.37233580207,80134
266,2018-05-31,483109.10317722865,486387.7813864621,489675.194039027,80134
267,2018-06-30,485448.2656526616,488799.54280447884,492141.7903464662,80134
268,2018-07-31,487610.14882457646,490972.36374248896,494101.6118178429,80134
269,2018-08-31,489250.313081674,493323.0905913904,496925.04781966057,80134
270,2018-09-30,491844.7935186493,496194.8604067221,500110.34937174636,80134
271,2018-10-31,493939.90047691227,498768.0681340913,503324.52098475926,80134
272,2018-11-30,495647.78746481653,501396.51897247,506391.19831666106,80134
273,2018-12-31,497259.9046255665,503864.7687151344,511026.948055536,80134
274,2019-01-31,498957.30737133167,507159.01335936313,514603.2547899078,80134
275,2019-02-28,500307.22350086196,508748.89503537415,518021.49807253433,80134
276,2019-03-31,500297.9105696511,510560.9635288769,520585.02818425826,80134
277,2019-04-30,503372.7231578594,514992.57867406623,526114.3462867356,80134
278,2019-05-31,504984.96367472154,518367.26387176436,531232.614457381,80134
279,2019-06-30,506677.6728367432,520696.1996121834,534255.8661075205,80134
280,2019-07-31,506867.0125122396,522716.12071819085,538124.5637637374,80134
281,2019-08-31,507442.35985789966,524975.7478450681,541862.0641642984,80134
282,2019-09-30,509209.021696129,527954.1619497146,545895.933994552,80134
283,2019-10-31,509794.9537143727,530572.5374574405,549708.2925449134,80134
284,2019-11-30,511101.76222290593,533225.6767840012,553825.4852221701,80134
285,2019-12-31,512132.9575815197,535609.4150475296,557615.403111361,80134
286,2020-01-31,513464.9607474388,539096.824533877,563301.2242458161,80134
287,2020-02-29,513931.74850814923,540782.8575370581,566076.1742430028,80134
288,2020-03-31,514788.12768425443,542991.2979411726,571300.94930388,80134
289,2020-04-30,515318.4072118993,546749.4116165442,577119.9158980357,80134
290,2020-05-31,518517.8246642972,549852.6333647142,582400.0813129434,80134
291,2020-06-30,518254.2573172087,552370.5386883998,586578.264982708,80134
292,2020-07-31,520030.6131922682,554725.4479569918,590471.0452496215,80134
293,2020-08-31,520244.3333554823,557187.5326998336,594935.9276340896,80134
294,2020-09-30,519933.5565243416,559910.6698962637,599133.4995582972,80134
295,2020-10-31,520482.67490298447,562353.8498587552,603432.1611458475,80134
296,2020-11-30,520304.6142614337,564928.4314429666,607815.4097741197,80134
297,2020-12-31,521808.29666682775,567517.5970413833,611423.3888883279,80134
298,2021-01-31,523156.64501689974,570548.954916517,616076.2729976892,80134
299,2021-02-28,521636.8115549418,572475.5110551182,619535.0045345048,80134
300,2021-03-31,521956.84270675556,574489.372396687,622740.2765622915,80134
562,2018-01-01,328945.66990783944,332532.6392872746,336438.37289044453,80013
563,2018-02-01,331291.58281025535,335314.4818732109,339453.3766433934,80013
564,2018-03-01,334218.01451811776,337900.018077468,341723.33509627095,80013
565,2018-04-01,336453.5110356247,340661.53324016795,344382.0417751039,80013
566,2018-04-30,339609.8309257825,343447.0121109914,347252.8811834513,80013
567,2018-05-31,342329.62898683286,346186.57689686824,350175.11197295587,80013
568,2018-06-30,344834.35653317044,348638.9865098934,352982.06268923316,80013
569,2018-07-31,347515.0971572532,351278.90099032683,355394.3875701797,80013
570,2018-08-31,349416.71929544996,353752.62041429477,358356.8534175913,80013
571,2018-09-30,352055.7611470022,356552.6590216779,361248.44859024085,80013
572,2018-10-31,353342.9401211442,358333.44889018673,363344.0843570616,80013
573,2018-11-30,355763.9761349121,361370.03537743684,367639.3252462724,80013
574,2018-12-31,358402.4453628729,364783.8529533026,370952.1875759053,80013
575,2019-01-31,361150.4741926068,368115.6561149909,376066.09933541145,80013
576,2019-02-28,360489.26559671114,368385.6655415026,376710.18887312704,80013
577,2019-03-31,363842.9399097532,371956.3414041121,382021.73024738685,80013
578,2019-04-30,365566.4340870157,375318.0219030475,386436.5259244134,80013
579,2019-05-31,368153.13811460824,378050.73023707466,389827.1421579446,80013
580,2019-06-30,368665.94582805363,380457.9652492824,394368.85178771085,80013
581,2019-07-31,370791.2437160618,383082.58064106817,398835.03093158605,80013
582,2019-08-31,371474.8695954957,385496.9072430114,400647.4875504342,80013
583,2019-09-30,373329.65731568646,388361.37937961187,404583.9427746558,80013
584,2019-10-31,373235.5829206712,389893.17816953454,407964.19972861046,80013
585,2019-11-30,376201.6692406123,393087.78777469223,412135.66107207676,80013
586,2019-12-31,378021.67687549914,396725.622316813,417078.5416989858,80013
587,2020-01-31,380640.88230324484,400204.07097729715,422072.56883979874,80013
588,2020-02-29,380523.1143046548,400939.067226055,425127.4661903134,80013
589,2020-03-31,381562.81478323793,404039.21896624734,428892.12449591426,80013
590,2020-04-30,383480.2514130009,407011.98216737673,433679.3171913526,80013
591,2020-05-31,384800.8730136891,409772.9119420212,437715.895457254,80013
592,2020-06-30,385836.4651986089,412257.76366284286,443092.1918133158,80013
593,2020-07-31,386232.9726976897,414906.45780413796,446572.12550730264,80013
594,2020-08-31,387669.9947724495,417425.7058208818,450406.741560502,80013
595,2020-09-30,388511.93572933006,420153.26213062514,455957.48458910733,80013
596,2020-10-31,388830.18411038513,422141.7785113818,458420.076158963,80013
597,2020-11-30,391932.38735491375,425008.49980361044,464860.9949054824,80013
598,2020-12-31,392035.5029018684,428193.22797205526,468470.43844418565,80013
599,2021-01-31,393267.1669184915,431407.7903581309,475283.9234052269,80013
600,2021-02-28,393387.97334450646,432391.7161772914,476952.9782730326,80013
601,2021-03-31,395238.5250727391,435712.27680237085,483451.2089707022,80013
863,2018-01-01,391667.5118695424,396079.5789302513,400607.24419612007,80015
864,2018-02-01,394561.0962791759,398969.73663299525,403425.9255374214,80015
865,2018-03-01,397094.5127802883,401667.8074947058,406265.65643923526,80015
