,ds,yhat_lower,yhat,yhat_upper,Zip_code
261,2018-01-01,196845.52616717113,200687.6276013215,204428.9225899105,37013
262,2018-02-01,198116.67864012523,202162.38573871617,205792.73602083497,37013
263,2018-03-01,199647.08776314545,203546.21127700797,206911.51851446411,37013
264,2018-04-01,201048.24078610705,205051.393053578,208863.17971024528,37013
265,2018-04-30,202237.36376558326,205982.98174244026,209677.56582176615,37013
266,2018-05-31,203773.4122464987,207446.32372369527,211354.0038760223,37013
267,2018-06-30,204985.70232529813,208884.9938302112,212710.11548792908,37013
268,2018-07-31,207000.6552564933,210533.46749847318,213928.81032701748,37013
269,2018-08-31,208400.48924566567,212117.51829136093,215640.66779916378,37013
270,2018-09-30,210043.57207099118,213768.95875441201,217700.16078333624,37013
271,2018-10-31,211584.82010962136,215402.4682132749,219270.25176426215,37013
272,2018-11-30,212627.23992915844,216698.43031134008,220550.7742443203,37013
273,2018-12-31,214039.09965244617,217655.39032584376,221441.9255292746,37013
274,2019-01-31,215039.34565941207,219276.80662870823,223181.65416505543,37013
275,2019-02-28,217223.64807588185,221320.08309046616,225622.8869299499,37013
276,2019-03-31,218637.02964331282,223002.21565116395,227021.229296834,37013
277,2019-04-30,219242.42104532954,223465.13700096073,227711.8100145347,37013
278,2019-05-31,220621.74584806527,224923.81210374873,228870.19995379294,37013
279,2019-06-30,221767.86310521112,226357.448702678,230846.66825493405,37013
280,2019-07-31,223576.5211109457,228035.8591381451,232144.7574758272,37013
281,2019-08-31,224792.11837706345,229632.84521846342,234374.3915675868,37013
282,2019-09-30,226558.81056212724,231317.23057866178,236139.93550716335,37013
283,2019-10-31,228181.3536957589,232968.5773603452,237944.507342403,37013
284,2019-11-30,228902.07896166743,234220.76456764658,239195.18521346492,37013
285,2019-12-31,229558.22150360842,235064.50133486674,240134.1150958843,37013
286,2020-01-31,230979.59457618362,236725.53113603228,242282.39561244647,37013
287,2020-02-29,232793.81529660194,238686.82979204197,244478.62586221052,37013
288,2020-03-31,234404.0109697242,240272.90335925427,246148.7841922921,37013
289,2020-04-30,234857.05976669132,241106.2887854388,247334.8015589367,37013
290,2020-05-31,236016.24240325874,242583.08910057382,248970.56543335223,37013
