,ds,yhat_lower,yhat,yhat_upper,Zip_code
261,2018-01-01,197418.33776813434,200983.48017313072,204824.0085512258,37013
262,2018-02-01,198876.17828920193,202497.06339881837,206337.9512920364,37013
263,2018-03-01,200521.5337599489,203941.82040107378,207548.42461589808,37013
264,2018-04-01,201636.1922801553,205436.73940488457,208786.40530728092,37013
265,2018-04-30,202012.67496428068,205800.9794935992,209282.04510566115,37013
266,2018-05-31,203360.9094127866,207037.72579610604,210461.7322105137,37013
267,2018-06-30,204872.3674680158,208591.89612582247,212231.05814984033,37013
268,2018-07-31,206818.20044681552,210425.29274133674,213970.10564804173,37013
269,2018-08-31,208691.23860850537,212303.96759145244,216118.88521709695,37013
270,2018-09-30,210616.66380347256,214354.60548379476,218061.62630784875,37013
271,2018-10-31,212170.4158633832,215937.95911546313,220153.89022539803,37013
272,2018-11-30,212981.55850238437,217100.6142862757,220921.91429330152,37013
273,2018-12-31,213117.4413283686,217466.23924693794,221899.33593459957,37013
274,2019-01-31,214097.49803076385,218589.5680605783,222945.72027610612,37013
275,2019-02-28,218721.98127955844,222998.96578671152,228098.1514834571,37013
276,2019-03-31,219060.75967292106,224220.80280611216,229383.9668154427,37013
277,2019-04-30,218218.76088806457,223283.32844985093,228836.21027170142,37013
278,2019-05-31,218861.22868470897,224448.32962520217,230273.786780356,37013
279,2019-06-30,219840.1515877524,226038.60702739892,232506.69004556112,37013
280,2019-07-31,221930.5104099717,227969.93694753316,234056.65481507767,37013
281,2019-08-31,223446.59082058835,229951.4176315233,237134.47855009584,37013
282,2019-09-30,224978.5184082433,232152.80464168676,239877.64353114323,37013
283,2019-10-31,225944.68333976803,233724.5884801097,241837.4077176708,37013
284,2019-11-30,227064.48411945565,234761.67100706362,243479.03414582257,37013
285,2019-12-31,226231.82330161947,234766.1206118942,244213.13443303667,37013
286,2020-01-31,226597.198484366,235811.88773570073,245036.1444882686,37013
287,2020-02-29,229902.2405331683,239851.66408264835,249600.12588115386,37013
288,2020-03-31,229790.23260304454,241263.60408343922,251745.40065872818,37013
289,2020-04-30,228936.95648048326,241124.6495139314,252751.88325618845,37013
290,2020-05-31,230355.84886353672,242440.52190386254,254826.2441398567,37013
291,2020-06-30,230575.76393880782,243970.07851866537,256325.3692716134,37013
292,2020-07-31,231742.45399734957,245717.8071476793,259392.46840343176,37013
293,2020-08-31,233685.81933721545,247508.46085901323,260992.9288188027,37013
294,2020-09-30,234564.19559745103,249430.4424388591,264420.40729451255,37013
295,2020-10-31,233814.3809473946,251052.83401095387,266367.902099031,37013
296,2020-11-30,236515.2388842727,252375.59331123217,268438.99374487245,37013
297,2020-12-31,235086.18631132232,253149.77775451212,269656.33483477664,37013
298,2021-01-31,235376.41688928657,254356.35145721753,271641.0781815354,37013
299,2021-02-28,239512.046180218,257885.43305914162,275505.1130654243,37013
300,2021-03-31,238533.93613837153,259227.15972291405,278231.8672258427,37013
562,2018-01-01,249846.3151771528,255098.51871155386,260571.97726043643,37211
563,2018-02-01,251680.88104728784,257148.86163371903,262752.0669892369,37211
564,2018-03-01,254204.1654997107,259397.8666658984,264976.61868351814,37211
565,2018-04-01,255908.8224178248,261141.17822382922,266851.3271087501,37211
566,2018-04-30,257070.34132117737,262297.3424957128,267543.41313898284,37211
567,2018-05-31,258005.79730304828,263645.14049925044,269111.92376941745,37211
568,2018-06-30,260344.80250105946,265709.7071276404,271271.6842941765,37211
569,2018-07-31,263053.7115888803,268801.97701238265,274275.3065768026,37211
570,2018-08-31,266582.22549449146,272387.60453208827,277931.870314661,37211
571,2018-09-30,269474.9045431567,275166.068881603,280942.02351803187,37211
572,2018-10-31,270699.90266623505,276427.892735563,281728.8295508149,37211
573,2018-11-30,271520.1365161235,277497.2547022095,283484.2737332561,37211
574,2018-12-31,271541.8565588665,277779.75928884774,283537.36039236235,37211
575,2019-01-31,273658.8907641322,280226.2860736116,286874.2504053401,37211
576,2019-02-28,282044.8255682791,288623.16160908795,295091.2397471686,37211
577,2019-03-31,280348.5642275873,287076.2676859965,294010.0043568113,37211
578,2019-04-30,280385.5065475156,287415.3850154183,294521.6507874762,37211
579,2019-05-31,281294.44079886994,288505.8574189005,295781.3664008933,37211
580,2019-06-30,282430.7604310333,290565.89394235204,298388.50190375047,37211
