,RegionName,City,State,Metro,CountyName,time,value,ds,yhat_lower,yhat,yhat_upper,Zip_code,log_value,log_yhat
0,37013,Nashville,TN,Nashville,Davidson,1996-04-01,112400.0,1996-04-01,109189.53105500403,112774.53710606442,116640.45443401572,37013,11.629819216441728,11.63314585768883
1,37211,Nashville,TN,Nashville,Davidson,1996-04-01,97900.0,1996-04-01,92695.99927183437,97614.51811091173,103063.63898665759,37211,11.491701828518602,11.48878151247522
2,37075,Hendersonville,TN,Nashville,Sumner,1996-04-01,137400.0,1996-04-01,133320.02918327262,136688.20234171793,139951.97520869147,37075,11.830651658770385,11.825457715708385
3,37130,Murfreesboro,TN,Nashville,Rutherford,1996-04-01,82200.0,1996-04-01,80201.15070094117,83685.1048142646,87328.24617608014,37130,11.31691058104427,11.334816281432639
4,38401,Columbia,TN,Nashville,Maury,1996-04-01,77400.0,1996-04-01,69460.8803949705,74298.67194863709,79425.77956573169,38401,11.25674205957782,11.215848356368946
5,37128,Murfreesboro,TN,Nashville,Rutherford,1996-04-01,89100.0,1996-04-01,87706.46701053223,91518.0429822551,95315.66790622404,37128,11.3975146134589,11.424291422886908
6,37064,Franklin,TN,Nashville,Williamson,1996-04-01,162800.0,1996-04-01,162813.11054403434,167910.26292867062,172969.60149549306,37064,12.000277732550577,12.031184966442769
7,37167,Smyrna,TN,Nashville,Rutherford,1996-04-01,93600.0,1996-04-01,90111.92457866513,94028.3528108525,97838.93985884084,37167,11.446785662465684,11.451351641419638
8,37122,Mount Juliet,TN,Nashville,Wilson,1996-04-01,131300.0,1996-04-01,124341.87831263822,130951.34322000593,137016.91477704677,37122,11.785240060290887,11.782581107386159
9,37066,Gallatin,TN,Nashville,Sumner,1996-04-01,90500.0,1996-04-01,84432.36672586121,89997.7808064475,94905.00546543991,37066,11.413105129688017,11.407540291302256
10,37027,Brentwood,TN,Nashville,Williamson,1996-04-01,272400.0,1996-04-01,272288.8587655271,279551.84309145727,286346.8445117885,37027,12.515026853257494,12.540943039498545
11,37129,Murfreesboro,TN,Nashville,Rutherford,1996-04-01,92000.0,1996-04-01,88874.54718267579,93303.14025701425,97861.05149279702,37129,11.429543856031177,11.44360904390048
12,37087,Lebanon,TN,Nashville,Wilson,1996-04-01,85700.0,1996-04-01,81025.80231960026,85713.90403984334,90927.19124960035,37087,11.358608104585871,11.358770332264562
13,37221,Nashville,TN,Nashville,Davidson,1996-04-01,165200.0,1996-04-01,158867.37702350516,163520.5663414021,168495.8968112153,37221,12.014912140069015,12.004694049429604
14,37209,Nashville,TN,Nashville,Davidson,1996-04-01,84900.0,1996-04-01,73934.18194686603,81470.89039902152,88828.655590678,37209,11.349229372299439,11.308001062409339
15,37076,Nashville,TN,Nashville,Davidson,1996-04-01,112400.0,1996-04-01,105797.207998844,109873.47943390156,114191.85057070806,37076,11.629819216441728,11.607084795837352
16,37115,Nashville,TN,Nashville,Davidson,1996-04-01,79700.0,1996-04-01,76270.69410168273,79607.49772638945,82672.07209234222,37115,11.286024864778307,11.284863559939216
17,37207,Nashville,TN,Nashville,Davidson,1996-04-01,63600.0,1996-04-01,60021.350434192645,64013.0096716378,68540.60407180869,37207,11.060368749328214,11.066841617803359
18,37174,Spring Hill,TN,Nashville,Maury,1996-04-01,118500.0,1996-04-01,118054.24873561642,121588.18092890571,124959.50096410498,37174,11.682668239557323,11.708395047481995
19,37214,Nashville,TN,Nashville,Davidson,1996-04-01,88300.0,1996-04-01,81812.16819503889,87453.76201230605,92925.18476245817,37214,11.388495386592052,11.378865498530102
20,37217,Nashville,TN,Nashville,Davidson,1996-04-01,96000.0,1996-04-01,92169.2581654975,96089.50929897073,100258.94074135752,37217,11.472103470449973,11.473035424576734
21,37206,Nashville,TN,Nashville,Davidson,1996-04-01,67300.0,1996-04-01,58788.5722487628,65520.83468080494,72377.60188787316,37206,11.116915515632819,11.09012345777433
22,37072,Goodlettsville,TN,Nashville,Davidson,1996-04-01,106800.0,1996-04-01,101729.70158564275,106032.8275576412,110144.67578281187,37072,11.578713205508231,11.571504019088946
23,37172,Springfield,TN,Nashville,Robertson,1996-04-01,74000.0,1996-04-01,69970.618724326,73074.07834543513,76116.14136257296,37172,11.211820372186306,11.199228977452904
24,37086,La Vergne,TN,Nashville,Rutherford,1996-04-01,90000.0,1996-04-01,85740.56479767323,89526.51598781523,93089.76373299044,37086,11.407564949312402,11.402290128404525
25,37205,Nashville,TN,Nashville,Davidson,1996-04-01,229700.0,1996-04-01,219337.9043680774,234083.14370467514,247727.47424151347,37205,12.34452938867719,12.363431646207665
26,37067,Franklin,TN,Nashville,Williamson,1996-04-01,217000.0,1996-04-01,215569.95340079672,219525.77387409055,223686.20996296848,37067,12.287652632522597,12.299224925442758
27,37055,Dickson,TN,Nashville,Dickson,1996-04-01,63500.0,1996-04-01,58116.29877026045,61602.77460261472,64856.17739243276,37055,11.058795184880783,11.028462190757478
28,37215,Nashville,TN,Nashville,Davidson,1996-04-01,315600.0,1996-04-01,305110.6349841655,317242.8584866716,328683.0821806637,37215,12.662230867953856,12.667422874642956
29,37138,Nashville,TN,Nashville,Davidson,1996-04-01,104000.0,1996-04-01,101291.59537725596,105185.961913504,109275.94615288226,37138,11.55214617812351,11.563485128494742
30,37148,Portland,TN,Nashville,Sumner,1996-04-01,62000.0,1996-04-01,60031.89723458979,63758.455677948776,67632.49596122229,37148,11.03488966402723,11.062857092310491
31,37216,Nashville,TN,Nashville,Davidson,1996-04-01,72800.0,1996-04-01,63921.38035690159,71140.7188422093,77926.10689178045,37216,11.195471234184778,11.172415150064964
32,37212,Nashville,TN,Nashville,Davidson,1996-04-01,141900.0,1996-04-01,130614.57925595158,146104.1119901951,160815.06409429107,37212,11.862877863148134,11.892074742381707
33,37015,Ashland City,TN,Nashville,Cheatham,1996-04-01,66700.0,1996-04-01,64786.98717775374,67508.61334080243,70288.74170990054,37015,11.107960231903714,11.120010473768714
34,37210,Nashville,TN,Nashville,Davidson,1996-04-01,60800.0,1996-04-01,52240.46105158086,60178.522906086146,68625.40301270816,37210,11.015345067954259,11.00507080528471
35,37069,Franklin,TN,Nashville,Williamson,1996-04-01,192300.0,1996-04-01,192383.800709988,196339.95857384594,200808.28685858188,37069,12.166811931576872,12.187602918254568
36,37127,Murfreesboro,TN,Nashville,Rutherford,1996-04-01,83500.0,1996-04-01,81261.61435271331,85880.83145459428,90735.83929979564,37127,11.332601910838946,11.360715933531718
37,37204,Nashville,TN,Nashville,Davidson,1996-04-01,154700.0,1996-04-01,149121.9258904631,154520.0677560042,159754.22305167402,37204,11.949243036561157,11.948079255273548
38,37090,Lebanon,TN,Nashville,Wilson,1996-04-01,94000.0,1996-04-01,84892.65600098878,90971.21939606497,96883.61108563891,37090,11.451050061252142,11.418298465102053
39,37083,Lafayette,TN,Nashville,Macon,1996-04-01,47500.0,1996-04-01,41433.77832650529,45198.53071125044,48956.69980630945,37083,10.768484990022733,10.718819858903714
40,37188,White House,TN,Nashville,Robertson,1996-04-01,93900.0,1996-04-01,92063.10737044655,96223.59118170367,100705.04719560455,37188,11.449985665196355,11.474429837168735
41,37135,Nolensville,TN,Nashville,Williamson,1996-04-01,156700.0,1996-04-01,152941.97460515017,160033.30993239838,167035.17895435335,37135,11.962088428344112,11.983137259625531
42,37179,Thompsons Station,TN,Nashville,Williamson,1996-04-01,135900.0,1996-04-01,135470.7220314084,140695.49891942908,145891.80684037425,37179,11.819674600139235,11.854353251968375
43,37073,Greenbrier,TN,Nashville,Robertson,1996-04-01,90200.0,1996-04-01,87819.34898012798,91464.14456456601,95105.15013193627,37073,11.409784706050715,11.42370231178303
44,37062,Fairview,TN,Nashville,Williamson,1996-04-01,90200.0,1996-04-01,80279.07933476934,86288.92174035363,93675.50511487684,37062,11.409784706050715,11.3654564996583
45,37186,Westmoreland,TN,Nashville,Sumner,1996-04-01,37700.0,1996-04-01,34255.14770635105,38673.22142990171,42821.96859423084,37186,10.537415373436103,10.562902686792382
46,37190,Woodbury,TN,Nashville,Cannon,1996-04-01,49300.0,1996-04-01,47443.15075422763,51144.494961713106,55004.54306270534,37190,10.805679360030782,10.842410140205793
47,38474,Mount Pleasant,TN,Nashville,Maury,1996-04-01,48700.0,1996-04-01,39105.56594057829,44810.43050385172,50511.35898123746,38474,10.793434309070681,10.710196215050525
48,37033,Centerville,TN,Nashville,Hickman,1996-04-01,41100.0,1996-04-01,37796.88704062954,39501.31925778031,41105.09867712896,37033,10.623763400484325,10.584089349262628
49,37080,Nashville,TN,Nashville,Davidson,1996-04-01,91100.0,1996-04-01,80250.83793252442,85969.12885753174,91631.31951799216,37080,11.41971308324805,11.361743544018763
50,37187,White Bluff,TN,Nashville,Dickson,1996-04-01,57500.0,1996-04-01,54435.94273672904,56799.90082590776,59260.61782207449,37187,10.959540226785442,10.947289858684968
51,37030,Carthage,TN,Nashville,Smith,1996-04-01,54600.0,1996-04-01,52421.157083877,55688.48562782115,59118.97467060278,37030,10.907789161732996,10.927528683321562
52,37037,Christiana,TN,Nashville,Rutherford,1996-04-01,73400.0,1996-04-01,68504.7190970978,73247.46627417278,78107.02881215072,37037,11.203679214602607,11.20159893616738
53,37146,Pleasant View,TN,Nashville,Cheatham,1996-04-01,73400.0,1996-04-01,69062.21550967214,72474.15251408285,76067.58411119251,37146,11.203679214602607,11.190985260228322
54,37025,Bon Aqua,TN,Nashville,Hickman,1996-04-01,47200.0,1996-04-01,44542.108697725,47197.32997091692,49821.18294728592,37025,10.762149171573647,10.762092601560816
55,37220,Nashville,TN,Nashville,Davidson,1996-04-01,173400.0,1996-04-01,165634.20545632447,171409.29771980882,176786.89781885638,37220,12.063356343328579,12.051809529414411
56,37082,Kingston Springs,TN,Nashville,Cheatham,1996-04-01,100800.0,1996-04-01,96194.7218498256,99295.46239220719,102434.46394421715,37082,11.520893634619405,11.505855153039597
57,37184,Watertown,TN,Nashville,Wilson,1996-04-01,,1996-04-01,-156061.31112214734,-151437.5866322739,-146323.27479680214,37184,,
58,37036,Charlotte,TN,Nashville,Dickson,1996-04-01,38800.0,1996-04-01,34684.971087380814,38409.00155654195,42552.77042911246,37036,10.566175525611365,10.556047126639736
59,37029,Burns,TN,Nashville,Dickson,1996-04-01,86100.0,1996-04-01,83203.24317751636,87917.65591516721,92712.12177549869,37029,11.363264690415821,11.384155927156645
60,37048,Walnut Grove,TN,Nashville,Sumner,1996-04-01,87000.0,1996-04-01,79855.48125846915,86021.61330302109,92301.30123144138,37048,11.37366339763672,11.362353861137688
61,37098,Lyles,TN,Nashville,Hickman,1996-04-01,44900.0,1996-04-01,40452.811900126035,43223.29786093965,46182.7136113835,37098,10.712193073730345,10.674134931197527
62,37022,Bethpage,TN,Nashville,Sumner,1996-04-01,56000.0,1996-04-01,51302.2461415399,58313.59164922646,65670.99697498193,37022,10.933106969717286,10.973590478087164
63,37153,Rockvale,TN,Nashville,Rutherford,1996-04-01,82000.0,1996-04-01,74051.95238491635,79580.57492928483,84696.12909272437,37153,11.314474526246391,11.284525308499743
64,37150,Red Boiling Springs,TN,Nashville,Macon,1996-04-01,35200.0,1996-04-01,34132.51396061054,35822.399950534746,37296.06184420285,37150,10.468801361586188,10.486328673664385
