,ds,yhat_lower,yhat,yhat_upper,Zip_code
261,2018-01-01,157876.25881474852,160808.46851717168,163492.1775476899,27610
262,2018-02-01,159083.5056543733,161685.9936412759,164415.50835374702,27610
263,2018-03-01,160009.95354402502,162649.71261891976,165175.43337286584,27610
264,2018-04-01,160890.30341056807,163553.66062620954,166203.7104840257,27610
265,2018-04-30,160634.31401469564,163516.68514579872,166064.15049592126,27610
266,2018-05-31,162012.82933620244,164653.34811218135,167721.7328587667,27610
267,2018-06-30,163005.39529542404,165765.9634920635,168490.97360483784,27610
268,2018-07-31,164050.57516182435,166849.10169341025,169472.65791329773,27610
269,2018-08-31,165121.01233683634,167880.07990733677,170480.32713419368,27610
270,2018-09-30,165830.26829473305,168615.8375645475,171423.1522078087,27610
271,2018-10-31,166192.12684898468,169249.9634137332,172097.1542982615,27610
272,2018-11-30,166858.0059269163,169820.87533014984,172819.79364785412,27610
273,2018-12-31,167212.4039768731,170452.54417997398,173132.0151955926,27610
274,2019-01-31,167924.36170572817,171297.86798514813,174169.6941082378,27610
275,2019-02-28,171256.36253766643,174362.6600989459,177542.97750951425,27610
276,2019-03-31,170262.2043569542,173569.32789677219,176773.15198247394,27610
277,2019-04-30,170127.42315102156,173568.259156414,176953.49224991055,27610
278,2019-05-31,171108.3153925827,174773.2584347682,178472.80787155175,27610
279,2019-06-30,171911.57891291124,175944.00465608347,179515.18422830195,27610
280,2019-07-31,172681.2368950411,177072.35406820287,180933.52171767617,27610
281,2019-08-31,173667.385976537,178135.6865551051,182470.7022392135,27610
282,2019-09-30,174275.38616298104,178840.14852322688,183586.02812950665,27610
283,2019-10-31,174469.284685328,179419.9379622503,184154.0204497473,27610
284,2019-11-30,174310.99115620102,179937.91768558748,184877.87438390934,27610
285,2019-12-31,175113.90720659168,180536.01310966723,185817.88542682718,27610
286,2020-01-31,174995.7283434874,181389.78433803134,187259.72397760177,27610
287,2020-02-29,177151.90543491265,183639.50535919605,190420.07216965017,27610
288,2020-03-31,177173.07724419105,183881.82906455296,190392.51312958924,27610
289,2020-04-30,177488.87619027632,184165.6495565837,190780.414273422,27610
290,2020-05-31,177897.13124615682,185175.33945704243,191865.0781378926,27610
291,2020-06-30,178661.04375785976,186174.3286445671,193720.25259125454,27610
292,2020-07-31,179272.5012028861,187165.19672757576,194360.00730722136,27610
293,2020-08-31,179887.8439168067,188125.73331567773,195681.71170346555,27610
294,2020-09-30,180172.16934916677,188917.31011850908,197155.8957026773,27610
295,2020-10-31,180666.02445907594,189658.45051687307,197946.8597534966,27610
296,2020-11-30,180755.69680227537,190339.0391210775,199744.693782184,27610
297,2020-12-31,180913.70459569452,191045.91949161017,201019.5313956948,27610
298,2021-01-31,181554.79588635147,191888.95348825626,201552.02732201567,27610
299,2021-02-28,183063.35276946664,194133.74490313343,205043.4266327801,27610
300,2021-03-31,182832.97555278256,194036.2718620667,205259.1210726146,27610
562,2018-01-01,296556.2362996881,301060.71590905293,305431.3976615373,27587
