,ds,yhat_lower,yhat,yhat_upper,Zip_code
261,2018-01-01,158372.58742021484,161065.6300765562,163556.97649155548,27610
262,2018-02-01,159312.23141120034,161976.01826428555,164504.52184734656,27610
263,2018-03-01,160292.13168587818,163002.02714014577,165677.84983066883,27610
264,2018-04-01,161327.6770085041,163907.57042218247,166433.16047588928,27610
265,2018-04-30,161134.30969706818,163538.16201384825,166033.82852554138,27610
266,2018-05-31,162020.85225904483,164618.93286787265,167334.33548777533,27610
267,2018-06-30,163175.08553287535,165909.4375802733,168464.32361485346,27610
268,2018-07-31,164537.72568141168,167178.8314664268,169687.84255278134,27610
269,2018-08-31,165897.95236796478,168327.8837757452,170901.9590858321,27610
270,2018-09-30,166509.18781691242,169146.5339407528,171745.82778437634,27610
271,2018-10-31,166624.8612977278,169701.5025207659,172575.15217626625,27610
272,2018-11-30,167467.673870476,170211.3424511142,173051.08209445892,27610
273,2018-12-31,167797.80263318244,170611.26282645485,173901.9777243482,27610
274,2019-01-31,168373.40872256982,171205.13596877453,174312.5307670916,27610
275,2019-02-28,172541.80364388722,175656.7358975212,178949.0045313963,27610
276,2019-03-31,171364.56328517522,174385.66354505514,177952.153094924,27610
277,2019-04-30,170067.81836809684,173653.7845117569,177386.59748550737,27610
278,2019-05-31,171578.01802275202,174806.0372593954,178325.4187268066,27610
279,2019-06-30,172576.0194712672,176224.04083576569,180187.5590403184,27610
280,2019-07-31,173564.9623381286,177600.99883554957,181893.0462841285,27610
281,2019-08-31,174685.17069627647,178818.84302303934,183493.27519956607,27610
282,2019-09-30,175168.5669892248,179607.68931440482,184860.44854553227,27610
283,2019-10-31,175587.38297784727,180055.3208409098,184882.7815333127,27610
284,2019-11-30,175516.61261899266,180470.44916913082,185889.47555673178,27610
285,2019-12-31,175345.5684699931,180755.93950966623,186702.5721453929,27610
286,2020-01-31,175751.28907668346,181293.25979393817,187598.03674505616,27610
287,2020-02-29,179118.06508218896,184725.85559113414,191081.0393019759,27610
288,2020-03-31,178678.1133541485,184742.9623197478,191816.64597864254,27610
289,2020-04-30,178344.6985618787,184545.22235221806,191369.2444225708,27610
290,2020-05-31,178827.44902170505,185545.2206600726,193178.57503906215,27610
291,2020-06-30,179986.30854174576,186687.18860074203,194077.57868529286,27610
292,2020-07-31,180293.35176312365,187826.6195571956,196083.02223910738,27610
293,2020-08-31,180961.86814681673,188889.51306139774,197043.44268646912,27610
294,2020-09-30,181164.3166611057,189750.64980402883,198256.38961856326,27610
295,2020-10-31,182276.39543053022,190446.57585883015,199228.84630587292,27610
296,2020-11-30,182140.65737584338,191074.95562465425,200419.90716969635,27610
297,2020-12-31,182027.10700159977,191609.49401600126,201873.56981327393,27610
298,2021-01-31,183192.4305503757,192282.2547367056,202522.71955918468,27610
299,2021-02-28,185848.83303202508,195672.46644241127,207338.72807757257,27610
300,2021-03-31,184823.934137204,195152.42889547747,205714.47600046458,27610
562,2018-01-01,296731.6991686339,301022.5660602862,305233.9095482999,27587
563,2018-02-01,297834.3973286039,302213.3533095287,306538.85679667833,27587
564,2018-03-01,298844.571892192,303558.25896859117,308054.8506601544,27587
565,2018-04-01,300236.63970099593,304687.26582977443,309173.5196021143,27587
566,2018-04-30,300308.4823984593,304754.9159128658,309365.80001223617,27587
567,2018-05-31,301421.7325713944,306209.8229109874,310807.2424355997,27587
568,2018-06-30,302903.76396723185,307643.4589865001,312399.08299409115,27587
569,2018-07-31,303386.24519649753,308463.0098371166,312779.4569252009,27587
570,2018-08-31,304473.16902707814,309221.8151202721,314136.3456316945,27587
571,2018-09-30,305505.4100718186,310289.55442663416,315263.66590028023,27587
572,2018-10-31,305477.26734503126,310703.07910270104,316355.6636177988,27587
573,2018-11-30,305651.89498995227,311307.74039968394,316810.7793779375,27587
574,2018-12-31,305220.9904113627,311883.44378078246,318560.7276773745,27587
575,2019-01-31,305450.17057841446,312448.2232931224,319000.36065467866,27587
576,2019-02-28,311592.4160302577,319039.0686027066,326326.54431226663,27587
577,2019-03-31,306951.3684185347,314858.6982848562,322821.6460987679,27587
578,2019-04-30,307541.6528332536,316235.1201227956,325386.8915124033,27587
579,2019-05-31,308866.9606644858,317846.6950999823,328331.0138004965,27587
580,2019-06-30,308686.9834536231,319446.02020708506,330555.2161722483,27587
581,2019-07-31,308668.752199883,320240.32805152924,332426.1199452151,27587
582,2019-08-31,308459.2024834539,320962.5951969183,335498.02180351014,27587
583,2019-09-30,308355.5671692466,322071.08733687876,336119.9688016122,27587
584,2019-10-31,307318.7167007227,322369.95315227075,337665.63737777993,27587
585,2019-11-30,308209.101957381,322899.8564296781,339694.0615410668,27587
586,2019-12-31,307131.7505138093,323377.0603999112,341261.04029790335,27587
587,2020-01-31,306646.80820041755,323830.42713762453,343263.77744387387,27587
588,2020-02-29,310160.6899864062,328569.3090078296,349217.7945762191,27587
589,2020-03-31,307762.89880953066,327531.87095659453,348267.51650191314,27587
590,2020-04-30,307944.8118979765,328573.3429928506,351947.8060331624,27587
591,2020-05-31,308129.8804035895,329787.2324921215,354446.3142195402,27587
592,2020-06-30,307810.86381848017,330945.918830963,355617.80960021965,27587
593,2020-07-31,307632.0883610599,331782.0019925081,359898.7527013113,27587
594,2020-08-31,305531.7111265756,332577.5525587943,360812.63666946784,27587
595,2020-09-30,305558.0301990978,333570.2439771864,364442.1552174761,27587
596,2020-10-31,304539.99530499795,334128.51802856306,365428.0088789996,27587
597,2020-11-30,303636.425356847,334837.78673675965,368083.2654841631,27587
598,2020-12-31,302668.452115781,335565.15559860383,370836.71741076687,27587
599,2021-01-31,301956.1320452692,336333.0311266348,371579.8421672166,27587
600,2021-02-28,305425.81743400684,341154.3096221581,378321.0066392053,27587
601,2021-03-31,301356.6509210129,338901.1694714321,378236.29063780105,27587
863,2018-01-01,414255.0309567701,422241.8894816254,430930.01476692996,27519
864,2018-02-01,415462.8490194118,424229.77238538413,432865.96791766497,27519
865,2018-03-01,418039.5587513618,425758.0063675715,434048.6854897141,27519
866,2018-04-01,419432.91066083807,427433.0945612358,435199.76092791563,27519
867,2018-04-30,422052.4313542177,430389.56072636053,438119.50450054003,27519
868,2018-05-31,422140.5468158371,430450.3216411932,439258.073465289,27519
869,2018-06-30,422113.68603254243,430357.9127949423,438943.4506647758,27519
870,2018-07-31,424270.478745278,432502.54943837004,440956.9666564487,27519
871,2018-08-31,426812.3547858342,435030.25925112236,443535.8558300764,27519
872,2018-09-30,428726.29709720105,437641.5368162376,446119.25387644174,27519
873,2018-10-31,430751.0566297891,439589.87879925576,449042.49726255256,27519
874,2018-11-30,432001.63771751616,441065.2346720265,450146.70981933933,27519
875,2018-12-31,431637.0061310681,441147.9304216317,449874.6491618362,27519
876,2019-01-31,430128.7324595573,439964.91742272256,449552.58598730795,27519
877,2019-02-28,437100.54205449537,447355.52406912623,456809.318093091,27519
878,2019-03-31,437123.5610437623,447974.3917443889,457798.3776465794,27519
879,2019-04-30,439132.33144443255,450462.9030997786,462238.34650352,27519
880,2019-05-31,436859.68106210366,450100.17267111444,462176.3842119956,27519
881,2019-06-30,436651.37553501886,449612.80716341204,462562.29532567476,27519
882,2019-07-31,438107.47372512403,451915.5060511428,466021.9345134057,27519
883,2019-08-31,439519.135899903,454701.53807457926,469470.7694932795,27519
884,2019-09-30,440831.3356115528,457573.33674978686,472951.4826292525,27519
885,2019-10-31,442805.4043126178,459595.74341478024,477591.8474461061,27519
886,2019-11-30,442039.17108995124,460989.1598893006,478257.5184055477,27519
