,RegionName,City,State,Metro,CountyName,time,value,ds,yhat_lower,yhat,yhat_upper,Zip_code,log_value,log_yhat
0,27610,Raleigh,NC,Raleigh,Wake,1996-04-01,113000.0,1996-04-01,107047.0017399868,109481.03915039806,112034.44689236488,27610,11.635143097694478,11.603506654801185
1,27587,Wake Forest,NC,Raleigh,Wake,1996-04-01,200000.0,1996-04-01,183518.76717739183,188140.98405233523,192547.27910728182,27587,12.206072645530174,12.144946875938198
2,27519,Cary,NC,Raleigh,Wake,1996-04-01,223500.0,1996-04-01,211258.6577675574,219619.0718882714,226687.03223874627,27519,12.31716669303576,12.299649833153664
3,27603,Raleigh,NC,Raleigh,Wake,1996-04-01,138700.0,1996-04-01,127426.83225483546,131134.1388988443,134817.08297061207,27603,11.840068606302923,11.783976039352641
4,27606,Raleigh,NC,Raleigh,Wake,1996-04-01,149400.0,1996-04-01,142120.68350224925,146003.04394164513,149402.41202998842,27606,11.914382551680854,11.891382749388516
5,27529,Garner,NC,Raleigh,Wake,1996-04-01,116500.0,1996-04-01,108555.58905149311,111652.25822520949,114677.92811789826,27529,11.665646551987892,11.623144482994881
6,27616,Raleigh,NC,Raleigh,Wake,1996-04-01,118600.0,1996-04-01,111634.97877071562,114348.69243392364,117150.68390929015,27616,11.683511765545763,11.64700776461444
7,27613,Raleigh,NC,Raleigh,Wake,1996-04-01,182600.0,1996-04-01,177380.6380215044,182324.69108802054,187362.77143180041,27613,12.115053247143004,12.113544393557953
8,27526,Fuquay Varina,NC,Raleigh,Wake,1996-04-01,174000.0,1996-04-01,165548.066455975,169851.26402620008,174337.99795009443,27526,12.066810578196666,12.042678415575757
9,27615,Raleigh,NC,Raleigh,Wake,1996-04-01,160600.0,1996-04-01,151891.92242439676,156231.8558344563,160774.27755437762,27615,11.986672080494799,11.95909643819641
10,27612,Raleigh,NC,Raleigh,Wake,1996-04-01,165000.0,1996-04-01,157260.75291198754,164185.71569428724,171122.216097816,27612,12.013700752882718,12.008753478880681
11,27604,Raleigh,NC,Raleigh,Wake,1996-04-01,108500.0,1996-04-01,103167.91093176808,106366.94565638021,109622.48988369448,27604,11.594505451962652,11.574650146500272
12,27513,Cary,NC,Raleigh,Wake,1996-04-01,161500.0,1996-04-01,157604.34807141233,160184.86171937463,162554.1701935958,27513,11.992260421644849,11.984083813017614
13,27609,Raleigh,NC,Raleigh,Wake,1996-04-01,140800.0,1996-04-01,137948.6418673453,143639.34522249855,149030.65001877237,27609,11.855095722706078,11.875060889867491
14,27520,Clayton,NC,Raleigh,Johnston,1996-04-01,91200.0,1996-04-01,88079.2854450183,91870.46959738206,95319.98783145993,27520,11.420810176062423,11.42813492479465
15,27502,Apex,NC,Raleigh,Wake,1996-04-01,197600.0,1996-04-01,190427.66320969857,195238.7087485671,200060.53758421622,27502,12.194000064295905,12.181978236316885
16,27560,Morrisville,NC,Raleigh,Wake,1996-04-01,160500.0,1996-04-01,157877.38964654133,160143.6853571004,162174.73066420227,27560,11.986049221552207,11.983826724707022
17,27511,Cary,NC,Raleigh,Wake,1996-04-01,150100.0,1996-04-01,143819.8528438354,147071.8546298155,150139.21831370553,27511,11.919057017621553,11.898676553339193
18,27614,Raleigh,NC,Raleigh,Wake,1996-04-01,226600.0,1996-04-01,220083.86518981407,225440.44331467449,230913.62171522906,27614,12.330941627576044,12.32581129357253
19,27540,Holly Springs,NC,Raleigh,Wake,1996-04-01,213800.0,1996-04-01,204777.6855181946,209909.59245734863,214937.01841174584,27540,12.272796277573082,12.2544322048948
20,27545,Knightdale,NC,Raleigh,Wake,1996-04-01,114500.0,1996-04-01,108340.82332005842,111150.91715938614,113861.91316790758,27545,11.648330101976432,11.618644170904734
21,27577,Smithfield,NC,Raleigh,Johnston,1996-04-01,75600.0,1996-04-01,75897.06011670885,78731.86879533183,81717.09603854273,27577,11.233211562167625,11.273803292659556
22,27617,Raleigh,NC,Raleigh,Wake,1996-04-01,167900.0,1996-04-01,161522.5383630603,164539.30153078865,167274.49418738065,27617,12.031123843065632,12.010904735732682
23,27597,Zebulon,NC,Raleigh,Wake,1996-04-01,91500.0,1996-04-01,88968.33331803587,91372.71045760998,93930.52352796002,27597,11.424094251263613,11.422702140186695
24,27549,Louisburg,NC,Raleigh,Franklin,1996-04-01,60100.0,1996-04-01,53891.01117984855,57109.52109447344,60392.515079995515,27549,11.0037651205233,10.952726125955275
25,27527,Clayton,NC,Raleigh,Johnston,1996-04-01,130700.0,1996-04-01,132542.82973311344,137912.2654449147,143219.12902138647,27527,11.780659899612314,11.834373004314209
26,27607,Raleigh,NC,Raleigh,Wake,1996-04-01,162800.0,1996-04-01,156881.17122436993,163682.33197206887,169288.36143404484,27607,12.000277732550577,12.005682828225147
27,27518,Cary,NC,Raleigh,Wake,1996-04-01,235900.0,1996-04-01,230071.37004565497,233758.50977611903,237285.93026383547,27518,12.371163265395767,12.362043851947604
28,27539,Apex,NC,Raleigh,Wake,1996-04-01,222400.0,1996-04-01,213191.89979495728,219153.51020836388,224996.34408379148,27539,12.312232841358565,12.297527723096565
29,27591,Wendell,NC,Raleigh,Wake,1996-04-01,98500.0,1996-04-01,94670.66793998306,98131.17626916074,101774.90855305588,27591,11.49781182716018,11.494060395974318
30,27576,Selma,NC,Raleigh,Johnston,1996-04-01,62800.0,1996-04-01,61088.842267891996,64863.874833645474,68118.89849096988,27576,11.04771035245629,11.08004611957617
31,27596,Youngsville,NC,Raleigh,Franklin,1996-04-01,80000.0,1996-04-01,69933.8471444716,75377.9478570687,80326.37415800682,27596,11.289781913656018,11.230270042479583
32,27504,Benson,NC,Raleigh,Johnston,1996-04-01,82700.0,1996-04-01,79255.16787356228,83488.01888530952,88023.87428733372,27504,11.322974881011783,11.332458414140309
33,27592,Willow Spring,NC,Raleigh,Wake,1996-04-01,132200.0,1996-04-01,122106.36100269527,125523.1687364918,129278.43571056884,27592,11.792071206399722,11.74024563196153
34,27525,Franklinton,NC,Raleigh,Franklin,1996-04-01,76100.0,1996-04-01,69401.44556328675,73412.73839668064,76899.87508386504,27525,11.239803543849778,11.203852747183658
35,27524,Four Oaks,NC,Raleigh,Johnston,1996-04-01,75400.0,1996-04-01,71905.74911372288,76927.3187568035,82097.91717572775,27524,11.230562553996048,11.250616342820818
