,RegionName,City,State,Metro,CountyName,time,value,ds,yhat_lower,yhat,yhat_upper,Zip_code,log_value,log_yhat
0,95123,San Jose,CA,San Jose,Santa Clara,1996-04-01,224500.0,1996-04-01,164551.72138888057,203074.53425743844,239070.00668528755,95123,12.321630986164447,12.221328354465525
1,95051,Santa Clara,CA,San Jose,Santa Clara,1996-04-01,258700.0,1996-04-01,186057.94580781998,234901.94105410576,285543.587347253,95051,12.46342436817412,12.366923433933875
2,95035,Milpitas,CA,San Jose,Santa Clara,1996-04-01,231100.0,1996-04-01,180931.0301673102,216091.90648459925,254669.18800131936,95035,12.350605796262473,12.283459089154087
3,95014,Cupertino,CA,San Jose,Santa Clara,1996-04-01,432400.0,1996-04-01,290244.02605179313,392630.5176380299,489111.89036967163,95014,12.97710636474719,12.880624289943169
4,95112,San Jose,CA,San Jose,Santa Clara,1996-04-01,186800.0,1996-04-01,118638.54308739652,160044.7002519824,200127.70189482614,95112,12.13779380477688,11.983208431772486
5,94087,Sunnyvale,CA,San Jose,Santa Clara,1996-04-01,361300.0,1996-04-01,261796.07887734487,337654.552053181,416211.6674231993,94087,12.797463917135731,12.729778616485282
6,95125,San Jose,CA,San Jose,Santa Clara,1996-04-01,286000.0,1996-04-01,211993.4137278398,264751.4215079164,312577.1013770546,95125,12.56374708980199,12.486546632695381
7,94086,Sunnyvale,CA,San Jose,Santa Clara,1996-04-01,310400.0,1996-04-01,216767.94398170515,285451.8348818147,357363.6349503768,94086,12.645617067291202,12.561828589404026
8,95008,Campbell,CA,San Jose,Santa Clara,1996-04-01,262100.0,1996-04-01,177818.50534882463,236365.06308687318,285114.2671680783,95008,12.476481389311498,12.373132766311894
9,95020,Gilroy,CA,San Jose,Santa Clara,1996-04-01,238000.0,1996-04-01,201168.79523901528,224427.10331336543,244211.10808283795,95020,12.380025952653611,12.321306226591066
10,95124,San Jose,CA,San Jose,Santa Clara,1996-04-01,249700.0,1996-04-01,184126.3023555387,226627.97787318545,273912.67438220105,95124,12.428015476267865,12.331065088062099
11,95037,Morgan Hill,CA,San Jose,Santa Clara,1996-04-01,314800.0,1996-04-01,273700.6859248184,303128.62159224093,331306.908286531,95037,12.659692795525386,12.621912488123309
12,95136,San Jose,CA,San Jose,Santa Clara,1996-04-01,242500.0,1996-04-01,179541.60042597007,217773.93420915806,257222.82640518076,95136,12.398756989359676,12.291212804675155
13,95127,San Jose,CA,San Jose,Santa Clara,1996-04-01,187400.0,1996-04-01,158557.15813120257,178507.92819651103,198554.44562444472,95127,12.14100064878646,12.092388294882213
14,95111,San Jose,CA,San Jose,Santa Clara,1996-04-01,188200.0,1996-04-01,148958.31243247268,174395.47154363155,201108.28069154912,95111,12.145260506133416,12.069080824200352
15,95023,Hollister,CA,San Jose,San Benito,1996-04-01,203700.0,1996-04-01,130697.0067080576,189312.9257493237,247673.34725595993,95023,12.224403602214897,12.15115661669053
16,94040,Mountain View,CA,San Jose,Santa Clara,1996-04-01,413200.0,1996-04-01,291640.3044387928,380334.79248385207,490227.1227470356,94040,12.93168701622762,12.848807176673175
17,95050,Santa Clara,CA,San Jose,Santa Clara,1996-04-01,236900.0,1996-04-01,166300.84782161622,216967.6410631366,271314.7720623586,95050,12.375393390146877,12.287503501878458
18,95126,San Jose,CA,San Jose,Santa Clara,1996-04-01,245400.0,1996-04-01,182482.6822477261,228103.16474513838,270705.26149593864,95126,12.410644811258948,12.337553282552111
19,94303,Palo Alto,CA,San Jose,Santa Clara,1996-04-01,374300.0,1996-04-01,248788.54001282767,341121.9309942848,439458.71343751915,94303,12.83281289389252,12.739995261251327
20,95129,San Jose,CA,San Jose,Santa Clara,1996-04-01,325800.0,1996-04-01,224781.71472476653,308256.9028298128,393737.7616820723,95129,12.694038975150082,12.638688814384334
21,95128,San Jose,CA,San Jose,Santa Clara,1996-04-01,233700.0,1996-04-01,164794.2588903382,213070.9856549189,265829.291639298,95128,12.36179352052695,12.269380655156324
22,95134,San Jose,CA,San Jose,Santa Clara,1996-04-01,254500.0,1996-04-01,143637.88070041584,238169.1807492789,341544.9063196362,95134,12.447056114972714,12.380736543608412
23,94043,Mountain View,CA,San Jose,Santa Clara,1996-04-01,291700.0,1996-04-01,200987.45372761777,270050.599756662,336157.7186717539,94043,12.583481155855813,12.506364626928262
24,95116,San Jose,CA,San Jose,Santa Clara,1996-04-01,170600.0,1996-04-01,123927.45673511518,153595.97670098866,182916.35479789315,95116,12.047076914039716,11.942080905999719
25,95120,San Jose,CA,San Jose,Santa Clara,1996-04-01,365400.0,1996-04-01,268063.84130550927,335532.34599249234,404291.3524422846,95120,12.808747922926043,12.723473642050603
26,95122,San Jose,CA,San Jose,Santa Clara,1996-04-01,170800.0,1996-04-01,143791.93572797082,161995.65657914663,181162.31753123,95122,12.048248560336607,11.995324802615258
27,95070,Saratoga,CA,San Jose,Santa Clara,1996-04-01,633800.0,1996-04-01,542227.7800390989,613670.5029577896,686077.209549338,95070,13.359488726238958,13.327213422952534
28,94306,Palo Alto,CA,San Jose,Santa Clara,1996-04-01,440600.0,1996-04-01,262854.97469622514,393134.5292050059,508088.4097828375,94306,12.99589271335038,12.881907145774242
29,95132,San Jose,CA,San Jose,Santa Clara,1996-04-01,233400.0,1996-04-01,179424.275809979,215305.8093332084,251538.83691514254,95132,12.360508998834593,12.279814665492884
30,95148,San Jose,CA,San Jose,Santa Clara,1996-04-01,237500.0,1996-04-01,189390.94738079526,221164.24847160155,253706.13207395966,95148,12.377922902456833,12.306660910213107
31,95118,San Jose,CA,San Jose,Santa Clara,1996-04-01,234600.0,1996-04-01,162891.7471033091,211886.70293324717,267810.3652663295,95118,12.365637215201511,12.263806990674624
32,95032,Los Gatos,CA,San Jose,Santa Clara,1996-04-01,427400.0,1996-04-01,367137.08656002895,415623.07640540984,462480.40376564075,95032,12.965475621867185,12.937534062184035
33,95117,San Jose,CA,San Jose,Santa Clara,1996-04-01,266100.0,1996-04-01,191609.78734189857,245603.41485354764,304942.91577350645,95117,12.49162745696578,12.411473379285285
34,95121,San Jose,CA,San Jose,Santa Clara,1996-04-01,212600.0,1996-04-01,166150.91018923788,196983.3049711127,227175.3664640669,95121,12.267167744889985,12.190874257789423
35,95131,San Jose,CA,San Jose,Santa Clara,1996-04-01,243900.0,1996-04-01,193662.82797209563,230615.3751803011,268359.9708056251,95131,12.404513584204011,12.348506559270506
36,95133,San Jose,CA,San Jose,Santa Clara,1996-04-01,233300.0,1996-04-01,196314.22812654873,222808.0520859059,248595.41389141997,95133,12.360080458009522,12.314065926803698
37,95054,Santa Clara,CA,San Jose,Santa Clara,1996-04-01,240200.0,1996-04-01,159499.43165161082,214631.43606907004,264883.5585166059,95054,12.38922718862802,12.276677585258932
38,94089,Sunnyvale,CA,San Jose,Santa Clara,1996-04-01,206600.0,1996-04-01,172598.42660207307,198686.2393474613,225995.6972605081,94089,12.238539835667675,12.199482172731923
39,94024,Los Altos,CA,San Jose,Santa Clara,1996-04-01,612200.0,1996-04-01,483137.15539749153,579256.1120497611,673481.5656240799,94024,13.32481430549345,13.269499993900173
40,94301,Palo Alto,CA,San Jose,Santa Clara,1996-04-01,709500.0,1996-04-01,596408.1422591915,694060.1788615867,797445.0414958675,94301,13.472315775582235,13.450313948786624
41,94022,Los Altos,CA,San Jose,Santa Clara,1996-04-01,795600.0,1996-04-01,622163.1377656017,751953.2441600607,886808.2573142895,94022,13.586851825961954,13.530429425679943
42,95135,San Jose,CA,San Jose,Santa Clara,1996-04-01,371600.0,1996-04-01,277736.2636448664,341085.50639532687,400458.0563806793,95135,12.82557328592182,12.739888476725106
43,94041,Mountain View,CA,San Jose,Santa Clara,1996-04-01,339200.0,1996-04-01,222576.62128047636,301513.2479267781,379942.99507109437,94041,12.734345182899885,12.61656923423969
44,95110,San Jose,CA,San Jose,Santa Clara,1996-04-01,181000.0,1996-04-01,152640.10073129993,172581.56737704418,190822.7709037472,95110,12.106252310247962,12.058625258052835
45,95138,San Jose,CA,San Jose,Santa Clara,1996-04-01,389900.0,1996-04-01,333027.56403176725,371051.8936663173,413421.7056080097,95138,12.87364557497069,12.824097206919328
46,95030,Los Gatos,CA,San Jose,Santa Clara,1996-04-01,660200.0,1996-04-01,500666.54809415614,624996.1081534808,746347.4338238928,95030,13.40029809840123,13.34550070174472
47,95130,San Jose,CA,San Jose,Santa Clara,1996-04-01,254700.0,1996-04-01,182186.5590148162,234803.02118320408,290674.4676327167,95130,12.447841660967548,12.36650223390272
48,94305,Stanford,CA,San Jose,Santa Clara,1996-04-01,736900.0,1996-04-01,624793.9523647883,719072.7975387352,821794.4549210264,94305,13.51020747675509,13.485717879893267
49,95033,Lexington Hills,CA,San Jose,Santa Clara,1996-04-01,379100.0,1996-04-01,330299.3242563391,372200.6727337831,412500.30298460013,95033,12.845555301504426,12.827188430641053
50,95119,San Jose,CA,San Jose,Santa Clara,1996-04-01,229400.0,1996-04-01,158466.2474425085,203328.5778618711,247626.0004677546,95119,12.343222483677406,12.222578559643322
