,ds,yhat_lower,yhat,yhat_upper,Zip_code
261,2018-01-01,903654.792738378,942043.5391548591,975268.97557191,95123
262,2018-02-01,912654.8896513964,949124.6190227432,986075.7928236523,95123
263,2018-03-01,922486.633925316,956336.0800446881,994943.7647921243,95123
264,2018-04-01,924005.9780182505,963149.5440012431,1002834.6989861773,95123
265,2018-04-30,924430.8011047672,960477.7986452774,998671.3062767,95123
266,2018-05-31,932042.6741392587,968885.5519938669,1006169.4001171879,95123
267,2018-06-30,940777.9705443212,976565.1916499621,1013664.4136708347,95123
268,2018-07-31,948065.8640127574,984367.9358506312,1020563.0717810495,95123
269,2018-08-31,957021.5997448362,993129.3751501895,1030282.0233979796,95123
270,2018-09-30,962623.4749667172,1000717.8857314665,1036844.5422972271,95123
271,2018-10-31,968078.7456206027,1006380.1191955784,1043489.6370735483,95123
272,2018-11-30,974516.4309542,1008866.5165469063,1047627.8232277741,95123
273,2018-12-31,978733.5418650992,1011226.6631134422,1049901.5238251968,95123
274,2019-01-31,980951.36324995,1016591.4631174972,1052109.4825415865,95123
275,2019-02-28,1009583.4490603767,1046240.7547023563,1083637.7734145182,95123
276,2019-03-31,1004075.2686766535,1042283.7426348975,1080832.7583611328,95123
277,2019-04-30,998004.8611403608,1035472.3938565127,1073334.0012664162,95123
278,2019-05-31,1008612.6380088523,1044336.0718902007,1084981.8796480421,95123
279,2019-06-30,1016457.5956275124,1052331.9890771965,1089948.6209505906,95123
280,2019-07-31,1020377.7513255589,1060452.8155920887,1101627.782858996,95123
281,2019-08-31,1027375.3053209642,1069728.3106063972,1110162.912187021,95123
282,2019-09-30,1038335.0268313796,1077549.3894042107,1115448.9296192185,95123
283,2019-10-31,1044454.7356093215,1082966.4593216423,1122310.6996309012,95123
284,2019-11-30,1042414.9180533421,1084519.4124683298,1128999.5417854362,95123
285,2019-12-31,1044961.9778442021,1085966.5722448814,1127305.2637989884,95123
286,2020-01-31,1049952.017616765,1091188.7200377777,1136338.4178131032,95123
287,2020-02-29,1072381.0854347912,1114087.217168251,1162458.6920702264,95123
288,2020-03-31,1072955.5687579366,1116807.7432943785,1163014.6819616293,95123
289,2020-04-30,1070577.098283495,1115014.041472253,1163680.6744676288,95123
290,2020-05-31,1074626.8160321335,1122606.197062672,1167338.921474026,95123
291,2020-06-30,1080122.809178765,1129697.584816099,1182566.4261725813,95123
292,2020-07-31,1082449.1663055876,1136881.337046931,1187637.3084173482,95123
293,2020-08-31,1089966.9486968894,1144594.540195495,1193513.3590695276,95123
294,2020-09-30,1104241.8693723513,1151647.6569260615,1202227.2831085226,95123
295,2020-10-31,1104318.3489116973,1157732.3467487262,1210899.7017632837,95123
296,2020-11-30,1109581.8191193927,1162070.7726403128,1218396.145036467,95123
297,2020-12-31,1112897.6472065134,1166345.7271853292,1221354.99365864,95123
298,2021-01-31,1113535.0313151241,1172194.8830313254,1229263.2597650383,95123
299,2021-02-28,1133427.8345561882,1192993.7949109727,1248993.2609915684,95123
300,2021-03-31,1135363.4592191076,1193558.120454695,1254355.3625371193,95123
562,2018-01-01,1339758.8191753512,1391012.455852919,1441567.8201623368,95051
563,2018-02-01,1355122.8222583313,1403860.8747074206,1460052.2640276754,95051
564,2018-03-01,1363799.5642648528,1417241.67854633,1469407.7160941872,95051
565,2018-04-01,1381029.192265182,1429910.9695324409,1477140.9333610993,95051
566,2018-04-30,1378990.379260105,1425536.342989039,1479613.0165396577,95051
567,2018-05-31,1392273.2890581018,1441604.977990253,1493963.161431645,95051
568,2018-06-30,1406990.6152192075,1457100.5782520722,1508564.3261758354,95051
569,2018-07-31,1418244.1064076938,1472773.8801502553,1523868.0366053586,95051
570,2018-08-31,1440659.9089589373,1488899.1342887739,1539781.6631565108,95051
571,2018-09-30,1450747.9865379042,1501910.9549297525,1553875.0048746255,95051
