,ds,yhat_lower,yhat,yhat_upper,Zip_code
261,2018-01-01,907667.777649813,944219.3919121933,985035.6055963467,95123
262,2018-02-01,916131.9349296404,953247.6851333117,991331.3877449069,95123
263,2018-03-01,924592.0634998569,961848.0730566141,1001751.1410079466,95123
264,2018-04-01,932103.8670766917,968270.9587050686,1006093.1943033462,95123
265,2018-04-30,919393.1420409863,955728.7615762142,990566.1630726296,95123
266,2018-05-31,918777.4114471176,957445.5320223061,997085.8397783217,95123
267,2018-06-30,935862.9720543929,973567.7613348466,1014170.262436538,95123
268,2018-07-31,945889.2067615696,981508.2063580588,1021289.4906158289,95123
269,2018-08-31,952658.079209406,990770.8125061791,1030215.755139647,95123
270,2018-09-30,971831.7153379582,1009578.0683984762,1050316.1231767293,95123
271,2018-10-31,968321.6333557754,1009235.3134958642,1046797.8164800621,95123
272,2018-11-30,973592.3102827965,1014035.6809515466,1052780.5334430796,95123
273,2018-12-31,963539.805590164,1004267.5058921075,1047178.461445138,95123
274,2019-01-31,951237.4065588346,994671.9257755978,1039724.6557233667,95123
275,2019-02-28,1031123.0182782073,1077237.4720302143,1124015.112622672,95123
276,2019-03-31,1013682.4281003842,1060756.8390500487,1107090.8515680109,95123
277,2019-04-30,977723.646209711,1029243.6327885982,1078781.2323047759,95123
278,2019-05-31,980227.6610435538,1029561.5351473949,1078525.6087479303,95123
279,2019-06-30,996643.0636998308,1048849.6136251225,1099478.769306399,95123
280,2019-07-31,1000544.1262956203,1057180.6992680351,1114730.7720208012,95123
281,2019-08-31,1006215.9160580884,1067368.426147081,1131606.966499392,95123
282,2019-09-30,1022017.7401221906,1089837.5865902118,1153349.478730917,95123
283,2019-10-31,1017210.1458952618,1087120.2229195174,1151401.09927861,95123
284,2019-11-30,1024136.2196896662,1090945.4679937358,1159169.7153822435,95123
285,2019-12-31,1003681.7106295155,1075873.8419817812,1151218.027483544,95123
286,2020-01-31,978587.6253301062,1061792.8943220864,1143709.7180939743,95123
287,2020-02-29,1049504.534105609,1132122.274112517,1212758.4487766721,95123
288,2020-03-31,1040443.0991716126,1129422.8101261077,1215556.532885583,95123
289,2020-04-30,1014054.6135432059,1110955.7103607806,1205077.0584839634,95123
290,2020-05-31,1019139.6250897285,1114483.6905506288,1212268.557862259,95123
291,2020-06-30,1019706.6875937135,1127226.4383006366,1225558.5882775018,95123
292,2020-07-31,1023524.9413925989,1134826.8824194826,1244887.1218669228,95123
293,2020-08-31,1035584.3147059508,1143048.4430089914,1257379.2347688156,95123
294,2020-09-30,1039995.0477327786,1157763.6991220384,1278030.799060149,95123
295,2020-10-31,1028382.000672984,1160109.756683622,1287604.4159249687,95123
296,2020-11-30,1037736.7257599864,1166382.0265042954,1291366.904369143,95123
297,2020-12-31,1026748.387534304,1163020.7268308965,1305514.2109235972,95123
298,2021-01-31,1020549.3475832131,1158885.866526167,1290700.6545205982,95123
299,2021-02-28,1072954.554301198,1219133.0423678046,1376986.3926575817,95123
300,2021-03-31,1050351.486117758,1210526.9154572824,1371375.6474316858,95123
562,2018-01-01,1349649.7938441213,1398279.6347833085,1444160.0903238077,95051
563,2018-02-01,1363015.348658632,1413864.8475979615,1459889.4857112211,95051
564,2018-03-01,1385900.6429092316,1431521.574732981,1480097.7367071863,95051
565,2018-04-01,1391097.8669434744,1443714.6845215247,1490266.6589254264,95051
566,2018-04-30,1348113.146898488,1396054.635010287,1446443.9297773524,95051
567,2018-05-31,1363643.7624207113,1412111.1689199735,1463429.475602491,95051
568,2018-06-30,1395777.6318133748,1445758.8076244304,1495038.82442209,95051
569,2018-07-31,1424590.4636810368,1469288.9985089824,1523461.3945736657,95051
570,2018-08-31,1440521.3410590051,1490243.5556044474,1540098.873533745,95051
571,2018-09-30,1465175.4355107944,1516139.336371809,1564019.075560748,95051
572,2018-10-31,1468954.8545983203,1519762.6076740797,1569305.0360495371,95051
573,2018-11-30,1470858.4774602293,1524929.8537140917,1576773.6025712385,95051
574,2018-12-31,1456887.1110351414,1511250.495351,1566004.1218177609,95051
575,2019-01-31,1460710.7218538448,1513028.1209527054,1568014.5951387251,95051
576,2019-02-28,1595642.935076452,1647726.0137046007,1705196.191373326,95051
577,2019-03-31,1571595.7240508816,1629902.9546449676,1688217.915516107,95051
578,2019-04-30,1473941.7620592676,1531394.8375121085,1598249.0883787915,95051
579,2019-05-31,1489011.1226097858,1549304.8665574987,1614244.9202040134,95051
580,2019-06-30,1528330.299085316,1590157.7982310855,1659432.5115704436,95051
581,2019-07-31,1548688.1233920096,1616784.8886224525,1678829.1315513784,95051
582,2019-08-31,1571241.889716124,1639764.2031242554,1714892.067064771,95051
583,2019-09-30,1593929.7445077037,1669165.4659751826,1747093.7576467362,95051
584,2019-10-31,1591965.073299144,1668880.5347540395,1756208.70955241,95051
585,2019-11-30,1588734.4570462147,1670799.7010107653,1757867.3538788192,95051
586,2019-12-31,1561645.2424792035,1648047.5858297003,1741426.381954387,95051
587,2020-01-31,1561951.2307632747,1646947.771460817,1741281.7196943308,95051
588,2020-02-29,1657369.8430450691,1758310.4029554927,1865191.8555874075,95051
