,RegionName,City,State,Metro,CountyName,time,value,ds,yhat_lower,yhat,yhat_upper,Zip_code,log_value,log_yhat
0,95123,San Jose,CA,San Jose,Santa Clara,1996-04-01,224500.0,1996-04-01,162942.0910236018,201836.26974208845,239866.89593887472,95123,12.321630986164447,12.21521210188221
1,95051,Santa Clara,CA,San Jose,Santa Clara,1996-04-01,258700.0,1996-04-01,183716.62330743618,232888.57484345714,282013.5235353522,95051,12.46342436817412,12.35831539860842
2,95035,Milpitas,CA,San Jose,Santa Clara,1996-04-01,231100.0,1996-04-01,182070.2552243399,217317.17157438482,253225.475643631,95035,12.350605796262473,12.289113185554005
3,95014,Cupertino,CA,San Jose,Santa Clara,1996-04-01,432400.0,1996-04-01,301715.4709566974,389023.263268722,478935.86463633645,95014,12.97710636474719,12.871394423559828
4,95112,San Jose,CA,San Jose,Santa Clara,1996-04-01,186800.0,1996-04-01,117915.82205126066,158219.79991091407,199431.32790186937,95112,12.13779380477688,11.971740483948839
5,94087,Sunnyvale,CA,San Jose,Santa Clara,1996-04-01,361300.0,1996-04-01,262773.07439963357,335290.95834884315,411499.102359349,94087,12.797463917135731,12.722753966235809
6,95125,San Jose,CA,San Jose,Santa Clara,1996-04-01,286000.0,1996-04-01,215015.00486169828,262567.182972588,313178.993474493,95125,12.56374708980199,12.478262263401675
7,94086,Sunnyvale,CA,San Jose,Santa Clara,1996-04-01,310400.0,1996-04-01,214376.08478642648,283162.6309155758,348762.5481013094,94086,12.645617067291202,12.553776679113417
8,95008,Campbell,CA,San Jose,Santa Clara,1996-04-01,262100.0,1996-04-01,178710.2213722997,235156.39620000133,288845.45112127723,95008,12.476481389311498,12.368006087513585
9,95020,Gilroy,CA,San Jose,Santa Clara,1996-04-01,238000.0,1996-04-01,195673.33783359715,222485.31095525296,248244.4827162221,95020,12.380025952653611,12.312616360230498
10,95124,San Jose,CA,San Jose,Santa Clara,1996-04-01,249700.0,1996-04-01,180672.18395838025,224931.30762559528,270107.7844622715,95124,12.428015476267865,12.323550335131396
11,95037,Morgan Hill,CA,San Jose,Santa Clara,1996-04-01,314800.0,1996-04-01,270898.25878006936,300645.4889881923,328276.30214315373,95037,12.659692795525386,12.613687072158218
12,95136,San Jose,CA,San Jose,Santa Clara,1996-04-01,242500.0,1996-04-01,175139.41404824785,214969.70392985118,256964.16678320034,95136,12.398756989359676,12.278252385226597
13,95127,San Jose,CA,San Jose,Santa Clara,1996-04-01,187400.0,1996-04-01,146926.1004728647,173472.94401600902,199408.7423869793,95127,12.14100064878646,12.063776923937949
14,95111,San Jose,CA,San Jose,Santa Clara,1996-04-01,188200.0,1996-04-01,142202.12425107477,170016.89613534714,199370.6578539777,95111,12.145260506133416,12.04365310012509
15,95023,Hollister,CA,San Jose,San Benito,1996-04-01,203700.0,1996-04-01,127863.53388801639,189291.04949549196,250604.34611492514,95023,12.224403602214897,12.151041053963848
16,94040,Mountain View,CA,San Jose,Santa Clara,1996-04-01,413200.0,1996-04-01,284793.67032402626,376664.2773119669,470973.72497004975,94040,12.93168701622762,12.839109558580738
17,95050,Santa Clara,CA,San Jose,Santa Clara,1996-04-01,236900.0,1996-04-01,161371.16532639402,213661.9330924956,265898.8636346564,95050,12.375393390146877,12.272150292976013
18,95126,San Jose,CA,San Jose,Santa Clara,1996-04-01,245400.0,1996-04-01,177567.1678456776,224645.8844343228,270476.3860248633,95126,12.410644811258948,12.322280594429861
19,94303,Palo Alto,CA,San Jose,Santa Clara,1996-04-01,374300.0,1996-04-01,243099.4490638566,338820.1855502308,438569.80068893015,94303,12.83281289389252,12.733224819531381
