,ds,yhat_lower,yhat,yhat_upper,Zip_code
261,2018-01-01,466720.86424387706,524256.5295571675,589243.2056059007,95023
262,2018-02-01,472304.6706329077,527774.2941688782,587793.6468301805,95023
263,2018-03-01,470039.61733601737,531625.8459909521,585837.6923907738,95023
264,2018-04-01,471641.2677744998,533372.9956992314,589331.4152317208,95023
265,2018-04-30,473112.49488896894,533342.3777937932,589171.7062047813,95023
266,2018-05-31,475912.80327712337,535255.12065915,593366.828403977,95023
267,2018-06-30,477532.33280914125,539701.3876913566,599384.9598615624,95023
268,2018-07-31,483778.0389450324,544681.5287044523,603753.1587568534,95023
269,2018-08-31,485817.8575583976,549877.8310199841,606160.5581689616,95023
270,2018-09-30,492757.236610015,555357.6988672034,612740.4380896814,95023
271,2018-10-31,497558.4243785221,556863.0969208812,614695.1827005224,95023
272,2018-11-30,493335.7436890994,555132.0318701646,609713.7413002488,95023
273,2018-12-31,487102.94098026183,550532.4688597453,613138.0841237206,95023
274,2019-01-31,486250.03325138486,545076.4893404485,603746.6377484499,95023
275,2019-02-28,528007.0779558349,591004.4769704287,658157.2209004702,95023
276,2019-03-31,509903.2393408968,569570.5959112416,631008.7625464045,95023
277,2019-04-30,505659.2163151266,567400.3131831094,624934.3605350464,95023
278,2019-05-31,507274.493230322,569174.1555054195,627915.9736007696,95023
279,2019-06-30,512601.18643551436,574067.6606157733,637242.4469717981,95023
280,2019-07-31,511546.22684077633,579579.1537609133,645889.1813237757,95023
281,2019-08-31,520740.9869103275,585370.4974093639,648017.980413482,95023
282,2019-09-30,529600.2889019352,591437.520446843,659946.6287379599,95023
283,2019-10-31,523062.4301764405,592642.5324173432,662954.0937640821,95023
284,2019-11-30,516344.1279593373,589858.1354112268,659778.7683857491,95023
285,2019-12-31,513352.6250308794,583699.7116082207,650968.2567195941,95023
286,2020-01-31,501689.4640523548,576812.7819780342,651590.3576251388,95023
287,2020-02-29,536419.8578893043,611284.2877903129,682948.2904874036,95023
288,2020-03-31,523537.0300767494,604071.2534078347,686095.2308909532,95023
289,2020-04-30,523128.8420406296,605106.2464199811,679763.6095058197,95023
290,2020-05-31,523587.2674001564,607402.2989866751,688369.7530168613,95023
291,2020-06-30,528356.2576325792,611041.1609823724,697487.0621602857,95023
292,2020-07-31,529301.7723406331,614987.9523055507,703237.6941594699,95023
293,2020-08-31,530138.5998312288,618978.9403588801,706977.6641553063,95023
294,2020-09-30,529050.5352294389,623193.3438586751,719520.5385108646,95023
295,2020-10-31,532424.6340861275,625198.671410224,720620.2311410703,95023
296,2020-11-30,531876.6580645706,625520.6705237431,727682.6545657696,95023
297,2020-12-31,522041.210486167,624120.5661231951,723448.3253427786,95023
298,2021-01-31,519988.64261887333,621891.2642917314,730328.3469869323,95023
299,2021-02-28,538806.8919389643,651165.7667284544,764603.993548611,95023
300,2021-03-31,530720.9041685396,639312.547750579,747410.4684329801,95023
301,2021-04-30,523077.1367481048,639245.5793264824,761264.123819746,95023
302,2021-05-31,523524.1287156544,641332.555164763,759187.8975247038,95023
303,2021-06-30,520542.505202353,645360.3941804937,766260.9518381049,95023
304,2021-07-31,520651.28014794464,649818.63485811,782696.9792205745,95023
305,2021-08-31,525366.7959430513,654414.4464335266,792585.2481327339,95023
306,2021-09-30,523824.9785419168,659276.4832290638,796557.7975456407,95023
307,2021-10-31,526800.10744346,661048.832939793,808736.8453450155,95023
308,2021-11-30,515490.794523118,660353.9324567948,799007.0268224194,95023
309,2021-12-31,503547.49846254964,657341.2849787322,808155.3079217079,95023
310,2022-01-31,506347.07768755715,653437.8889872816,806675.3793794031,95023
311,2022-02-28,542412.1089516071,691074.7501912505,847924.1284223748,95023
312,2022-03-31,525994.613046676,674479.8597292945,837455.2548426013,95023
313,2022-04-30,513865.1137560211,673343.5575396973,838761.4739149711,95023
314,2022-05-31,505388.92258873594,675256.300405048,843988.888601091,95023
315,2022-06-30,511994.2509488072,679702.5674372443,847178.4955859242,95023
316,2022-07-31,508543.69843962725,684682.7084503561,860886.6393187544,95023
317,2022-08-31,504322.16820081417,689879.010765899,872680.1134175404,95023
318,2022-09-30,509670.75829326216,695358.8786131083,878449.0750161103,95023
319,2022-10-31,509118.1110372179,696864.2766667926,878722.8990918054,95023
320,2022-11-30,504213.0164053986,695133.211616078,889958.0221918917,95023
321,2022-12-31,490961.5954593087,690533.6486056468,892415.6329457008,95023
322,2023-01-31,470433.8861883364,685077.6690863721,886860.925524908,95023
323,2023-02-28,503614.0537184227,731005.6567163382,942506.083149332,95023
324,2023-03-31,483763.5226832386,709571.7756571394,919492.1194322492,95023
325,2023-04-30,483714.6120529906,707401.4929290029,936644.5683594213,95023
326,2023-05-31,479239.5923963704,709175.3352513447,938492.3418371268,95023
327,2023-06-30,488670.1942033732,714068.8403616614,951738.594314727,95023
328,2023-07-31,493759.8858022918,719580.333506827,952445.7487258994,95023
329,2023-08-31,466464.71007594076,725371.6771552957,974957.0626826664,95023
330,2023-09-30,481466.4650547451,731438.7001927643,978257.4513516615,95023
331,2023-10-31,490381.12862077594,732643.7121632547,992162.029067201,95023
332,2023-11-30,471314.09929309326,729859.3151571314,994974.4353732677,95023
333,2023-12-31,456608.8032165313,723700.8913541122,989727.4223942911,95023
334,2024-01-31,451931.0163416082,716813.9617239542,982476.6189267816,95023
335,2024-02-29,477969.9007000436,751285.4675362257,1039254.5436521274,95023
336,2024-03-31,460052.3962322882,744072.4331537543,1028240.334528609,95023
337,2024-04-30,468917.5972909198,745107.4261658741,1035948.7533765895,95023
338,2024-05-31,464634.20987976255,747403.4787325852,1044854.9329018919,95023
339,2024-06-30,455629.68266758136,751042.3407282471,1053573.9495870078,95023
340,2024-07-31,435407.2073205071,754989.132051461,1051861.710557459,95023
341,2024-08-31,460976.93218273245,758980.1201047762,1068095.9761045058,95023
