,RegionName,City,State,Metro,CountyName,time,value,ds,yhat_lower,yhat,yhat_upper,Zip_code,log_value,log_yhat
0,95123,San Jose,CA,San Jose,Santa Clara,1996-04-01,224500.0,1996-04-01,222309.7863355545,223877.04815003238,225313.08137085137,95123,12.321630986164447,12.318852287953359
1,95051,Santa Clara,CA,San Jose,Santa Clara,1996-04-01,258700.0,1996-04-01,255054.04726120693,257824.82150628592,260643.60353375124,95051,12.46342436817412,12.460035646878342
2,95035,Milpitas,CA,San Jose,Santa Clara,1996-04-01,231100.0,1996-04-01,226408.55124981815,230646.4091511107,234382.99357683733,95035,12.350605796262473,12.348641120475923
3,95014,Cupertino,CA,San Jose,Santa Clara,1996-04-01,432400.0,1996-04-01,426147.74899145914,430554.21569678606,435197.18650508503,95014,12.97710636474719,12.972828531498477
4,95112,San Jose,CA,San Jose,Santa Clara,1996-04-01,186800.0,1996-04-01,183567.01785303457,185744.12801775723,187796.49309758408,95112,12.13779380477688,12.13212534979369
5,94087,Sunnyvale,CA,San Jose,Santa Clara,1996-04-01,361300.0,1996-04-01,356434.60482803266,360071.7880113981,363680.9973496193,94087,12.797463917135731,12.794058701695306
6,95125,San Jose,CA,San Jose,Santa Clara,1996-04-01,286000.0,1996-04-01,282160.69318852795,285192.36038477544,288079.4801440295,95125,12.56374708980199,12.560919180293851
7,94086,Sunnyvale,CA,San Jose,Santa Clara,1996-04-01,310400.0,1996-04-01,305714.07200450567,309725.5789479142,313692.31311805313,94086,12.645617067291202,12.6434419552143
8,95008,Campbell,CA,San Jose,Santa Clara,1996-04-01,262100.0,1996-04-01,258284.20926926014,261162.46137448572,264141.88207145775,95008,12.476481389311498,12.472897950032102
9,95020,Gilroy,CA,San Jose,Santa Clara,1996-04-01,238000.0,1996-04-01,235844.34953383682,237686.96872460435,239441.79354399588,95020,12.380025952653611,12.378709829483702
10,95124,San Jose,CA,San Jose,Santa Clara,1996-04-01,249700.0,1996-04-01,245401.35935155762,248710.5640517956,251801.9593093563,95124,12.428015476267865,12.42404510597741
11,95037,Morgan Hill,CA,San Jose,Santa Clara,1996-04-01,314800.0,1996-04-01,312303.22115349484,314082.5014167971,315939.29011741054,95037,12.659692795525386,12.657410973744993
12,95136,San Jose,CA,San Jose,Santa Clara,1996-04-01,242500.0,1996-04-01,239506.8994526314,241838.78322605646,244190.03107471264,95136,12.398756989359676,12.396026598122688
13,95127,San Jose,CA,San Jose,Santa Clara,1996-04-01,187400.0,1996-04-01,185581.84359371706,186984.20364774793,188558.44354531815,95127,12.14100064878646,12.138779419796787
14,95111,San Jose,CA,San Jose,Santa Clara,1996-04-01,188200.0,1996-04-01,185732.1734610268,187443.28058338008,189220.11704492974,95111,12.145260506133416,12.141231575073867
15,95023,Hollister,CA,San Jose,San Benito,1996-04-01,203700.0,1996-04-01,201929.59846578733,202801.12561615603,203751.78554307087,95023,12.224403602214897,12.219981101059284
16,94040,Mountain View,CA,San Jose,Santa Clara,1996-04-01,413200.0,1996-04-01,407471.60806137044,412530.2156020527,417587.1981531662,94040,12.93168701622762,12.930064732018597
17,95050,Santa Clara,CA,San Jose,Santa Clara,1996-04-01,236900.0,1996-04-01,233525.6539456848,235988.13634794767,238374.92498257695,95050,12.375393390146877,12.371536813032098
18,95126,San Jose,CA,San Jose,Santa Clara,1996-04-01,245400.0,1996-04-01,241889.29665293105,244969.69998877277,248315.5550784356,95126,12.410644811258948,12.408889808363451
19,94303,Palo Alto,CA,San Jose,Santa Clara,1996-04-01,374300.0,1996-04-01,360015.4742989609,373055.5991633352,385463.5749818147,94303,12.83281289389252,12.829482746936831
20,95129,San Jose,CA,San Jose,Santa Clara,1996-04-01,325800.0,1996-04-01,320140.0819000441,324755.5285165237,329672.085644059,95129,12.694038975150082,12.690827958303334
21,95128,San Jose,CA,San Jose,Santa Clara,1996-04-01,233700.0,1996-04-01,230591.16869352554,233060.1539132075,235618.74669786225,95128,12.36179352052695,12.359051870528681
22,95134,San Jose,CA,San Jose,Santa Clara,1996-04-01,254500.0,1996-04-01,245735.89890718236,252607.94953562028,260051.52932381464,95134,12.447056114972714,12.439593959249017
23,94043,Mountain View,CA,San Jose,Santa Clara,1996-04-01,291700.0,1996-04-01,286395.85005719727,290432.8457748188,294291.66061780293,94043,12.583481155855813,12.579127660822046
24,95116,San Jose,CA,San Jose,Santa Clara,1996-04-01,170600.0,1996-04-01,167937.86555319667,169879.6499540696,171851.68699134124,95116,12.047076914039716,12.042845523876872
25,95120,San Jose,CA,San Jose,Santa Clara,1996-04-01,365400.0,1996-04-01,361161.6448701071,364479.8959481468,367734.2496354978,95120,12.808747922926043,12.806226673760632
26,95122,San Jose,CA,San Jose,Santa Clara,1996-04-01,170800.0,1996-04-01,168253.77590673062,169926.63573842644,171571.99077727462,95122,12.048248560336607,12.04312206840612
