,ds,yhat_lower,yhat,yhat_upper,Zip_code
261,2018-01-01,986224.2851256381,987692.8827452466,989183.2942924353,95123
262,2018-02-01,1004765.9517384,1006252.7938464672,1007755.4908791347,95123
263,2018-03-01,1022392.698164431,1023861.0046471059,1025349.1607223589,95123
264,2018-04-01,1041290.9759599419,1042757.9326842981,1044175.726094252,95123
265,2018-04-30,1059123.3425273472,1060996.9676758721,1062752.5675273812,95123
266,2018-05-31,1077189.569832252,1080833.0921676864,1084764.3935720427,95123
267,2018-06-30,1092003.462262158,1098389.9571434313,1104828.2467662047,95123
268,2018-07-31,1106776.9176279614,1116361.1644031054,1126402.6261731167,95123
269,2018-08-31,1122568.7320317777,1135895.057440615,1149270.459255672,95123
270,2018-09-30,1137998.5146181432,1155426.631503969,1172949.2495606306,95123
271,2018-10-31,1153637.1408318374,1175149.6564372038,1196840.093492174,95123
272,2018-11-30,1167142.7929779855,1192521.429965264,1219506.419537208,95123
273,2018-12-31,1181619.6877699834,1211501.945228421,1243463.5096123042,95123
274,2019-01-31,1196914.6889709402,1232202.8098130792,1269493.9401877027,95123
275,2019-02-28,1208060.2210931112,1249192.9916030157,1292448.194169845,95123
276,2019-03-31,1220872.443892047,1267925.6626158524,1317372.5384375895,95123
277,2019-04-30,1233035.1005204578,1287181.4144410626,1344512.1706014944,95123
278,2019-05-31,1245515.8880111652,1307128.7241942082,1371268.0756816084,95123
279,2019-06-30,1255959.01396714,1324483.2792413624,1395530.776192488,95123
280,2019-07-31,1268179.4781240616,1342247.0770523776,1421739.9907413654,95123
281,2019-08-31,1280956.2302521935,1361916.586610915,1447777.3179244765,95123
282,2019-09-30,1294624.3943440884,1381680.0247805207,1474766.6245342018,95123
283,2019-10-31,1308767.8529051433,1401511.227611646,1502910.9516431254,95123
284,2019-11-30,1319946.2417661762,1418546.9453440972,1527160.3754847567,95123
285,2019-12-31,1330681.6664714664,1437424.1980123005,1554869.261391458,95123
286,2020-01-31,1341550.595124278,1458422.5297573209,1582424.1794015225,95123
287,2020-02-29,1351010.1017990168,1476034.366819569,1608002.5877829166,95123
288,2020-03-31,1360291.5996325675,1494856.7942536462,1636351.7638277728,95123
289,2020-04-30,1371100.9901797257,1513732.048723781,1663844.098056639,95123
290,2020-05-31,1381824.8816816355,1533329.9149064752,1693695.2620720328,95123
291,2020-06-30,1391875.0957361092,1551279.6022607866,1720934.5179482354,95123
292,2020-07-31,1401825.0637946508,1569682.476163884,1750032.3950766549,95123
293,2020-08-31,1410118.195144475,1588965.7379109894,1779477.4716918573,95123
294,2020-09-30,1417822.2919181813,1608030.7057929307,1806468.6829096335,95123
295,2020-10-31,1427723.2466925376,1627512.4301481212,1836713.6194909753,95123
296,2020-11-30,1439397.5398375064,1645547.3810536545,1864235.218540306,95123
297,2020-12-31,1446753.0815398647,1664756.6188002178,1893973.727443265,95123
298,2021-01-31,1456705.1770851514,1684864.351886239,1924538.9836416119,95123
